model_size,method,step,n,seeds,live_accuracy_mean,live_accuracy_sd,live_format_mean,live_format_sd,non_live_accuracy_mean,non_live_accuracy_sd,non_live_format_mean,non_live_format_sd,multi_turn_accuracy_mean,multi_turn_accuracy_sd,multi_turn_format_mean,multi_turn_format_sd,average_accuracy_mean,average_accuracy_sd,average_format_mean,average_format_sd
1.5B,dvao,10,3,"3,4,5",56.674068591167035,0.9546282813793728,0.12336540833950159,0.08547006205619923,76.82638888888889,0.8790415919456662,0.05555555555555556,0.09622504486493763,1.875,0.25,0.003787878787878788,0.006560798513518475,45.125152493351976,0.6426598669275801,0.060902947560978644,0.03139933627957794
1.5B,dvao,20,3,"3,4,5",64.12533925487294,2.403441852815348,0.0,0.0,78.73611111111111,0.4321766078472695,0.0,0.0,2.7916666666666665,0.7216878364870319,0.19739593310026746,0.12928332013471,48.55103901088357,0.8877326483399319,0.06579864436675581,0.043094440044903336
1.5B,dvao,30,3,"3,4,5",65.72908956328646,0.4622500368910711,1.6284233900814211,2.8205120478545744,80.07638888888889,0.3622444821040306,2.5833333333333335,4.474464586219599,2.7916666666666665,0.4732423621500228,1.2914704652762417,0.8584223864859295,49.532381706280674,0.19931598539437775,1.834409062896999,2.7078931378553297
1.5B,dvao,40,3,"3,4,5",65.82778188995806,0.9939914669866146,33.25931408832963,57.60682182587827,79.32638888888889,1.1151835092303204,33.18055555555555,57.470408045583994,2.4166666666666665,0.7637626158259734,19.279417534747754,24.001379610070707,49.19027914850454,0.31042865742760556,28.57309572621098,46.34817639871004
1.5B,dvao,50,3,"3,4,5",66.61732050333087,0.9004829800589466,33.16062176165803,57.43588170176588,79.81944444444444,1.2406478855525198,33.333333333333336,57.735026918962575,2.0833333333333335,0.6884463184107628,22.526617319574264,24.554858752075727,49.50669942703621,0.5075514856697323,29.673524138188544,46.46449631017975
1.5B,dvao,60,3,"3,4,5",66.29657044164817,1.5707667448701683,33.358006415001235,57.58556134605675,79.06944444444444,1.2362671561929877,33.333333333333336,57.735026918962575,2.0416666666666665,0.590726953281576,29.980523114210477,24.432145142483154,49.13589385091976,0.959357950147668,32.223954287515014,46.31018586006561
1.5B,dvao,70,3,"3,4,5",66.61732050333087,1.2451964353264815,33.43202566000493,57.64960437545354,80.02777777777779,0.7466165967835217,33.333333333333336,57.735026918962575,2.9583333333333335,0.8779711460710616,41.623189924398375,28.73905288527332,49.86781053814733,0.7055585761690933,36.12951630591221,47.785890057581106
1.5B,dvao,80,3,"3,4,5",66.46928201332346,0.4622500368910711,33.530717986676535,57.500091443101994,80.5,0.5241560677253884,33.333333333333336,57.735026918962575,2.4583333333333335,1.4049762750072805,47.27515100169201,29.568209508073625,49.80920511555227,0.7782108205251845,38.04640077390063,47.98578602005783
1.5B,dvao,90,3,"3,4,5",65.38366641993585,0.40766621371473283,34.172218110041946,56.94877033409665,80.03472222222221,0.02405626121623714,33.56944444444444,57.53163883979486,3.0833333333333335,1.2520816001097266,53.538837939700514,26.4466339173441,49.50057399183047,0.4756428624060458,40.4268334980623,46.77930454273922
1.5B,dvao,100,3,"3,4,5",62.81766592647422,3.042302026508441,66.86405132000986,57.072741935476124,76.75,3.435668704116337,66.63194444444444,57.56077831502525,3.416666666666667,1.4648663192705786,63.47351875400396,27.698238391289255,47.66144419771363,1.8456986590272548,65.65650483948609,47.33501419136527
1.5B,gd2po_hard,10,3,"0,4,5",56.08191463113743,1.2034294002721118,0.5181347150259067,0.7727836053967839,76.35416666666667,0.2724311839712872,0.736111111111111,1.133711129841251,1.875,0.649519052838329,0.1931928522305199,0.31052977350123495,44.770360432601365,0.22316031445812745,0.4824795594558459,0.7382409566453473
1.5B,gd2po_hard,20,3,"0,4,5",63.409819886503826,0.470085341309088,33.08660251665433,57.307676608681575,76.1875,0.8006616187739855,33.06944444444444,57.27795795585412,2.5,0.21650635094610965,12.126609322528697,20.154516675566853,47.36577329550128,0.28901257873528463,26.094218761209156,44.912484228641766
1.5B,gd2po_hard,30,3,"0,4,5",65.23562792992846,0.8153324274294738,33.333333333333336,57.735026918962575,77.45138888888889,0.6254627916220918,33.291666666666664,57.662858135313876,2.5833333333333335,0.36084391824351614,12.650702143627052,20.58363828986564,48.42345005071689,0.40828711638803916,26.42523404787568,45.325600797840785
1.5B,gd2po_hard,40,3,"0,4,5",65.30964717493215,0.8514894609788984,33.333333333333336,57.735026918962575,78.91666666666667,0.24562137755315364,33.333333333333336,57.735026918962575,2.4583333333333335,0.3145764348029479,17.477284930811802,26.99091834727398,48.89488239164405,0.2728419846999852,28.047983865826158,47.485130520970834
1.5B,gd2po_hard,50,3,"0,4,5",65.75376264495436,0.9631986822572487,33.30866025166544,57.69229188793448,79.15277777777779,0.5687665341512047,33.291666666666664,57.662858135313876,2.625,0.8660254037844384,24.26680643978371,36.687410871069744,49.177180140910714,0.7463111400120676,30.289044452705273,50.68005010017111
1.5B,gd2po_hard,60,3,"0,4,5",65.67974339995067,1.2870270274606452,34.46829509005675,56.77765028801972,79.58333333333333,0.6260408000548633,33.798611111111114,57.33633233637322,3.3333333333333335,1.562916611125921,30.823462980339905,35.20506698986443,49.53213668887244,1.061813691986238,33.03012306050259,49.55116177626786
1.5B,gd2po_hard,70,3,"0,4,5",66.83937823834196,0.8341545277264708,66.66666666666667,57.735026918962575,78.69444444444444,0.785152291196027,66.5,57.591231971542335,3.7083333333333335,1.448778220892809,49.16146065596128,39.73657924178977,49.74738533870658,0.8904667154911289,60.77604244087598,51.61544526578341
1.5B,gd2po_hard,80,3,"0,4,5",65.53170490994326,3.453085707559888,66.64199358499877,57.71367126989428,78.60416666666667,1.1661084974297062,66.625,57.698976377402055,3.4166666666666665,1.0777097630314636,53.407803858038264,43.56786172881382,49.18417941442553,1.6737563616930478,62.224932481012345,52.85181494673976
1.5B,gd2po_hard,90,3,"0,4,5",66.09918578830496,1.849000147564292,66.61732050333087,57.69229188793448,79.50694444444444,1.2562920344911517,66.625,57.698976377402055,3.9583333333333335,1.371206889325361,55.48977174118683,44.41669582229002,49.854821188694245,1.3831984337704408,62.910697414839234,53.131004242454445
1.5B,gd2po_hard,100,3,"0,4,5",66.22255119664447,3.589996972532968,66.64199358499877,57.71367126989428,77.86111111111111,2.3086805294446964,66.66666666666667,57.735026918962575,3.5,1.2054563451241194,57.50384197621245,45.2925316379618,49.194554102585194,2.3441246608354267,63.60416740929263,53.42100887368551
1.5B,grpo,10,3,"0,2,5",44.41154700222057,5.677811668620316,5.40340488527017,3.9020149083929536,58.09027777777778,8.354409112580637,3.076388888888889,2.9661233506854505,0.7083333333333334,0.2886751345948129,0.9448355841018885,0.3952992978775427,34.40338603777723,4.598061340527218,3.141543119420316,2.4089166119403522
1.5B,grpo,20,3,"0,2,5",60.399703923019985,0.8142116950407114,1.5790772267456206,0.841782487502195,77.80555555555556,0.3740342502637492,0.5833333333333333,0.5605676686280712,1.625,0.5,0.930201950738236,0.7573566559187861,46.610086492858514,0.5575695223623105,1.0308708369390631,0.7193416544461589
1.5B,grpo,30,3,"0,2,5",63.38514680483593,0.8153324274294794,32.889217863311124,38.811031956552085,76.95138888888889,0.9115228151794112,41.479166666666664,43.96584157837132,2.166666666666667,0.43898557303553065,14.408709242834762,9.964657585197289,47.501067453463826,0.2002340013778793,29.592364590937517,30.61361255119733
1.5B,grpo,40,3,"0,2,5",63.31112755983222,1.5602676292881714,99.753269183321,0.2379385828026893,75.85416666666667,1.0625,99.36111111111111,0.6374909222302145,2.25,0.33071891388307406,29.093511514022627,4.480972314623309,47.138431408832965,0.7419896545846,76.0692972694849,1.2177310376788362
1.5B,grpo,50,3,"0,2,5",64.05132000986923,1.252508279940491,99.6299037749815,0.12820509308430045,77.29166666666667,0.37034143405482073,99.61805555555556,0.23416271250121748,2.625,0.5448623679425844,25.313713418265703,4.561187390869255,47.989328892178634,0.6920052981981853,74.85389091626759,1.4634931888585518
1.5B,grpo,60,3,"0,2,5",63.26178139649643,0.21367515514049532,99.7779422649889,0.12820509308429226,77.38888888888889,0.746616596783514,99.88194444444444,0.09394270318380311,2.375,0.21650635094610993,24.476180713871393,0.9982576598101377,47.67522342846177,0.16173129134865136,74.7120224744349,0.2750314517786296
1.5B,grpo,70,3,"0,2,5",64.02664692820133,0.6410254654214983,99.9013076733284,0.04273503102810562,77.375,1.0288798520721456,99.875,0.125,3.166666666666667,0.47324236215002297,26.068442350357255,1.901056656220762,48.189437864956,0.356882215975439,75.28158334122855,0.6877833125091132
1.5B,grpo,80,3,"0,2,5",65.06291635825315,0.4502414900294774,99.9013076733284,0.04273503102810562,77.54166666666667,0.311108010897248,99.90277777777779,0.10485881160098044,3.2916666666666665,0.2602082499332664,29.713423710926396,5.833626304364191,48.63208323052883,0.14090290960303192,76.50583638734419,1.9001459965296468
1.5B,grpo,90,3,"0,2,5",63.73056994818653,1.8593422186647615,99.82728842832469,0.08547006205620304,78.25,0.910728874766441,99.95833333333333,0.07216878364870322,2.9166666666666665,0.5636562191028616,33.022997117348524,3.851433445965063,48.29907887161773,0.9656942955018426,77.60287295966886,1.3257633080627915
1.5B,grpo,100,3,"0,2,5",64.15001233654084,0.4076662137147343,99.85196150999259,0.07401924500370427,78.25,0.6137883276106672,100.0,0.0,2.416666666666667,0.590726953281576,39.956720513841475,10.14162117914891,48.2722263344025,0.07955478064707648,79.93622734127803,3.3577535382459827
1.5B,gdpo,10,3,"0,1,5",57.48828028620775,3.8931120708240488,0.8882309400444116,0.7727836053967839,76.57638888888889,1.7392194396508054,1.5,1.299038105676658,1.7083333333333333,0.4732423621500228,0.4064847350934812,0.3706797452869276,45.25766750280999,2.0086246231982545,0.9315718917126309,0.806886901848331
1.5B,gdpo,20,3,"0,1,5",63.97730076486553,0.5354684040022392,36.34344929681718,55.00884999438357,78.20833333333333,1.2708333333333357,36.826388888888886,54.048004372227936,2.6666666666666665,0.7534642216677135,12.3069945229765,17.415897036025086,48.28410025495518,0.3446415658689004,28.49227756956085,42.15167219882716
1.5B,gdpo,30,3,"0,1,5",64.44608931655564,0.11306626437098245,66.56797433999506,57.649746930860026,78.36805555555556,1.1281463204613005,66.61111111111111,57.68697458731076,2.125,0.4330127018922193,24.19439309645564,20.582098260451183,48.31304829070373,0.42479356979563715,52.457826182520606,45.30395693539621
1.5B,gdpo,40,3,"0,1,5",65.28497409326425,1.0283082153552825,66.59264742166296,57.6709362476594,79.00694444444444,1.3860561389678108,66.625,57.698976377402055,2.2916666666666665,0.5051814855409227,32.5208835169724,28.763403781771448,48.86119506812512,0.9673950388588259,55.24617697954512,47.42047731536012
1.5B,gdpo,50,3,"0,1,5",66.96274364668147,1.6655700796188158,66.64199358499877,57.71367126989428,79.79166666666667,0.36857929193654615,66.66666666666667,57.735026918962575,2.4583333333333335,0.7938566201357354,40.85037452766227,32.161649909634114,49.73758121556049,0.6715434724707585,58.05301159310923,49.090233908051516
1.5B,gdpo,60,3,"0,1,5",67.70293609671849,0.913570618385077,66.66666666666667,57.6709362476594,80.09722222222223,0.5329154178597133,66.66666666666667,57.735026918962575,3.0833333333333335,0.7534642216677134,47.513272208426145,31.351186960005382,50.29449721742468,0.48313824703230906,60.28220184725316,48.30915289961276
1.5B,gdpo,70,3,"0,1,5",67.57957068837898,1.284185904729642,66.66666666666667,57.6709362476594,79.89583333333333,0.13010412496663898,66.625,57.698976377402055,3.7083333333333335,1.6121285101794258,58.12277445921673,35.30719926234753,50.394579118348545,0.9745652005033771,63.8048137086278,49.28848130518883
