model_size,method,step,n,seeds,live_accuracy_mean,live_accuracy_sd,live_format_mean,live_format_sd,non_live_accuracy_mean,non_live_accuracy_sd,non_live_format_mean,non_live_format_sd,multi_turn_accuracy_mean,multi_turn_accuracy_sd,multi_turn_format_mean,multi_turn_format_sd,average_accuracy_mean,average_accuracy_sd,average_format_mean,average_format_sd
1.5B,gd2po_hard,10,1,4,57.43893412287194,,1.4063656550703183,,76.04166666666667,,2.0416666666666665,,1.5,,0.5513922821817558,,44.993533596512876,,1.3331415346395803,
1.5B,gd2po_hard,20,1,4,63.952627683197626,,99.25980754996299,,76.54166666666666,,99.20833333333333,,2.375,,35.39537651486355,,47.623098116621435,,77.95450579938662,
1.5B,gd2po_hard,30,1,4,66.17320503330866,,100.0,,77.8125,,99.875,,2.375,,36.41221683490414,,48.78690167776955,,78.7624056116347,
1.5B,gd2po_hard,40,1,4,66.17320503330866,,100.0,,78.70833333333334,,100.0,,2.5,,48.635762824712685,,49.127179455547335,,82.87858760823757,
1.5B,gd2po_hard,50,1,4,66.69133974833457,,99.9259807549963,,79.54166666666667,,99.875,,3.6249999999999996,,66.62611077409049,,49.952668805000414,,88.8090305096956,
1.5B,gd2po_hard,60,1,4,67.13545521835678,,100.0,,79.8125,,100.0,,5.125,,70.28123143211327,,50.69098507278559,,90.09374381070442,
1.5B,gd2po_hard,70,1,4,67.35751295336787,,100.0,,79.52083333333333,,100.0,,5.25,,76.81145181059956,,50.709448762233734,,92.27048393686653,
1.5B,gd2po_hard,80,1,4,62.250185048112506,,99.9259807549963,,77.29166666666667,,100.0,,3.6249999999999996,,85.34645415768689,,47.72228390492639,,95.09081163756107,
1.5B,gd2po_hard,90,1,4,65.50703182827536,,99.9259807549963,,79.0,,100.0,,4.75,,87.94100227615426,,49.75234394275845,,95.95566101038352,
1.5B,gd2po_hard,100,1,4,66.24722427831237,,100.0,,78.45833333333334,,100.0,,4.0,,91.0142984222646,,49.5685192038819,,97.00476614075487,
1.5B,grpo,10,3,"0,2,5",44.41154700222057,5.677811668620316,5.40340488527017,3.9020149083929536,58.09027777777778,8.354409112580637,3.076388888888889,2.9661233506854505,0.7083333333333334,0.2886751345948129,0.9448355841018885,0.3952992978775427,34.40338603777723,4.598061340527218,3.141543119420316,2.4089166119403522
1.5B,grpo,20,3,"0,2,5",60.399703923019985,0.8142116950407114,1.5790772267456206,0.841782487502195,77.80555555555556,0.3740342502637492,0.5833333333333333,0.5605676686280712,1.625,0.5,0.930201950738236,0.7573566559187861,46.610086492858514,0.5575695223623105,1.0308708369390631,0.7193416544461589
1.5B,grpo,30,3,"0,2,5",63.38514680483593,0.8153324274294794,32.889217863311124,38.811031956552085,76.95138888888889,0.9115228151794112,41.479166666666664,43.96584157837132,2.166666666666667,0.43898557303553065,14.408709242834762,9.964657585197289,47.501067453463826,0.2002340013778793,29.592364590937517,30.61361255119733
1.5B,grpo,40,3,"0,2,5",63.31112755983222,1.5602676292881714,99.753269183321,0.2379385828026893,75.85416666666667,1.0625,99.36111111111111,0.6374909222302145,2.25,0.33071891388307406,29.093511514022627,4.480972314623309,47.138431408832965,0.7419896545846,76.0692972694849,1.2177310376788362
1.5B,grpo,50,3,"0,2,5",64.05132000986923,1.252508279940491,99.6299037749815,0.12820509308430045,77.29166666666667,0.37034143405482073,99.61805555555556,0.23416271250121748,2.625,0.5448623679425844,25.313713418265703,4.561187390869255,47.989328892178634,0.6920052981981853,74.85389091626759,1.4634931888585518
1.5B,grpo,60,3,"0,2,5",63.26178139649643,0.21367515514049532,99.7779422649889,0.12820509308429226,77.38888888888889,0.746616596783514,99.88194444444444,0.09394270318380311,2.375,0.21650635094610993,24.476180713871393,0.9982576598101377,47.67522342846177,0.16173129134865136,74.7120224744349,0.2750314517786296
