model_size,method,step,n,seeds,correctness_mean,correctness_sd,format_mean,format_sd
1.5B,dara,0,3,"0,1,2",-2.5385416666666667,0.009021097956087902,2.5,0.0
1.5B,dara,10,3,"0,1,2",1.4218563199664156,0.0463566566693886,77.91666666666667,4.732423621500228
1.5B,dara,20,3,"0,1,2",1.5699217970793446,0.027021915536668297,92.91666666666667,0.7216878364870323
1.5B,dara,30,3,"0,1,2",1.6459030201658607,0.03572393611968365,97.08333333333333,0.7216878364870323
1.5B,dara,40,3,"0,1,2",1.7164519165953,0.024785214037362214,97.5,0.0
1.5B,dara,50,3,"0,1,2",1.7382367294281722,0.03243736882116314,97.5,0.0
1.5B,dara,60,3,"0,1,2",1.7451802716900906,0.03629247655411363,97.5,0.0
1.5B,dara,70,3,"0,1,2",1.7409847440818946,0.054024941279877184,97.5,0.0
1.5B,dara,80,3,"0,1,2",1.7859062808255355,0.030476510074629676,97.5,0.0
1.5B,dara,90,3,"0,1,2",1.7583846357961497,0.028473063163082665,97.5,0.0
1.5B,dara,100,3,"0,1,2",1.7709216825664043,0.04492782509161879,97.5,0.0
1.5B,dvao,0,1,3,-2.54375,,2.5,
1.5B,dvao,10,1,3,1.4860953625291586,,2.5,
1.5B,dvao,20,1,3,1.6826253954321146,,3.75,
1.5B,dvao,30,1,3,1.6956573642790318,,11.25,
1.5B,dvao,40,1,3,1.769815913401544,,95.0,
1.5B,dvao,50,1,3,1.7781276006251574,,95.0,
1.5B,dvao,60,1,3,1.8197942689061164,,97.5,
1.5B,dvao,70,1,3,1.7886010870337485,,96.25,
1.5B,dvao,80,1,3,1.8054760858416556,,97.5,
1.5B,dvao,90,1,3,1.773601084947586,,97.5,
1.5B,dvao,100,1,3,1.7640556305646897,,97.5,
1.5B,gd2po_hard,0,1,4,-2.5875,,2.5,
1.5B,gd2po_hard,10,1,4,1.4425239350646735,,2.5,
1.5B,gd2po_hard,20,1,4,1.6008072143420577,,92.5,
1.5B,gd2po_hard,30,1,4,1.7027028184384108,,93.75,
1.5B,gd2po_hard,40,1,4,1.748782365769148,,96.25,
1.5B,gd2po_hard,50,1,4,1.7935442686080934,,96.25,
1.5B,gd2po_hard,60,1,4,1.7920832302421332,,97.5,
1.5B,gd2po_hard,70,1,4,1.8027975156903266,,97.5,
1.5B,gd2po_hard,80,1,4,1.8016424208879471,,97.5,
1.5B,gd2po_hard,90,1,4,1.8106341224163771,,97.5,
1.5B,gd2po_hard,100,1,4,1.7982657957822084,,97.5,
1.5B,gdpo,0,2,"0,1",-2.5359375,0.011048543456039806,2.5,0.0
1.5B,gdpo,10,2,"0,1",1.4972217353992163,0.09856757534361968,2.5,0.0
1.5B,gdpo,20,2,"0,1",1.5815884632989765,0.08198019223308102,50.0,60.10407640085654
1.5B,gdpo,30,2,"0,1",1.6450139448046683,0.07031730261542085,93.125,0.8838834764831844
1.5B,gdpo,40,2,"0,1",1.7326067680492998,0.004693001268887735,96.875,0.8838834764831844
1.5B,gdpo,50,2,"0,1",1.7552845088765023,0.004594692164229192,97.5,0.0
1.5B,gdpo,60,2,"0,1",1.7710042053833606,0.00726694829328278,97.5,0.0
1.5B,gdpo,70,2,"0,1",1.7668627217411994,0.0014100059581924611,97.5,0.0
1.5B,gdpo,80,2,"0,1",1.772271376196295,0.010273123498085143,97.5,0.0
1.5B,gdpo,90,2,"0,1",1.78361159786582,0.014188785020068357,97.5,0.0
1.5B,gdpo,100,2,"0,1",1.7943472674116492,0.004923684668513592,97.5,0.0
1.5B,grpo,0,3,"0,2,5",-2.5385416666666667,0.009021097956087902,2.5,0.0
1.5B,grpo,10,3,"0,2,5",1.1495607179900011,0.17285861547644665,4.583333333333333,1.9094065395649333
1.5B,grpo,20,3,"0,2,5",1.5013731393342216,0.04113522965345975,2.9166666666666665,0.7216878364870323
1.5B,grpo,30,3,"0,2,5",1.546938720655938,0.054532476208935324,31.666666666666668,36.87676549445916
1.5B,grpo,40,3,"0,2,5",1.527930887353917,0.033798380870548934,91.66666666666667,0.7216878364870323
1.5B,grpo,50,3,"0,2,5",1.5953745198746523,0.042709177678076526,92.08333333333333,0.7216878364870323
1.5B,grpo,60,3,"0,2,5",1.6184418004006147,0.03133846406628199,92.5,0.0
1.5B,grpo,70,3,"0,2,5",1.6585713228210808,0.05699310698514339,92.5,0.0
1.5B,grpo,80,3,"0,2,5",1.668422513579329,0.019719210393080985,92.08333333333333,0.7216878364870323
1.5B,grpo,90,3,"0,2,5",1.6904165619363387,0.043808513537397835,92.91666666666667,0.7216878364870323
1.5B,grpo,100,3,"0,2,5",1.6771129904935758,0.013265009206059756,94.16666666666667,1.9094065395649333
