model_size,method,step,n,seeds,live_accuracy_mean,live_accuracy_sd,live_format_mean,live_format_sd,non_live_accuracy_mean,non_live_accuracy_sd,non_live_format_mean,non_live_format_sd,multi_turn_accuracy_mean,multi_turn_accuracy_sd,multi_turn_format_mean,multi_turn_format_sd,average_accuracy_mean,average_accuracy_sd,average_format_mean,average_format_sd
1.5B,base,0,1,,9.32642487046632,,0.3700962250185048,,12.062500000000002,,0.125,,0.375,,0.2075892857142857,,7.254641623488774,,0.23422850357759684,
1.5B,grpo,100,5,"0,1,2,4,5",64.79644707623983,0.5504364897876585,99.88156920799408,0.040542010178034285,78.04166666666666,0.8389136079875373,99.9125,0.12183492931011204,2.55,0.46435439052516775,43.243458977270116,15.522479129814762,48.46270458096883,0.36273072185200744,81.01250939508806,5.177151526623842
1.5B,gdpo,100,5,"0,1,2,4,5",67.04663212435233,2.3992970338216635,99.94078460399705,0.0619289434888306,79.30416666666666,1.6933796745627385,99.975,0.05590169943749474,4.75,0.7447734554883114,91.40021237653856,3.0229281447284224,50.366932930339665,1.1236103508011497,97.1053323268452,1.00237131021766
1.5B,dara,100,5,"0,1,2,4,5",68.42339008142118,1.3101615457899016,99.91117690599556,0.12162603053408555,80.24583333333334,0.7760801164971498,99.975,0.05590169943749474,4.85,0.6812213296719356,92.77102865408062,1.8833668586632566,51.17307447158483,0.7792544241433205,97.55240185335873,0.6444736922402879
1.5B,dvao,100,3,"0,2,4",64.98889711324945,4.636701632380708,99.753269183321,0.22613252874196335,76.84027777777777,3.301431542752549,99.61805555555556,0.4479570395241711,4.083333333333333,0.14433756729740643,81.18533039683346,8.2776159228221,48.63750274145352,2.635638291072154,93.51888504523667,2.9073795419915798
1.5B,gd2po_hard,100,3,"0,1,4",67.97433999506539,1.5602676292881623,99.9753269183321,0.04273503102809742,79.44444444444444,1.011293290974664,100.0,0.0,4.666666666666667,1.0483121354507603,89.07926820601985,2.1629697811681976,50.6951503687255,0.976389762087756,96.3515317081173,0.734325390398623
3B,base,0,1,,47.66839378238342,,54.92227979274611,,36.22916666666667,,34.229166666666664,,1.7500000000000002,,9.16113785987423,,28.54918681635003,,32.770861439762335,
3B,grpo,100,5,"0,1,2,4,5",69.31162102146558,0.24881919043629658,99.7779422649889,0.11703470244886523,81.8625,0.8246421782944519,99.8375,0.18888378261072247,6.525,0.8263246940519205,66.6583378190379,3.62959145546802,52.566373673821865,0.44118958135474806,88.7579266946756,1.2153907670469328
3B,gdpo,100,5,"0,1,2,4,5",69.29681717246484,0.9867073536333396,99.9259807549963,0.09065469070256141,82.60416666666667,0.9390034241447411,100.0,0.0,9.075,1.491119545844665,89.78664405781628,2.3437187329319666,53.6586612797105,0.9551724720299554,96.57087493760419,0.7661979101296802
3B,dara,100,5,"0,1,2,4,5",70.39230199851961,0.979182572562767,99.97039230199852,0.0405420101780265,83.05,0.8053370153751357,100.0,0.0,9.0,0.9882117688026185,91.68978254102682,2.0199112151043304,54.14743399950654,0.5759754869114332,97.22005828100845,0.663397717051871
3B,dvao,100,3,"0,1,2",69.99753269183321,0.5555554033652911,99.90130767332839,0.08547006205620304,83.02777777777779,0.5001446550008638,99.99305555555556,0.012028130608122673,9.625,0.33071891388307384,91.21469425132987,1.494377868653818,54.216770156537,0.23944138888934735,97.0363524934046,0.4680271066700818
3B,gd2po_hard,100,3,"0,1,2",69.4547248951394,1.5811961480396879,99.7285961016531,0.04273503102809742,83.11111111111111,1.368408020021538,100.0,0.0,9.125,1.2054563451241211,91.27539603171341,2.452003198967555,53.89694533541684,1.1070431842472437,97.00133071112216,0.8228957130879225
