model_size,method,step,n,seeds,live_accuracy_mean,live_accuracy_sd,live_format_mean,live_format_sd,non_live_accuracy_mean,non_live_accuracy_sd,non_live_format_mean,non_live_format_sd,multi_turn_accuracy_mean,multi_turn_accuracy_sd,multi_turn_format_mean,multi_turn_format_sd,average_accuracy_mean,average_accuracy_sd,average_format_mean,average_format_sd
1.5B,base,0,1,,9.32642487046632,,0.3700962250185048,,12.062500000000002,,0.125,,0.375,,0.2075892857142857,,7.254641623488774,,0.23422850357759684,
1.5B,grpo,100,5,"0,1,2,4,5",64.79644707623983,0.5504364897876585,99.88156920799408,0.040542010178034285,78.04166666666666,0.8389136079875373,99.9125,0.12183492931011204,2.55,0.46435439052516775,43.243458977270116,15.522479129814762,48.46270458096883,0.36273072185200744,81.01250939508806,5.177151526623842
1.5B,gdpo,100,5,"0,1,2,4,5",67.04663212435233,2.3992970338216635,99.94078460399705,0.0619289434888306,79.30416666666666,1.6933796745627385,99.975,0.05590169943749474,4.75,0.7447734554883114,91.40021237653856,3.0229281447284224,50.366932930339665,1.1236103508011497,97.1053323268452,1.00237131021766
1.5B,dara,100,5,"0,1,2,4,5",68.42339008142118,1.3101615457899016,99.91117690599556,0.12162603053408555,80.24583333333334,0.7760801164971498,99.975,0.05590169943749474,4.85,0.6812213296719356,92.77102865408062,1.8833668586632566,51.17307447158483,0.7792544241433205,97.55240185335873,0.6444736922402879
1.5B,dvao,100,5,"0,1,2,4,5",65.56624722427831,3.4090663994564703,61.00666173205033,53.07366718195,77.90416666666667,2.770739346776917,60.145833333333336,54.05324262423527,3.125,1.3169567191065923,64.47075754373898,24.200938228441412,48.86513796364833,1.890052978545789,61.87441753637422,43.445298597350856
1.5B,gd2po_hard,100,5,"0,1,2,4,5",66.64692820133234,2.567625081195365,60.029607698001485,54.69799342207577,78.70416666666667,2.034927227063525,60.0,54.772255750516614,3.775,1.445358951956226,61.730732048718956,38.900643300702534,49.70869828933301,1.8686294592699748,60.58677991557348,49.10046908951003
3B,base,0,1,,47.66839378238342,,54.92227979274611,,36.22916666666667,,34.229166666666664,,1.7500000000000002,,9.16113785987423,,28.54918681635003,,32.770861439762335,
3B,grpo,100,5,"0,1,2,4,5",69.31162102146558,0.24881919043629658,99.7779422649889,0.11703470244886523,81.8625,0.8246421782944519,99.8375,0.18888378261072247,6.525,0.8263246940519205,66.6583378190379,3.62959145546802,52.566373673821865,0.44118958135474806,88.7579266946756,1.2153907670469328
3B,gdpo,100,5,"0,1,2,4,5",69.29681717246484,0.9867073536333396,99.9259807549963,0.09065469070256141,82.60416666666667,0.9390034241447411,100.0,0.0,9.075,1.491119545844665,89.78664405781628,2.3437187329319666,53.6586612797105,0.9551724720299554,96.57087493760419,0.7661979101296802
3B,dara,100,5,"0,1,2,4,5",70.39230199851961,0.979182572562767,99.97039230199852,0.0405420101780265,83.05,0.8053370153751357,100.0,0.0,9.0,0.9882117688026185,91.68978254102682,2.0199112151043304,54.14743399950654,0.5759754869114332,97.22005828100845,0.663397717051871
3B,dvao,100,3,"0,1,2",69.99753269183321,0.5555554033652911,99.90130767332839,0.08547006205620304,83.02777777777779,0.5001446550008638,99.99305555555556,0.012028130608122673,9.625,0.33071891388307384,91.21469425132987,1.494377868653818,54.216770156537,0.23944138888934735,97.0363524934046,0.4680271066700818
3B,gd2po_hard,100,3,"0,1,2",69.4547248951394,1.5811961480396879,99.7285961016531,0.04273503102809742,83.11111111111111,1.368408020021538,100.0,0.0,9.125,1.2054563451241211,91.27539603171341,2.452003198967555,53.89694533541684,1.1070431842472437,97.00133071112216,0.8228957130879225
