run_id,model_size,method,seed,step,live_accuracy,live_format,non_live_accuracy,non_live_format,multi_turn_accuracy,multi_turn_format,average_accuracy,average_format,source,validation_format_step100,training_format_step100,retained,exclusion_reason
1.5b-base-s,1.5B,base,,0,9.32642487046632,0.3700962250185048,12.062500000000002,0.125,0.375,0.2075892857142857,7.254641623488774,0.23422850357759684,reference/per_model.csv,,,True,
1.5b-grpo-s0,1.5B,grpo,0,100,64.76683937823834,99.85196150999259,77.66666666666666,100.0,1.875,56.41778544613146,48.10283534830167,85.42324898537468,reference/per_model.csv,0.9625,0.91162109375,True,
1.5b-grpo-s1,1.5B,grpo,1,100,65.65507031828275,99.9259807549963,77.77083333333333,100.0,2.625,48.03038862857155,48.6836345505387,82.65212312785594,reference/per_model.csv,0.975,0.92236328125,True,
1.5b-grpo-s2,1.5B,grpo,2,100,64.24870466321244,99.85196150999259,77.27083333333333,100.0,2.75,19.23968139273711,48.08984599884859,73.03054763424323,reference/per_model.csv,0.925,0.86181640625,True,
1.5b-grpo-s4,1.5B,grpo,4,100,64.39674315321984,99.9259807549963,78.04166666666667,99.8125,3.125,55.5618829541249,48.521136606628836,85.10012123637374,reference/per_model.csv,0.9625,0.92333984375,True,
1.5b-grpo-s5,1.5B,grpo,5,100,64.91487786824575,99.85196150999259,79.45833333333333,99.75,2.375,36.96755646478557,48.91607040052636,78.85650599159271,reference/per_model.csv,0.95,0.9052734375,True,
1.5b-gdpo-s0,1.5B,gdpo,0,100,68.76387860843819,99.85196150999259,79.54166666666667,99.875,4.25,92.1792132518849,50.85184842503495,97.30205825395916,reference/per_model.csv,0.975,0.94384765625,True,
1.5b-gdpo-s1,1.5B,gdpo,1,100,68.5418208734271,100.0,80.79166666666666,100.0,5.0,87.59797273411303,51.444495846697926,95.86599091137101,reference/per_model.csv,0.975,0.9453125,True,
1.5b-gdpo-s2,1.5B,gdpo,2,100,64.17468541820874,99.9259807549963,78.5625,100.0,5.125,88.91132322233697,49.28739513940291,96.27910132577776,reference/per_model.csv,0.975,0.94189453125,True,
1.5b-gdpo-s4,1.5B,gdpo,4,100,69.059955588453,99.9259807549963,80.83333333333333,100.0,3.7500000000000004,93.93026386146302,51.21442964059544,97.95208153881977,reference/per_model.csv,0.975,0.94140625,True,
1.5b-gdpo-s5,1.5B,gdpo,5,100,64.69282013323465,100.0,76.79166666666667,100.0,5.625,94.38228881289487,49.036495599967104,98.12742960429829,reference/per_model.csv,0.975,0.95751953125,True,
1.5b-dara-s0,1.5B,dara,0,100,68.46780162842339,100.0,79.35416666666666,100.0,4.0,93.20658465901963,50.60732276503002,97.73552821967321,reference/per_model.csv,0.975,0.9365234375,True,
1.5b-dara-s1,1.5B,dara,1,100,68.8378978534419,99.7039230199852,80.95833333333333,100.0,4.75,93.493421414651,51.51541039559174,97.73244814487873,reference/per_model.csv,0.975,0.95361328125,True,
1.5b-dara-s2,1.5B,dara,2,100,69.43005181347151,99.9259807549963,81.14583333333334,99.875,5.875,89.4520327852649,52.15029504893495,96.41767118008707,reference/per_model.csv,0.975,0.92822265625,True,
1.5b-dara-s4,1.5B,dara,4,100,69.2079940784604,99.9259807549963,80.02083333333333,100.0,5.0,94.10247718925613,51.40960913726458,98.00948598141747,reference/per_model.csv,0.975,0.9423828125,True,
1.5b-dara-s5,1.5B,dara,5,100,66.17320503330866,100.0,79.75,100.0,4.625,93.60062722221143,50.182735011102885,97.86687574073714,reference/per_model.csv,0.975,0.958984375,True,
1.5b-dvao-s0,1.5B,dvao,0,100,67.20947446336048,100.0,79.4375,100.0,4.0,90.42491768936671,50.21565815445349,96.80830589645556,reference/per_model.csv,0.975,0.95263671875,True,
1.5b-dvao-s2,1.5B,dvao,2,100,68.09770540340489,99.55588452997779,77.95833333333333,99.125,4.25,78.68483978777073,50.102012912246074,92.4552414392495,reference/per_model.csv,0.9625,0.392578125,True,
1.5b-gd2po_hard-s0,1.5B,gd2po_hard,0,100,69.2820133234641,100.0,80.47916666666667,100.0,4.125,89.4792990097087,51.295393330043595,96.49309966990289,reference/per_model.csv,0.975,0.93896484375,True,
1.5b-gd2po_hard-s1,1.5B,gd2po_hard,1,100,68.39378238341969,99.9259807549963,79.39583333333333,100.0,5.875,86.74420718608623,51.221538572251,95.55672931369418,reference/per_model.csv,0.975,0.95361328125,True,
3b-base-s,3B,base,,0,47.66839378238342,54.92227979274611,36.22916666666667,34.229166666666664,1.7500000000000002,9.16113785987423,28.54918681635003,32.770861439762335,reference/per_model.csv,,,True,
3b-grpo-s0,3B,grpo,0,100,69.2079940784604,99.9259807549963,81.27083333333334,100.0,7.75,69.54360818645216,52.74294247059791,89.82319631381615,reference/per_model.csv,0.9875,0.947265625,True,
3b-grpo-s1,3B,grpo,1,100,69.2820133234641,99.85196150999259,82.6875,99.85416666666667,6.625,68.9513349911379,52.86483777448804,89.55248772259905,reference/per_model.csv,0.9875,0.9453125,True,
3b-grpo-s2,3B,grpo,2,100,69.43005181347151,99.6299037749815,81.47916666666667,99.54166666666666,5.5,66.41919675016231,52.13640616004606,88.53025573060349,reference/per_model.csv,0.9875,0.94921875,True,
3b-grpo-s4,3B,grpo,4,100,68.9859363434493,99.7039230199852,81.0625,99.79166666666667,6.125,67.85336472538401,52.057812114483106,89.1163181373453,reference/per_model.csv,0.9875,0.953125,True,
3b-grpo-s5,3B,grpo,5,100,69.65210954848261,99.7779422649889,82.8125,100.0,6.625,60.52418444205308,53.029869849494204,86.76737556901399,reference/per_model.csv,0.9875,0.95751953125,True,
3b-gdpo-s0,3B,gdpo,0,100,68.39378238341969,100.0,82.60416666666667,100.0,8.0,89.68175126799409,52.99931635002878,96.56058375599802,reference/per_model.csv,0.975,0.96337890625,True,
3b-gdpo-s1,3B,gdpo,1,100,69.1339748334567,99.9259807549963,82.79166666666666,100.0,11.125,91.60314879189033,54.35021383337445,97.17637651562889,reference/per_model.csv,0.9875,0.9619140625,True,
3b-gdpo-s2,3B,gdpo,2,100,69.059955588453,100.0,81.85416666666667,100.0,7.375,85.79440073309577,52.763040751706555,95.26480024436526,reference/per_model.csv,0.975,0.9638671875,True,
3b-gdpo-s4,3B,gdpo,4,100,70.98445595854922,99.9259807549963,84.0625,100.0,9.875,91.1746809013159,54.9739853195164,97.0335538854374,reference/per_model.csv,0.975,0.9638671875,True,
