model,model_size,method,seed,step,summary,non_live_accuracy,live_accuracy,multi_turn_accuracy,average_accuracy,non_live_format,live_format,multi_turn_format,average_format
haotian-3b-dvao-s0-step100,3B,dvao,0,100,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-dvao-s0-step100/summary.json,83.39583333333334,69.35603256846781,9.25,54.00062196726705,99.97916666666666,99.85196150999259,92.48539333225158,97.43884050297028
haotian-3b-gd2po-hard-s0-step100,3B,gd2po_hard,0,100,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-gd2po-hard-s0-step100/summary.json,81.6875,67.65358993338268,8.625,52.65536331112756,100.0,99.7039230199852,92.99818608030381,97.56736970009634
haotian-3b-dvao-s0-step10,3B,dvao,0,10,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-dvao-s0-step10/summary.json,74.41666666666666,64.17468541820874,2.875,47.15545069495847,90.16666666666666,95.11472982975575,18.063489714411563,67.78162873694465
haotian-3b-dvao-s0-step20,3B,dvao,0,20,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-dvao-s0-step20/summary.json,79.25,66.24722427831237,4.500000000000001,49.999074759437455,99.72916666666667,98.66765358993338,31.751528588390343,76.71611628166346
haotian-3b-dvao-s0-step30,3B,dvao,0,30,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-dvao-s0-step30/summary.json,81.75,68.6898593634345,6.25,52.22995312114483,100.0,99.55588452997779,57.350762712705695,85.63554908089449
haotian-3b-dvao-s0-step40,3B,dvao,0,40,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-dvao-s0-step40/summary.json,82.3125,70.46632124352331,8.625,53.80127374784111,99.66666666666667,99.7039230199852,74.41488600349693,91.2618252300496
haotian-3b-dvao-s0-step50,3B,dvao,0,50,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-dvao-s0-step50/summary.json,82.70833333333333,70.83641746854182,9.0,54.181583600625046,99.83333333333333,99.4078460399704,85.16863730455779,94.80327222595383
haotian-3b-dvao-s0-step60,3B,dvao,0,60,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-dvao-s0-step60/summary.json,82.0625,69.57809030347892,9.625,53.7551967678263,99.41666666666666,99.3338267949667,89.14841451405748,95.9663026585636
haotian-3b-dvao-s0-step70,3B,dvao,0,70,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-dvao-s0-step70/summary.json,82.10416666666667,68.9859363434493,9.0,53.363367670038656,100.0,100.0,90.73440717377635,96.91146905792544
haotian-3b-dvao-s0-step80,3B,dvao,0,80,/scratch.global/lian0190/BFCL-v4-evaluation/20260917/dara_checkpoint_study/models/haotian-3b-dvao-s0-step80/summary.json,82.02083333333333,69.059955588453,7.875,52.98526297392877,100.0,100.0,91.43370058387403,97.14456686129135
