run_id,model_size,method,seed,step,live_accuracy,live_format,non_live_accuracy,non_live_format,multi_turn_accuracy,multi_turn_format,average_accuracy,average_format,source,validation_format_step100,training_format_step100,retained,exclusion_reason
haotian_1p5b_dvao_s4_save10,1.5B,dvao,4,100,59.65951147298297,99.7039230199852,73.125,99.72916666666667,4.0,74.44623371336296,45.59483715766099,91.29310780000495,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.9625,0.86474609375,True,
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,100,66.24722427831237,100.0,78.45833333333334,100.0,4.0,91.0142984222646,49.5685192038819,97.00476614075487,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.975,0.95263671875,True,
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,100,63.730569948186535,99.7779422649889,78.375,100.0,2.6250000000000004,51.56623630058039,48.24352331606217,83.78139285518976,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.9625,0.89892578125,True,
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,100,68.6158401184308,99.9259807549963,80.75,100.0,3.75,90.20074434193606,51.03861337281026,96.70890836564412,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.975,0.93359375,True,
haotian_1p5b_dara_s0_save10,1.5B,dara,0,100,67.87564766839378,99.9259807549963,80.375,100.0,4.75,90.69749692547704,51.0002158894646,96.87449256015778,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.975,0.9375,True,
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,100,64.54478164322724,99.85196150999259,78.79166666666666,100.0,1.7500000000000002,35.48118703322428,48.3621494366313,78.44438284773896,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.9375,0.87255859375,True,
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,100,68.5418208734271,100.0,79.5,100.0,5.75,88.48114532083538,51.26394029114236,96.16038177361179,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.975,0.943359375,True,
haotian_1p5b_dara_s1_save10,1.5B,dara,1,100,69.059955588453,100.0,81.60416666666667,100.0,4.75,95.4330576046565,51.80470741837322,98.47768586821883,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.975,0.9462890625,True,
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,100,64.17468541820874,99.9259807549963,77.58333333333334,100.0,2.875,32.82273820771975,48.21100625051402,77.58290632090535,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.925,0.89794921875,True,
haotian_1p5b_dara_s2_save10,1.5B,dara,2,100,68.6898593634345,99.85196150999259,79.77083333333333,100.0,5.0,92.28243151016852,51.153564232255945,97.37813100672037,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.975,0.92724609375,True,
haotian_1p5b_gd2po_hard_s0_save10,1.5B,gd2po_hard,0,100,69.80014803849001,99.9259807549963,79.8125,100.0,4.375,75.52217272776792,51.32921601283,91.8160511609214,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.975,0.9267578125,True,
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,100,63.06439674315322,99.9259807549963,77.16666666666667,100.0,4.5,84.00431051854767,48.243687803273296,94.64343042451466,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,0.975,0.947265625,True,
haotian_3b_dvao_s1_save10,3B,dvao,1,100,70.31828275351592,100.0,82.45833333333333,100.0,9.75,89.56832636354248,54.175538695616424,96.52277545451416,rental_3b_20260920/evaluation/checkpoint_per_model.csv,0.975,0.96044921875,True,
haotian_3b_gd2po_hard_s1_save10,3B,gd2po_hard,1,100,70.09622501850481,99.7779422649889,84.41666666666667,100.0,8.249999999999998,92.35984671664224,54.25429722839049,97.37926299387705,rental_3b_20260920/evaluation/checkpoint_per_model.csv,0.975,0.96044921875,True,
haotian_3b_dvao_s2_save10,3B,dvao,2,100,70.31828275351592,99.85196150999259,83.22916666666667,100.0,9.875,91.59036305819555,54.474149806727524,97.14744152272938,rental_3b_20260920/evaluation/checkpoint_per_model.csv,0.975,0.95751953125,True,
haotian_3b_gd2po_hard_s2_save10,3B,gd2po_hard,2,100,70.61435973353072,99.7039230199852,83.22916666666667,100.0,10.500000000000002,88.46815529819419,54.781175466732456,96.05735943939312,rental_3b_20260920/evaluation/checkpoint_per_model.csv,0.9875,0.96435546875,True,
haotian_3b_dvao_s0_save10,3B,dvao,0,100,69.35603256846781,99.85196150999259,83.39583333333334,99.97916666666666,9.25,92.48539333225158,54.00062196726705,97.43884050297028,inputs/local_3b_seed0_evaluation.csv,1.0,0.9697265625,True,
haotian_3b_gd2po_hard_s0_save10,3B,gd2po_hard,0,100,67.65358993338268,99.7039230199852,81.6875,100.0,8.625,92.99818608030381,52.65536331112756,97.56736970009634,inputs/local_3b_seed0_evaluation.csv,0.9875,0.96875,True,
