run_id,model_size,method,seed,step,correctness,format
haotian_1p5b_dara_s0_save10,1.5B,dara,0,0,-2.528125,2.5
haotian_1p5b_dara_s0_save10,1.5B,dara,0,10,1.3994456058368088,72.5
haotian_1p5b_dara_s0_save10,1.5B,dara,0,20,1.5756509637460112,92.5
haotian_1p5b_dara_s0_save10,1.5B,dara,0,30,1.6245778175070882,97.5
haotian_1p5b_dara_s0_save10,1.5B,dara,0,40,1.688595674932003,97.5
haotian_1p5b_dara_s0_save10,1.5B,dara,0,50,1.7067883156239987,97.5
haotian_1p5b_dara_s0_save10,1.5B,dara,0,60,1.7348835546523333,97.5
haotian_1p5b_dara_s0_save10,1.5B,dara,0,70,1.7146454580128192,97.5
haotian_1p5b_dara_s0_save10,1.5B,dara,0,80,1.7743234891444444,97.5
haotian_1p5b_dara_s0_save10,1.5B,dara,0,90,1.7751189433038235,97.5
haotian_1p5b_dara_s0_save10,1.5B,dara,0,100,1.7615556314587593,97.5
haotian_1p5b_dara_s1_save10,1.5B,dara,1,0,-2.54375,2.5
haotian_1p5b_dara_s1_save10,1.5B,dara,1,10,1.3909634640440345,80.0
haotian_1p5b_dara_s1_save10,1.5B,dara,1,20,1.5404947137460112,92.5
haotian_1p5b_dara_s1_save10,1.5B,dara,1,30,1.625985784828663,96.25
haotian_1p5b_dara_s1_save10,1.5B,dara,1,40,1.7246941614896059,97.5
haotian_1p5b_dara_s1_save10,1.5B,dara,1,50,1.7363418884575368,97.5
haotian_1p5b_dara_s1_save10,1.5B,dara,1,60,1.7151487059891224,97.5
haotian_1p5b_dara_s1_save10,1.5B,dara,1,70,1.8031276021152736,97.5
haotian_1p5b_dara_s1_save10,1.5B,dara,1,80,1.820476086437702,97.5
haotian_1p5b_dara_s1_save10,1.5B,dara,1,90,1.7255085542798043,97.5
haotian_1p5b_dara_s1_save10,1.5B,dara,1,100,1.8197942689061164,97.5
haotian_1p5b_dara_s2_save10,1.5B,dara,2,0,-2.54375,2.5
haotian_1p5b_dara_s2_save10,1.5B,dara,2,10,1.4751598900184035,81.25
haotian_1p5b_dara_s2_save10,1.5B,dara,2,20,1.5936197137460113,93.75
haotian_1p5b_dara_s2_save10,1.5B,dara,2,30,1.6871454581618308,97.5
haotian_1p5b_dara_s2_save10,1.5B,dara,2,40,1.7360659133642913,97.5
haotian_1p5b_dara_s2_save10,1.5B,dara,2,50,1.771579984202981,97.5
haotian_1p5b_dara_s2_save10,1.5B,dara,2,60,1.7855085544288158,97.5
haotian_1p5b_dara_s2_save10,1.5B,dara,2,70,1.705181172117591,97.5
haotian_1p5b_dara_s2_save10,1.5B,dara,2,80,1.7629192668944598,97.5
haotian_1p5b_dara_s2_save10,1.5B,dara,2,90,1.774526409804821,97.5
haotian_1p5b_dara_s2_save10,1.5B,dara,2,100,1.7314151473343373,97.5
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,0,-2.54375,2.5
