run_id,model_size,method,seed,provenance,final_table,process_curve,step60_table,validation_format_step60,validation_format_step100,training_format_step60,training_format_step100,first_validation_format_ge_0p8,first_training_format_ge_0p8,bfcl_v4_final_average_accuracy,bfcl_v4_final_average_format,bfcl_v4_step60_average_accuracy,bfcl_v4_step60_average_format,evaluation_source,metrics_snapshot,original_metrics
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,PR租机1.5B,未选入这组实验,纳入,纳入,0.925,0.9625,0.85400390625,0.89892578125,40,36,48.24352331606217,83.78139285518976,47.858638662718974,74.68706506610991,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_grpo_s0_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_grpo_s0_save10/metrics.jsonl
1.5b-grpo-s0,1.5B,grpo,0,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.925,0.9625,0.857421875,0.91162109375,40,37,48.10283534830167,85.42324898537468,,,reference/per_model.csv,reference/training_logs/1.5b/grpo_s0.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/grpo_seed0/metrics.jsonl
1.5b-grpo-s1,1.5B,grpo,1,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.9125,0.975,0.87841796875,0.92236328125,40,43,48.6836345505387,82.65212312785594,,,reference/per_model.csv,reference/training_logs/1.5b/grpo_s1.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/grpo_seed1/metrics.jsonl
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,PR租机1.5B,未选入这组实验,纳入,纳入,0.925,0.9375,0.84912109375,0.87255859375,40,34,48.3621494366313,78.44438284773896,47.55308310716342,74.99868204097612,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_grpo_s2_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_grpo_s2_save10/metrics.jsonl
1.5b-grpo-s2,1.5B,grpo,2,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.925,0.925,0.8466796875,0.86181640625,40,34,48.08984599884859,73.03054763424323,,,reference/per_model.csv,reference/training_logs/1.5b/grpo_s2.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/grpo_seed2/metrics.jsonl
1.5b-grpo-s4,1.5B,grpo,4,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.925,0.9625,0.86572265625,0.92333984375,30,31,48.521136606628836,85.10012123637374,,,reference/per_model.csv,reference/training_logs/1.5b/grpo_s4.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/grpo_seed4/metrics.jsonl
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,PR租机1.5B,未选入这组实验,纳入,纳入,0.925,0.925,0.87255859375,0.89794921875,40,40,48.21100625051402,77.58290632090535,47.61394851550292,74.4503203162187,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_grpo_s5_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_grpo_s5_save10/metrics.jsonl
1.5b-grpo-s5,1.5B,grpo,5,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.9125,0.95,0.87890625,0.9052734375,30,31,48.91607040052636,78.85650599159271,,,reference/per_model.csv,reference/training_logs/1.5b/grpo_s5.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/grpo_seed5/metrics.jsonl
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,PR租机1.5B,未选入这组实验,纳入,纳入,0.975,0.975,0.92041015625,0.93359375,30,28,51.03861337281026,96.70890836564412,50.16377786002138,84.12554236596495,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_gdpo_s0_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_gdpo_s0_save10/metrics.jsonl
1.5b-gdpo-s0,1.5B,gdpo,0,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.92431640625,0.94384765625,20,18,50.85184842503495,97.30205825395916,,,reference/per_model.csv,reference/training_logs/1.5b/gdpo_s0.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/gdpo_seed0/metrics.jsonl
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,PR租机1.5B,未选入这组实验,纳入,纳入,0.975,0.975,0.935546875,0.943359375,20,20,51.26394029114236,96.16038177361179,50.82954498725224,92.03427185089434,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_gdpo_s1_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_gdpo_s1_save10/metrics.jsonl
1.5b-gdpo-s1,1.5B,gdpo,1,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.93603515625,0.9453125,20,19,51.444495846697926,95.86599091137101,,,reference/per_model.csv,reference/training_logs/1.5b/gdpo_s1.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/gdpo_seed1/metrics.jsonl
1.5b-gdpo-s2,1.5B,gdpo,2,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.075,0.975,0.10888671875,0.94189453125,80,75,49.28739513940291,96.27910132577776,,,reference/per_model.csv,reference/training_logs/1.5b/gdpo_s2.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/gdpo_seed2/metrics.jsonl
1.5b-gdpo-s4,1.5B,gdpo,4,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.9296875,0.94140625,20,16,51.21442964059544,97.95208153881977,,,reference/per_model.csv,reference/training_logs/1.5b/gdpo_s4.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/gdpo_seed4/metrics.jsonl
haotian_1p5b_gdpo_s5_save10,1.5B,gdpo,5,PR租机1.5B,未选入这组实验,未收敛，排除,未收敛，排除,0.0875,0.0875,0.06689453125,0.0859375,,,50.043846122214,21.030393089902173,49.890168805000414,4.686791324900188,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,rental_1p5b_20260919/training/runs/haotian_1p5b_gdpo_s5_save10/metrics.jsonl,/users/2/lian0190/DARA-paper-20260920/results/rental_1p5b_20260919/training/runs/haotian_1p5b_gdpo_s5_save10/metrics.jsonl
1.5b-gdpo-s5,1.5B,gdpo,5,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.0875,0.975,0.10693359375,0.95751953125,70,65,49.036495599967104,98.12742960429829,,,reference/per_model.csv,reference/training_logs/1.5b/gdpo_s5.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/gdpo_seed5/metrics.jsonl
1.5b-dvao-s0,1.5B,dvao,0,本机原始训练,纳入,未选入这组实验,未选入这组实验,0.975,0.975,0.828125,0.95263671875,60,60,50.21565815445349,96.80830589645556,,,reference/per_model.csv,reference/training_logs/1.5b/dvao_s0.jsonl,/scratch.global/lian0190/RD-GDPO/results/figure1/dvao_seed0/metrics.jsonl
