run_id,model_size,method,seed,step,live_accuracy,live_format,non_live_accuracy,non_live_format,multi_turn_accuracy,multi_turn_format,average_accuracy,average_format,source,retained,exclusion_reason,validation_format_step60,training_format_step60
haotian_1p5b_gd2po_hard_s4_save10,1.5B,gd2po_hard,4,60,67.13545521835678,100.0,79.8125,100.0,5.125,70.28123143211327,50.69098507278559,90.09374381070442,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,True,,0.975,0.93603515625
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,60,63.13841598815693,99.85196150999259,78.1875,99.97916666666666,2.25,24.23006702167047,47.858638662718974,74.68706506610991,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,True,,0.925,0.85400390625
haotian_1p5b_gdpo_s0_save10,1.5B,gdpo,0,60,67.9496669133975,99.9259807549963,79.54166666666667,100.0,3.0000000000000004,52.450646342898544,50.16377786002138,84.12554236596495,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,True,,0.975,0.92041015625
haotian_1p5b_dara_s0_save10,1.5B,dara,0,60,67.43153219837158,100.0,79.83333333333333,100.0,4.5,87.64091705426758,50.588288510568304,95.88030568475587,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,True,,0.975,0.921875
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,60,63.13841598815693,99.6299037749815,77.27083333333333,99.79166666666667,2.25,25.5744756812802,47.55308310716342,74.99868204097612,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,True,,0.925,0.84912109375
haotian_1p5b_gdpo_s1_save10,1.5B,gdpo,1,60,68.46780162842339,100.0,80.14583333333334,100.0,3.875,76.10281555268303,50.82954498725224,92.03427185089434,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,True,,0.975,0.935546875
haotian_1p5b_dara_s1_save10,1.5B,dara,1,60,68.76387860843819,100.0,80.0625,100.0,4.75,91.91554361928998,51.19212620281273,97.30518120642999,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,True,,0.975,0.94140625
haotian_1p5b_grpo_s5_save10,1.5B,grpo,5,60,63.50851221317543,99.85196150999259,76.70833333333333,99.875,2.6250000000000004,23.623999438663507,47.61394851550292,74.4503203162187,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,True,,0.925,0.87255859375
haotian_1p5b_dara_s2_save10,1.5B,dara,2,60,68.9119170984456,99.9259807549963,79.625,100.0,4.625,85.01504326663168,51.053972366148535,94.98034134054267,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,True,,0.975,0.935546875
haotian_1p5b_dvao_s3_save10,1.5B,dvao,3,60,68.09770540340489,99.85196150999259,79.54166666666667,100.0,2.25,57.03761163522083,49.96312402335719,85.62985771507114,rental_1p5b_20260919/evaluation/checkpoint_per_model.csv,True,,0.975,0.89794921875
haotian_3b_dvao_s1_save10,3B,dvao,1,60,70.98445595854922,99.9259807549963,82.70833333333334,100.0,7.875,76.07225298788829,53.85592976396085,91.99941124762819,rental_3b_20260920/evaluation/checkpoint_per_model.csv,True,,0.975,0.95849609375
haotian_3b_gd2po_hard_s1_save10,3B,gd2po_hard,1,60,70.83641746854182,100.0,83.29166666666667,100.0,6.625,87.79961017779627,53.58436137840283,95.93320339259876,rental_3b_20260920/evaluation/checkpoint_per_model.csv,True,,0.975,0.95703125
haotian_3b_dvao_s2_save10,3B,dvao,2,60,70.17024426350851,100.0,82.29166666666667,99.83333333333333,7.249999999999999,80.39620292611795,53.23730364339173,93.40984541981709,rental_3b_20260920/evaluation/checkpoint_per_model.csv,True,,0.975,0.96484375
haotian_3b_gd2po_hard_s2_save10,3B,gd2po_hard,2,60,69.8741672834937,99.7779422649889,81.83333333333334,100.0,7.625,85.91882313167872,53.110833538942344,95.23225513222255,rental_3b_20260920/evaluation/checkpoint_per_model.csv,True,,0.975,0.9658203125
haotian_3b_dvao_s0_save10,3B,dvao,0,60,69.57809030347892,99.3338267949667,82.0625,99.41666666666666,9.625,89.14841451405748,53.7551967678263,95.9663026585636,inputs/local_3b_seed0_evaluation.csv,True,,0.975,0.96923828125
haotian_3b_gd2po_hard_s0_save10,3B,gd2po_hard,0,60,68.6898593634345,99.9259807549963,83.0,100.0,6.75,76.06143609136869,52.81328645447817,91.995805615455,inputs/local_3b_seed0_evaluation.csv,True,,0.975,0.9619140625
