model_size,method,seed,step,train_format,train_correctness,val_format,val_correctness,pi_correctness,w_correctness,active_groups_correctness,pi_format,w_format,active_groups_format
1.5B,rdgdpo_positive,0,0,,,0.025000000,-2.528125000,,,,,,
1.5B,rdgdpo_positive,0,1,0.006347656,-2.443600893,,,0.171875000,1.000000000,88.000000000,0.025390625,2.601774542,13.000000000
1.5B,rdgdpo_positive,0,2,0.006347656,-2.461885691,,,0.181640625,1.000000000,93.000000000,0.021484375,2.907670108,11.000000000
1.5B,rdgdpo_positive,0,3,0.010742188,-2.172090769,,,0.273437500,1.000000000,140.000000000,0.041015625,2.581988897,21.000000000
1.5B,rdgdpo_positive,0,4,0.012207031,-1.584541321,,,0.546875000,1.000000000,280.000000000,0.041015625,3.651483717,21.000000000
1.5B,rdgdpo_positive,0,5,0.029296875,-0.496662527,,,0.710937500,1.000000000,364.000000000,0.103515625,2.620672534,53.000000000
1.5B,rdgdpo_positive,0,6,0.059570312,0.064431876,,,0.689453125,1.000000000,353.000000000,0.167968750,2.025993870,86.000000000
1.5B,rdgdpo_positive,0,7,0.071289062,0.193730697,,,0.695312500,1.000000000,356.000000000,0.216796875,1.790867725,111.000000000
1.5B,rdgdpo_positive,0,8,0.148437500,0.565084696,,,0.660156250,1.000000000,338.000000000,0.345703125,1.381884409,177.000000000
1.5B,rdgdpo_positive,0,9,0.246582031,0.699333787,,,0.664062500,1.000000000,340.000000000,0.431640625,1.240347346,221.000000000
1.5B,rdgdpo_positive,0,10,0.424316406,0.901126087,0.775000000,1.442481319,0.658203125,1.000000000,337.000000000,0.558593750,1.085505264,286.000000000
1.5B,rdgdpo_positive,0,11,0.552246094,0.913564503,,,0.621093750,1.000000000,318.000000000,0.527343750,1.085254706,270.000000000
1.5B,rdgdpo_positive,0,12,0.671875000,1.007644176,,,0.597656250,1.000000000,306.000000000,0.386718750,1.243163121,198.000000000
1.5B,rdgdpo_positive,0,13,0.746582031,1.091738701,,,0.550781250,1.000000000,282.000000000,0.296875000,1.362080452,152.000000000
1.5B,rdgdpo_positive,0,14,0.786621094,1.104266405,,,0.541015625,1.000000000,277.000000000,0.208984375,1.608970182,107.000000000
1.5B,rdgdpo_positive,0,15,0.819824219,1.118046284,,,0.482421875,1.000000000,247.000000000,0.146484375,1.814754345,75.000000000
1.5B,rdgdpo_positive,0,16,0.833496094,1.323963523,,,0.480468750,1.000000000,246.000000000,0.138671875,1.861394298,71.000000000
1.5B,rdgdpo_positive,0,17,0.873535156,1.449019194,,,0.486328125,1.000000000,249.000000000,0.132812500,1.913573805,68.000000000
1.5B,rdgdpo_positive,0,18,0.873535156,1.288624048,,,0.466796875,1.000000000,239.000000000,0.121093750,1.963374317,62.000000000
