model_size,method,seed,max_step,complete,format_0p8_step,final_train_format,final_train_correctness,last_val_step,last_val_format,last_val_correctness
1.5B,rdgdpo_positive,0,100,True,15,0.938476562,1.852508307,100,0.975000000,1.766485700
1.5B,rdgdpo_positive,1,100,True,14,0.942871094,1.936049819,100,0.975000000,1.704390920
1.5B,rdgdpo_positive,2,100,True,13,0.941406250,1.854101419,100,0.975000000,1.687309563
1.5B,rdgdpo_positive,4,100,True,13,0.943847656,2.086661577,100,0.975000000,1.822871189
1.5B,rdgdpo_positive,5,100,True,16,0.945800781,1.905602217,100,0.975000000,1.810167021
3B,rdgdpo_positive,0,100,True,10,0.980468750,1.901985645,100,1.000000000,1.785126331
3B,rdgdpo_positive,1,100,True,10,0.977050781,2.005221844,100,1.000000000,1.725885574
3B,rdgdpo_positive,2,100,True,9,0.964843750,1.923238993,100,1.000000000,1.721852521
3B,rdgdpo_positive,4,100,True,9,0.978027344,2.138218641,100,1.000000000,1.783940434
3B,rdgdpo_positive,5,76,False,10,0.977050781,1.935560465,70,0.987500000,1.757135574
