model_size,method,n,seeds,v3_live_mean,v3_live_std,v3_non_live_mean,v3_non_live_std,v4_live_mean,v4_live_std,v4_non_live_mean,v4_non_live_std,v4_multi_turn_mean,v4_multi_turn_std,v4_average_mean,v4_average_std,v4_average_format_mean,v4_average_format_std
1.5B,base,1,,10.584752035529238,0,15.145833333333334,0,9.32642487046632,0,12.062500000000002,0,0.375,0,7.254641623488774,0,0.23422850357759684,0
1.5B,grpo,5,"0,1,2,4,5",64.97409326424871,0.8013245656683555,78.47916666666667,0.32775276505317463,64.79644707623983,0.5504364897876585,78.04166666666666,0.8389136079875373,2.55,0.46435439052516775,48.46270458096883,0.36273072185200744,81.01250939508806,5.177151526623842
1.5B,gdpo,5,"0,1,2,4,5",66.91339748334566,2.6729045277968595,79.5375,2.2657339533189287,67.04663212435233,2.3992970338216635,79.30416666666666,1.6933796745627385,4.75,0.7447734554883114,50.366932930339665,1.12361035080115,97.1053323268452,1.0023713102176601
1.5B,dara,5,"0,1,2,4,5",68.76387860843819,1.187772504506382,80.25833333333334,1.109910375510864,68.42339008142118,1.3101615457899014,80.24583333333334,0.7760801164971498,4.85,0.6812213296719356,51.17307447158483,0.7792544241433204,97.55240185335873,0.6444736922402879
1.5B,rvpo,3,"0,1,2",68.54182087342708,1.8769389094161262,79.05555555555556,1.3112317505703164,68.78855169010609,1.8166158533629346,78.85416666666667,1.1537604580000413,4.875,0.649519052838329,50.83923945225759,0.7717758073462094,96.94457414217622,1.8258835662069886
1.5B,dvao,2,"0,2",67.50555144337528,0.9421111814476596,79.14583333333334,1.6499158227686075,67.65358993338268,0.6280741209651031,78.69791666666666,1.045928780505105,4.125,0.1767766952966369,50.15883553334979,0.08035932141445332,94.63177366785254,3.0780813966325424
1.5B,gd2po_hard,2,"0,1",68.24574389341228,0.6280741209651031,80.64583333333333,0.5303300858899106,68.83789785344189,0.6280741209651031,79.9375,0.7660323462854332,5.0,1.2374368670764582,51.2584659511473,0.052223200058034394,96.02491449179854,0.6621138285772435
1.5B,gdpo_saw,3,"0,1,2",69.40537873180361,0.6877552363565902,80.73611111111111,0.48157606798849245,69.77547495682211,0.9372524013433328,79.88888888888889,0.9214678557927317,3.6666666666666665,0.7534642216677135,51.110343504125886,0.2320448340331748,97.82376111163975,0.6709844365727579
3B,base,1,,59.21539600296077,0,46.395833333333336,0,47.66839378238342,0,36.22916666666667,0,1.7500000000000002,0,28.54918681635003,0,32.770861439762335,0
3B,grpo,5,"0,1,2,4,5",69.7261287934863,0.7745540168932759,82.19583333333334,0.5589393477332252,69.31162102146558,0.24881919043629658,81.8625,0.8246421782944519,6.525,0.8263246940519204,52.566373673821865,0.44118958135474806,88.7579266946756,1.2153907670469328
3B,gdpo,5,"0,1,2,4,5",69.34122871946707,1.0512296461079016,82.95416666666667,0.9236711551075832,69.29681717246484,0.9867073536333396,82.60416666666667,0.9390034241447411,9.075,1.491119545844665,53.6586612797105,0.9551724720299554,96.57087493760419,0.7661979101296802
3B,dara,5,"0,1,2,4,5",70.40710584752036,1.0616021681307013,82.97500000000001,0.83741189420473,70.39230199851961,0.979182572562767,83.05,0.8053370153751357,9.0,0.9882117688026185,54.14743399950654,0.5759754869114332,97.22005828100845,0.663397717051871
