model_size,method,seed,step,val_format,val_correctness,train_format,train_correctness,train_length,response_tokens,step_seconds,grad_norm,dara/pi_correctness,dara/w_correctness,dara/active_groups_correctness,dara/pi_format,dara/w_format,dara/active_groups_format
1.5B,grpo,0,0,0.025,-2.528125,,,,,,,,,,,,
1.5B,grpo,0,1,,,0.00634765625,-2.44360089302063,0.0,122.1689453125,105.02785919699818,111.03866457939148,,,,,,
1.5B,grpo,0,2,,,0.00634765625,-2.461885690689087,0.0,122.3037109375,98.37567493604729,59.21119850873947,,,,,,
1.5B,grpo,0,3,,,0.0107421875,-2.3316051959991455,0.0,119.0078125,95.93143079901347,113.07430690526962,,,,,,
1.5B,grpo,0,4,,,0.0087890625,-2.214463233947754,0.0,115.7001953125,90.36372613103595,82.57518285512924,,,,,,
1.5B,grpo,0,5,,,0.00634765625,-2.1982433795928955,0.0,118.99169921875,92.2743727969937,159.47754287719727,,,,,,
1.5B,grpo,0,6,,,0.0126953125,-1.9746620655059814,0.0,118.96044921875,90.17754461197183,71.20470714569092,,,,,,
1.5B,grpo,0,7,,,0.01806640625,-1.7667220830917358,0.0,113.10693359375,93.20523907698225,130.872132062912,,,,,,
1.5B,grpo,0,8,,,0.0166015625,-1.3534560203552246,0.0,118.64453125,92.71002075501019,91.84695255756378,,,,,,
1.5B,grpo,0,9,,,0.01171875,-0.9285963773727417,0.0,111.29150390625,91.61368989897892,28.052879333496094,,,,,,
1.5B,grpo,0,10,0.05,0.6619584575295449,0.01708984375,-0.249062180519104,0.0,101.77685546875,107.497426936985,287.86614060401917,,,,,,
1.5B,grpo,0,11,,,0.01220703125,-0.34146979451179504,0.0,102.703125,87.79057847399963,66.30644363164902,,,,,,
1.5B,grpo,0,12,,,0.01953125,0.2709668278694153,0.0,96.0693359375,89.15103957697283,65.40484488010406,,,,,,
1.5B,grpo,0,13,,,0.0146484375,0.6627781391143799,0.0,96.4912109375,91.51799909200054,17.927549183368683,,,,,,
1.5B,grpo,0,14,,,0.00634765625,0.935778021812439,0.0,92.78466796875,91.01592509797774,75.229028403759,,,,,,
1.5B,grpo,0,15,,,0.01025390625,0.9795917868614197,0.0,90.48095703125,87.39558916998794,97.20107072591782,,,,,,
1.5B,grpo,0,16,,,0.00634765625,1.129646897315979,0.0,83.54638671875,86.5420834950055,2.7467041611671448,,,,,,
1.5B,grpo,0,17,,,0.0126953125,1.2693748474121094,0.0,81.14111328125,87.23599905095762,179.34420156478882,,,,,,
1.5B,grpo,0,18,,,0.01220703125,1.1209371089935303,0.0,95.236328125,90.79818245704519,97.06900006532669,,,,,,
1.5B,grpo,0,19,,,0.01123046875,1.3379243612289429,0.0,84.39453125,89.17542238300666,21.00947082042694,,,,,,
1.5B,grpo,0,20,0.025,1.5497560741379857,0.01416015625,1.1937546730041504,0.0,86.8154296875,99.1681168290088,3.02681964635849,,,,,,
1.5B,grpo,0,21,,,0.0166015625,1.4242093563079834,0.0,96.294921875,90.4787215879769,45.1428524851799,,,,,,
1.5B,grpo,0,22,,,0.017578125,1.4244325160980225,0.0,93.1103515625,89.63265591399977,104.22873049974442,,,,,,
1.5B,grpo,0,23,,,0.01806640625,1.3780055046081543,0.0,83.03076171875,85.74173379899003,68.59492409229279,,,,,,
1.5B,grpo,0,24,,,0.02392578125,1.4422011375427246,0.0,81.9267578125,87.8601160539547,150.59393203258514,,,,,,
1.5B,grpo,0,25,,,0.03759765625,1.4538146257400513,0.0,87.650390625,90.47512475401163,87.46113467216492,,,,,,
1.5B,grpo,0,26,,,0.0361328125,1.481579065322876,0.0,87.17578125,87.05580640002154,8.454944968223572,,,,,,
1.5B,grpo,0,27,,,0.0498046875,1.3606233596801758,0.0,92.880859375,91.71520797698759,57.58502012491226,,,,,,
1.5B,grpo,0,28,,,0.06689453125,1.449334979057312,0.0,80.77197265625,85.75906177499564,82.94592034816742,,,,,,
1.5B,grpo,0,29,,,0.07177734375,1.467756986618042,0.0,82.95703125,85.15316895901924,15.754327476024628,,,,,,
1.5B,grpo,0,30,0.15,1.5574941713362933,0.09375,1.4683696031570435,0.0,80.14208984375,92.06692558102077,104.84646332263947,,,,,,
1.5B,grpo,0,31,,,0.16064453125,1.5228720903396606,0.0,83.32763671875,86.83885502204066,2.8889063596725464,,,,,,
1.5B,grpo,0,32,,,0.22900390625,1.2963192462921143,0.0,87.9150390625,88.6235645430279,15.808649897575378,,,,,,
1.5B,grpo,0,33,,,0.27978515625,1.4326062202453613,0.0,89.154296875,90.40556290297536,103.48739230632782,,,,,,
1.5B,grpo,0,34,,,0.44140625,1.4886231422424316,0.0,93.24560546875,92.89052194496617,25.084976851940155,,,,,,
1.5B,grpo,0,35,,,0.63330078125,1.257665753364563,0.0,106.84765625,92.33944722701563,5.2377012968063354,,,,,,
1.5B,grpo,0,36,,,0.77001953125,1.5263710021972656,0.0,104.3330078125,90.75561879499583,16.77950543165207,,,,,,
1.5B,grpo,0,37,,,0.80078125,1.412651777267456,0.0,113.50390625,92.95710484095616,54.24376654624939,,,,,,
1.5B,grpo,0,38,,,0.81494140625,1.41933012008667,0.0,113.31201171875,89.46320720604854,16.326734244823456,,,,,,
1.5B,grpo,0,39,,,0.82177734375,1.3596564531326294,0.0,112.4375,91.52105953497812,7.4631723165512085,,,,,,
1.5B,grpo,0,40,0.925,1.5974143555387854,0.8564453125,1.460148811340332,0.0,108.31103515625,92.4948743180139,57.81724685430527,,,,,,
1.5B,grpo,0,41,,,0.859375,1.4768799543380737,0.0,108.21142578125,90.87772734300233,86.28993558883667,,,,,,
