model_size,method,seed,step,format_t80,final_train_format,final_val_format,total_training_seconds
1.5B,grpo,0,100,37,0.91162109375,0.9625,9152.743208444212
1.5B,grpo,1,100,43,0.92236328125,0.975,8889.100403860328
1.5B,grpo,2,100,34,0.86181640625,0.925,9149.715255602263
1.5B,grpo,4,100,31,0.92333984375,0.9625,8700.343595851009
1.5B,grpo,5,100,31,0.9052734375,0.95,8934.956589345064
1.5B,gdpo,0,100,18,0.94384765625,0.975,8470.233840346744
1.5B,gdpo,1,100,19,0.9453125,0.975,8475.6606379351
1.5B,gdpo,2,100,75,0.94189453125,0.975,8747.2521800822
1.5B,gdpo,4,100,16,0.94140625,0.975,8519.393039401039
1.5B,gdpo,5,100,65,0.95751953125,0.975,8401.53698206623
1.5B,dara,0,100,14,0.9365234375,0.975,8648.682640444953
1.5B,dara,1,100,16,0.95361328125,0.975,8404.295609329129
1.5B,dara,2,100,15,0.92822265625,0.975,8879.920470923593
1.5B,dara,4,100,13,0.9423828125,0.975,8563.366504542588
1.5B,dara,5,100,29,0.958984375,0.975,8536.879942487969
1.5B,rvpo,0,100,55,0.9501953125,0.975,8380.865194563987
1.5B,rvpo,1,100,20,0.939453125,0.975,8563.361776910999
1.5B,rvpo,2,100,26,0.923828125,0.975,8508.533624218893
1.5B,dvao,0,100,60,0.95263671875,0.975,8498.008274593
1.5B,dvao,1,100,,0.11328125,0.1125,8544.410279063333
1.5B,dvao,2,100,,0.392578125,0.9625,8196.475359564001
1.5B,gd2po_hard,0,100,26,0.93896484375,0.975,8674.49249864713
1.5B,gd2po_hard,1,100,44,0.95361328125,0.975,8502.975929675857
1.5B,gd2po_hard,2,100,,0.06982421875,0.0875,8475.477904750907
1.5B,gdpo_saw,0,100,14,0.93701171875,0.975,8536.20885163199
1.5B,gdpo_saw,1,100,12,0.93994140625,0.975,8563.255473933
1.5B,gdpo_saw,2,100,14,0.923828125,0.975,8506.86899992224
3B,grpo,0,100,19,0.947265625,0.9875,15144.896247271041
3B,grpo,1,100,19,0.9453125,0.9875,15795.970863793627
3B,grpo,2,100,20,0.94921875,0.9875,15543.12914541422
3B,grpo,4,100,21,0.953125,0.9875,15336.990423343028
3B,grpo,5,100,18,0.95751953125,0.9875,17983.49469429569
3B,gdpo,0,100,14,0.96337890625,0.975,15112.780432045227
3B,gdpo,1,100,11,0.9619140625,0.9875,14604.226048036944
3B,gdpo,2,100,9,0.9638671875,0.975,15243.33491616929
3B,gdpo,4,100,12,0.9638671875,0.975,14681.428249521909
3B,gdpo,5,100,12,0.97509765625,1.0,16044.182600757806
3B,dara,0,100,10,0.9697265625,1.0,14386.467318911004
3B,dara,1,100,9,0.97314453125,1.0,15093.837295577629
3B,dara,2,100,10,0.9638671875,1.0,14696.277660695836
3B,dara,4,100,11,0.97705078125,0.975,16328.022391631268
3B,dara,5,100,10,0.9775390625,0.975,14518.15229477387
