archive,size_bytes
haotian_1p5b_dara_s0_save10.tar.zst,53678960
haotian_1p5b_dara_s1_save10.tar.zst,52150405
haotian_1p5b_dara_s2_save10.tar.zst,55167839
haotian_1p5b_dvao_s3_save10.tar.zst,56469534
haotian_1p5b_dvao_s4_save10.tar.zst,55127429
haotian_1p5b_dvao_s5_save10.tar.zst,56690474
haotian_1p5b_gd2po_hard_s0_save10.tar.zst,57062910
haotian_1p5b_gd2po_hard_s4_save10.tar.zst,57224186
haotian_1p5b_gd2po_hard_s5_save10.tar.zst,57623883
haotian_1p5b_gdpo_s0_save10.tar.zst,54201575
haotian_1p5b_gdpo_s1_save10.tar.zst,54003986
haotian_1p5b_gdpo_s5_save10.tar.zst,55490187
haotian_1p5b_grpo_s0_save10.tar.zst,63502269
haotian_1p5b_grpo_s2_save10.tar.zst,63202458
haotian_1p5b_grpo_s5_save10.tar.zst,62382245
