model_size,method,step,completed_seeds,expected_seeds,seeds,live_accuracy_mean,live_accuracy_sd,live_format_mean,live_format_sd,non_live_accuracy_mean,non_live_accuracy_sd,non_live_format_mean,non_live_format_sd,multi_turn_accuracy_mean,multi_turn_accuracy_sd,multi_turn_format_mean,multi_turn_format_sd,average_accuracy_mean,average_accuracy_sd,average_format_mean,average_format_sd
1.5b,dvao,10,3,3,"4,5,3",56.674068591167035,0.9546282813793728,0.12336540833950159,0.08547006205619923,76.82638888888889,0.8790415919456662,0.05555555555555556,0.09622504486493763,1.875,0.25,0.003787878787878788,0.006560798513518475,45.125152493351976,0.6426598669275801,0.060902947560978644,0.03139933627957794
1.5b,dvao,20,3,3,"4,5,3",64.12533925487294,2.403441852815348,0.0,0.0,78.73611111111111,0.4321766078472695,0.0,0.0,2.7916666666666665,0.7216878364870319,0.19739593310026746,0.12928332013471,48.55103901088357,0.8877326483399319,0.06579864436675581,0.043094440044903336
1.5b,dvao,30,3,3,"4,5,3",65.72908956328646,0.4622500368910711,1.6284233900814211,2.8205120478545744,80.07638888888889,0.3622444821040306,2.5833333333333335,4.474464586219599,2.7916666666666665,0.4732423621500228,1.2914704652762417,0.8584223864859295,49.532381706280674,0.19931598539437775,1.834409062896999,2.7078931378553297
1.5b,dvao,40,3,3,"4,5,3",65.82778188995806,0.9939914669866146,33.25931408832963,57.60682182587827,79.32638888888889,1.1151835092303204,33.18055555555555,57.470408045583994,2.4166666666666665,0.7637626158259734,19.279417534747754,24.001379610070707,49.19027914850454,0.31042865742760556,28.57309572621098,46.34817639871004
1.5b,dvao,50,3,3,"4,5,3",66.61732050333087,0.9004829800589466,33.16062176165803,57.43588170176588,79.81944444444444,1.2406478855525198,33.333333333333336,57.735026918962575,2.0833333333333335,0.6884463184107628,22.526617319574264,24.554858752075727,49.50669942703621,0.5075514856697323,29.673524138188544,46.46449631017975
1.5b,dvao,60,3,3,"4,5,3",66.29657044164817,1.5707667448701683,33.358006415001235,57.58556134605675,79.06944444444444,1.2362671561929877,33.333333333333336,57.735026918962575,2.0416666666666665,0.590726953281576,29.980523114210477,24.432145142483154,49.13589385091976,0.959357950147668,32.223954287515014,46.31018586006561
1.5b,dvao,70,3,3,"4,5,3",66.61732050333087,1.2451964353264815,33.43202566000493,57.64960437545354,80.02777777777779,0.7466165967835217,33.333333333333336,57.735026918962575,2.9583333333333335,0.8779711460710616,41.623189924398375,28.73905288527332,49.86781053814733,0.7055585761690933,36.12951630591221,47.785890057581106
1.5b,dvao,80,3,3,"4,5,3",66.46928201332346,0.4622500368910711,33.530717986676535,57.500091443101994,80.5,0.5241560677253884,33.333333333333336,57.735026918962575,2.4583333333333335,1.4049762750072805,47.27515100169201,29.568209508073625,49.80920511555227,0.7782108205251845,38.04640077390063,47.98578602005783
1.5b,dvao,90,3,3,"4,5,3",65.38366641993585,0.40766621371473283,34.172218110041946,56.94877033409665,80.03472222222221,0.02405626121623714,33.56944444444444,57.53163883979486,3.0833333333333335,1.2520816001097266,53.538837939700514,26.4466339173441,49.50057399183047,0.4756428624060458,40.4268334980623,46.77930454273922
1.5b,dvao,100,3,3,"4,5,3",62.81766592647422,3.042302026508441,66.86405132000986,57.072741935476124,76.75,3.435668704116337,66.63194444444444,57.56077831502525,3.416666666666667,1.4648663192705786,63.47351875400396,27.698238391289255,47.66144419771363,1.8456986590272548,65.65650483948609,47.33501419136527
1.5b,gd2po_hard,10,3,3,"4,5,0",56.08191463113743,1.2034294002721118,0.5181347150259067,0.7727836053967839,76.35416666666667,0.2724311839712872,0.736111111111111,1.133711129841251,1.875,0.649519052838329,0.1931928522305199,0.31052977350123495,44.770360432601365,0.22316031445812745,0.4824795594558459,0.7382409566453473
1.5b,gd2po_hard,20,3,3,"4,5,0",63.409819886503826,0.470085341309088,33.08660251665433,57.307676608681575,76.1875,0.8006616187739855,33.06944444444444,57.27795795585412,2.5,0.21650635094610965,12.126609322528697,20.154516675566853,47.36577329550128,0.28901257873528463,26.094218761209156,44.912484228641766
1.5b,gd2po_hard,30,3,3,"4,5,0",65.23562792992846,0.8153324274294738,33.333333333333336,57.735026918962575,77.45138888888889,0.6254627916220918,33.291666666666664,57.662858135313876,2.5833333333333335,0.36084391824351614,12.650702143627052,20.58363828986564,48.42345005071689,0.40828711638803916,26.42523404787568,45.325600797840785
1.5b,gd2po_hard,40,3,3,"4,5,0",65.30964717493215,0.8514894609788984,33.333333333333336,57.735026918962575,78.91666666666667,0.24562137755315364,33.333333333333336,57.735026918962575,2.4583333333333335,0.3145764348029479,17.477284930811802,26.99091834727398,48.89488239164405,0.2728419846999852,28.047983865826158,47.485130520970834
1.5b,gd2po_hard,50,3,3,"4,5,0",65.75376264495436,0.9631986822572487,33.30866025166544,57.69229188793448,79.15277777777779,0.5687665341512047,33.291666666666664,57.662858135313876,2.625,0.8660254037844384,24.26680643978371,36.687410871069744,49.177180140910714,0.7463111400120676,30.289044452705273,50.68005010017111
1.5b,gd2po_hard,60,3,3,"4,5,0",65.67974339995067,1.2870270274606452,34.46829509005675,56.77765028801972,79.58333333333333,0.6260408000548633,33.798611111111114,57.33633233637322,3.3333333333333335,1.562916611125921,30.823462980339905,35.20506698986443,49.53213668887244,1.061813691986238,33.03012306050259,49.55116177626786
1.5b,gd2po_hard,70,3,3,"4,5,0",66.83937823834196,0.8341545277264708,66.66666666666667,57.735026918962575,78.69444444444444,0.785152291196027,66.5,57.591231971542335,3.7083333333333335,1.448778220892809,49.16146065596128,39.73657924178977,49.74738533870658,0.8904667154911289,60.77604244087598,51.61544526578341
1.5b,gd2po_hard,80,3,3,"4,5,0",65.53170490994326,3.453085707559888,66.64199358499877,57.71367126989428,78.60416666666667,1.1661084974297062,66.625,57.698976377402055,3.4166666666666665,1.0777097630314636,53.407803858038264,43.56786172881382,49.18417941442553,1.6737563616930478,62.224932481012345,52.85181494673976
1.5b,gd2po_hard,90,3,3,"4,5,0",66.09918578830496,1.849000147564292,66.61732050333087,57.69229188793448,79.50694444444444,1.2562920344911517,66.625,57.698976377402055,3.9583333333333335,1.371206889325361,55.48977174118683,44.41669582229002,49.854821188694245,1.3831984337704408,62.910697414839234,53.131004242454445
1.5b,gd2po_hard,100,3,3,"4,5,0",66.22255119664447,3.589996972532968,66.64199358499877,57.71367126989428,77.86111111111111,2.3086805294446964,66.66666666666667,57.735026918962575,3.5,1.2054563451241194,57.50384197621245,45.2925316379618,49.194554102585194,2.3441246608354267,63.60416740929263,53.42100887368551
1.5b,grpo,10,3,3,"0,2,5",44.41154700222057,5.677811668620316,5.40340488527017,3.9020149083929536,58.09027777777778,8.354409112580637,3.076388888888889,2.9661233506854505,0.7083333333333334,0.2886751345948129,0.9448355841018885,0.3952992978775427,34.40338603777723,4.598061340527218,3.141543119420316,2.4089166119403522
1.5b,grpo,20,3,3,"0,2,5",60.399703923019985,0.8142116950407114,1.5790772267456206,0.841782487502195,77.80555555555556,0.3740342502637492,0.5833333333333333,0.5605676686280712,1.625,0.5,0.930201950738236,0.7573566559187861,46.610086492858514,0.5575695223623105,1.0308708369390631,0.7193416544461589
1.5b,grpo,30,3,3,"0,2,5",63.38514680483593,0.8153324274294794,32.889217863311124,38.811031956552085,76.95138888888889,0.9115228151794112,41.479166666666664,43.96584157837132,2.166666666666667,0.43898557303553065,14.408709242834762,9.964657585197289,47.501067453463826,0.2002340013778793,29.592364590937517,30.61361255119733
