run_id,model_size,method,seed,step,summary,live_accuracy,live_format,non_live_accuracy,non_live_format,multi_turn_accuracy,multi_turn_format,average_accuracy,average_format
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_dvao_s4_save10/step_100/summary.json,59.65951147298297,99.7039230199852,73.125,99.72916666666667,4.0,74.44623371336296,45.59483715766099,91.29310780000495
haotian_1p5b_gd2po_hard_s4_save10,1.5b,gd2po_hard,4,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_gd2po_hard_s4_save10/step_100/summary.json,66.24722427831237,100.0,78.45833333333334,100.0,4.0,91.0142984222646,49.5685192038819,97.00476614075487
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_dvao_s5_save10/step_100/summary.json,65.72908956328646,0.9622501850481125,79.95833333333333,0.16666666666666669,1.7500000000000002,31.97001203010125,49.1458076322066,11.032976293938674
haotian_1p5b_gd2po_hard_s5_save10,1.5b,gd2po_hard,5,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_gd2po_hard_s5_save10/step_100/summary.json,62.62028127313102,0.0,75.3125,0.0,2.125,5.9750547786048145,46.68592709104367,1.9916849262016048
haotian_1p5b_grpo_s0_save10,1.5b,grpo,0,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_grpo_s0_save10/step_100/summary.json,63.730569948186535,99.7779422649889,78.375,100.0,2.6250000000000004,51.56623630058039,48.24352331606217,83.78139285518976
haotian_1p5b_gdpo_s0_save10,1.5b,gdpo,0,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_gdpo_s0_save10/step_100/summary.json,68.6158401184308,99.9259807549963,80.75,100.0,3.75,90.20074434193606,51.03861337281026,96.70890836564412
haotian_1p5b_dara_s0_save10,1.5b,dara,0,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_dara_s0_save10/step_100/summary.json,67.87564766839378,99.9259807549963,80.375,100.0,4.75,90.69749692547704,51.0002158894646,96.87449256015778
haotian_1p5b_grpo_s2_save10,1.5b,grpo,2,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_grpo_s2_save10/step_100/summary.json,64.54478164322724,99.85196150999259,78.79166666666666,100.0,1.7500000000000002,35.48118703322428,48.3621494366313,78.44438284773896
haotian_1p5b_gdpo_s1_save10,1.5b,gdpo,1,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_gdpo_s1_save10/step_100/summary.json,68.5418208734271,100.0,79.5,100.0,5.75,88.48114532083538,51.26394029114236,96.16038177361179
haotian_1p5b_dara_s1_save10,1.5b,dara,1,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_dara_s1_save10/step_100/summary.json,69.059955588453,100.0,81.60416666666667,100.0,4.75,95.4330576046565,51.80470741837322,98.47768586821883
haotian_1p5b_grpo_s5_save10,1.5b,grpo,5,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_grpo_s5_save10/step_100/summary.json,64.17468541820874,99.9259807549963,77.58333333333334,100.0,2.875,32.82273820771975,48.21100625051402,77.58290632090535
haotian_1p5b_gdpo_s5_save10,1.5b,gdpo,5,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_gdpo_s5_save10/step_100/summary.json,66.17320503330866,0.8882309400444115,81.08333333333333,0.125,2.875,62.0779483296621,50.043846122214,21.030393089902173
haotian_1p5b_dara_s2_save10,1.5b,dara,2,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_dara_s2_save10/step_100/summary.json,68.6898593634345,99.85196150999259,79.77083333333333,100.0,5.0,92.28243151016852,51.153564232255945,97.37813100672037
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_gd2po_hard_s0_save10/step_100/summary.json,69.80014803849001,99.9259807549963,79.8125,100.0,4.375,75.52217272776792,51.32921601283,91.8160511609214
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,100,/home/ubuntu/DARA/outputs/eval-v4-checkpoints/haotian_1p5b_dvao_s3_save10/step_100/summary.json,63.06439674315322,99.9259807549963,77.16666666666667,100.0,4.5,84.00431051854767,48.243687803273296,94.64343042451466
