run_id,model_size,method,seed,step,source_path,size_bytes,file_count
haotian_1p5b_dara_s0_save10,1.5b,dara,0,10,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s0_save10/actor/global_step_10,7124298320,11
haotian_1p5b_dara_s0_save10,1.5b,dara,0,20,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s0_save10/actor/global_step_20,7124298320,11
haotian_1p5b_dara_s0_save10,1.5b,dara,0,30,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s0_save10/actor/global_step_30,7124298320,11
haotian_1p5b_dara_s0_save10,1.5b,dara,0,40,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s0_save10/actor/global_step_40,7124298320,11
haotian_1p5b_dara_s0_save10,1.5b,dara,0,50,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s0_save10/actor/global_step_50,7124298320,11
haotian_1p5b_dara_s0_save10,1.5b,dara,0,60,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s0_save10/actor/global_step_60,7124298320,11
haotian_1p5b_dara_s0_save10,1.5b,dara,0,70,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s0_save10/actor/global_step_70,7124298320,11
haotian_1p5b_dara_s0_save10,1.5b,dara,0,80,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s0_save10/actor/global_step_80,7124298320,11
haotian_1p5b_dara_s0_save10,1.5b,dara,0,90,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s0_save10/actor/global_step_90,7124298320,11
haotian_1p5b_dara_s0_save10,1.5b,dara,0,100,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s0_save10/actor/global_step_100,7124298320,11
haotian_1p5b_dara_s1_save10,1.5b,dara,1,10,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s1_save10/actor/global_step_10,7124298320,11
haotian_1p5b_dara_s1_save10,1.5b,dara,1,20,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s1_save10/actor/global_step_20,7124298320,11
haotian_1p5b_dara_s1_save10,1.5b,dara,1,30,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s1_save10/actor/global_step_30,7124298320,11
haotian_1p5b_dara_s1_save10,1.5b,dara,1,40,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s1_save10/actor/global_step_40,7124298320,11
haotian_1p5b_dara_s1_save10,1.5b,dara,1,50,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s1_save10/actor/global_step_50,7124298320,11
haotian_1p5b_dara_s1_save10,1.5b,dara,1,60,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s1_save10/actor/global_step_60,7124298320,11
haotian_1p5b_dara_s1_save10,1.5b,dara,1,70,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s1_save10/actor/global_step_70,7124298320,11
haotian_1p5b_dara_s1_save10,1.5b,dara,1,80,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s1_save10/actor/global_step_80,7124298320,11
haotian_1p5b_dara_s1_save10,1.5b,dara,1,90,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s1_save10/actor/global_step_90,7124298320,11
haotian_1p5b_dara_s1_save10,1.5b,dara,1,100,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s1_save10/actor/global_step_100,7124298320,11
haotian_1p5b_dara_s2_save10,1.5b,dara,2,10,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s2_save10/actor/global_step_10,7124298320,11
haotian_1p5b_dara_s2_save10,1.5b,dara,2,20,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s2_save10/actor/global_step_20,7124298320,11
haotian_1p5b_dara_s2_save10,1.5b,dara,2,30,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s2_save10/actor/global_step_30,7124298320,11
haotian_1p5b_dara_s2_save10,1.5b,dara,2,40,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s2_save10/actor/global_step_40,7124298320,11
haotian_1p5b_dara_s2_save10,1.5b,dara,2,50,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s2_save10/actor/global_step_50,7124298320,11
haotian_1p5b_dara_s2_save10,1.5b,dara,2,60,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s2_save10/actor/global_step_60,7124298320,11
haotian_1p5b_dara_s2_save10,1.5b,dara,2,70,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s2_save10/actor/global_step_70,7124298320,11
haotian_1p5b_dara_s2_save10,1.5b,dara,2,80,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s2_save10/actor/global_step_80,7124298320,11
haotian_1p5b_dara_s2_save10,1.5b,dara,2,90,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s2_save10/actor/global_step_90,7124298320,11
haotian_1p5b_dara_s2_save10,1.5b,dara,2,100,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dara_s2_save10/actor/global_step_100,7124298320,11
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,10,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s3_save10/actor/global_step_10,7124298320,11
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,20,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s3_save10/actor/global_step_20,7124298320,11
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,30,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s3_save10/actor/global_step_30,7124298320,11
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,40,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s3_save10/actor/global_step_40,7124298320,11
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,50,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s3_save10/actor/global_step_50,7124298320,11
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,60,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s3_save10/actor/global_step_60,7124298320,11
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,70,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s3_save10/actor/global_step_70,7124298320,11
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,80,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s3_save10/actor/global_step_80,7124298320,11
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,90,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s3_save10/actor/global_step_90,7124298320,11
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,100,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s3_save10/actor/global_step_100,7124298320,11
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,10,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s4_save10/actor/global_step_10,7124298320,11
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,20,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s4_save10/actor/global_step_20,7124298320,11
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,30,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s4_save10/actor/global_step_30,7124298320,11
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,40,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s4_save10/actor/global_step_40,7124298320,11
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,50,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s4_save10/actor/global_step_50,7124298320,11
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,60,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s4_save10/actor/global_step_60,7124298320,11
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,70,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s4_save10/actor/global_step_70,7124298320,11
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,80,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s4_save10/actor/global_step_80,7124298320,11
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,90,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s4_save10/actor/global_step_90,7124298320,11
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,100,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s4_save10/actor/global_step_100,7124298320,11
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,10,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s5_save10/actor/global_step_10,7124298320,11
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,20,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s5_save10/actor/global_step_20,7124298320,11
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,30,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s5_save10/actor/global_step_30,7124298320,11
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,40,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s5_save10/actor/global_step_40,7124298320,11
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,50,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s5_save10/actor/global_step_50,7124298320,11
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,60,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s5_save10/actor/global_step_60,7124298320,11
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,70,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s5_save10/actor/global_step_70,7124298320,11
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,80,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s5_save10/actor/global_step_80,7124298320,11
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,90,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s5_save10/actor/global_step_90,7124298320,11
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,100,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_dvao_s5_save10/actor/global_step_100,7124298320,11
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,10,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s0_save10/actor/global_step_10,7124298320,11
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,20,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s0_save10/actor/global_step_20,7124298320,11
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,30,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s0_save10/actor/global_step_30,7124298320,11
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,40,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s0_save10/actor/global_step_40,7124298320,11
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,50,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s0_save10/actor/global_step_50,7124298320,11
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,60,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s0_save10/actor/global_step_60,7124298320,11
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,70,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s0_save10/actor/global_step_70,7124298320,11
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,80,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s0_save10/actor/global_step_80,7124298320,11
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,90,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s0_save10/actor/global_step_90,7124298320,11
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,100,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s0_save10/actor/global_step_100,7124298320,11
haotian_1p5b_gd2po_hard_s4_save10,1.5b,gd2po_hard,4,10,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s4_save10/actor/global_step_10,7124298320,11
haotian_1p5b_gd2po_hard_s4_save10,1.5b,gd2po_hard,4,20,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s4_save10/actor/global_step_20,7124298320,11
haotian_1p5b_gd2po_hard_s4_save10,1.5b,gd2po_hard,4,30,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s4_save10/actor/global_step_30,7124298320,11
haotian_1p5b_gd2po_hard_s4_save10,1.5b,gd2po_hard,4,40,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s4_save10/actor/global_step_40,7124298320,11
haotian_1p5b_gd2po_hard_s4_save10,1.5b,gd2po_hard,4,50,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s4_save10/actor/global_step_50,7124298320,11
haotian_1p5b_gd2po_hard_s4_save10,1.5b,gd2po_hard,4,60,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s4_save10/actor/global_step_60,7124298320,11
haotian_1p5b_gd2po_hard_s4_save10,1.5b,gd2po_hard,4,70,/lambda/nfs/haotian/dara-rental-20260917/outputs/rental-1p5b/haotian_1p5b_gd2po_hard_s4_save10/actor/global_step_70,7124298320,11
