step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,dara/pi_correctness,dara/w_correctness,dara/active_groups_correctness,dara/pi_format,dara/w_format,dara/active_groups_format,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,-2.51875,0.025,-2.54375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,437818,453498,15680,444382,444383,444382.25,-0.0003512880939524621,0.001,0.15625,1.0,80.0,0.017578125,2.9814239699997196,9.0,0.5626480807860692,-0.09008464319631457,0.0,0.0,34.49846851825714,0.28702799334364926,1e-06,-2.435487985610962,4.0,-3.0,0.0048828125,1.0,0.0,-2.440370798110962,3.0,-3.0,0.0,0.0,0.0,-2.435271739959717,4.00027322769165,-3.1151628494262695,8.70559357935008e-09,0.9999998807907104,11.311676025390625,-4.883606433868408,8.70559357935008e-09,11.311676025390625,-4.883606433868408,123.24072265625,1024.0,1.0,0.0048828125,744.693359375,2048.0,414.0,0.00390625,43.52696617599577,11.257642523996765,1.2739831959988805,55.8304649779966,111.98613785100315,0.0007167158431726743,0.17245437218348778,0.006333310187342522,0.03140903185151781,,
2,,,,,435945,466843,30898,446888,446888,446888.0,-0.0005795492324978113,0.001,0.162109375,1.0,83.0,0.01953125,2.8809720581775866,10.0,0.6077363151928474,-0.039587396935656154,0.004819303429846106,0.0019310928963744212,4.786447703838348,0.3836027611886291,1e-06,-2.404801368713379,4.0,-3.0,0.00537109375,1.0,0.0,-2.410172462463379,3.0,-3.0,0.0,0.0,0.0,-2.404223680496216,4.00037956237793,-3.080012798309326,-3.1033247083200877e-09,1.0,12.108122825622559,-5.155950546264648,-3.1033247083200877e-09,12.108122825622559,-5.155950546264648,115.240234375,1024.0,1.0,0.00390625,757.587890625,2048.0,418.0,0.001953125,46.22364473000198,11.977404813005705,1.5349840249982662,42.13619784600451,101.9730574569985,0.0008587073411001562,0.19585294277410462,0.0067004511270193565,0.023572012364398074,,
3,,,,,442064,479924,37860,463362,463363,463362.5,0.005797288846224546,0.001,0.259765625,1.0,133.0,0.029296875,2.9776948578836393,15.0,0.6387874551357762,-0.01727095997381595,0.0050799646978116324,0.00042271875375468707,121.40655624866486,0.3844577349930354,1e-06,-2.2687392234802246,4.0,-3.0,0.00830078125,1.0,0.0,-2.2770400047302246,3.0,-3.0,0.0,0.0,0.0,-2.266502618789673,4.000274181365967,-3.0028576850891113,-1.0261199889782802e-08,1.0000001192092896,9.664008140563965,-6.608639717102051,-1.0261199889782802e-08,9.664008140563965,-6.608639717102051,116.1748046875,1024.0,1.0,0.00439453125,788.830078125,2048.0,402.0,0.0078125,38.6750070670023,12.20792276400607,1.3250185779979802,43.65519944400148,95.9930387380009,0.0007148930793913945,0.16255057062701134,0.006586594061887869,0.02355348104561843,,
4,,,,,432185,454703,22518,441825,441826,441825.25,0.03118196316063404,0.001,0.52734375,1.0,270.0,0.03515625,3.872983346207417,18.0,0.5692860120907426,9.071175009012222e-05,0.013593300893262494,0.005734180774197739,16.36950433254242,0.36952971122398565,1e-06,-1.6433030366897583,4.0,-3.0,0.0107421875,1.0,0.0,-1.6540452241897583,3.0,-3.0,0.0,0.0,0.0,-1.643525242805481,4.000960350036621,-3.004450798034668,1.3407288612654611e-08,1.0,7.7458882331848145,-4.443800926208496,1.3407288612654611e-08,7.7458882331848145,-4.443800926208496,97.80517578125,1024.0,1.0,0.00390625,765.134765625,2048.0,418.0,0.00390625,39.91750813899853,11.931911354993645,1.5991170029956265,43.23828623299778,96.80163594899932,0.0009048356805069575,0.19928363315443212,0.006751487921408773,0.024465717064041596,,
5,,,,,432633,471751,39118,448953,448954,448953.75,0.06238662078976631,0.001,0.65234375,1.0,334.0,0.09765625,2.584569596664017,50.0,0.477178446708187,0.02172163435288014,0.007797635295578549,0.0022480495883369696,4.887250900268555,0.3705288610515138,1e-06,-0.7974941730499268,4.0,-3.0,0.02734375,1.0,0.0,-0.8248379230499268,3.0,-3.0,0.0,0.0,0.0,-0.795328676700592,4.838828086853027,-3.007089138031006,4.725386304471613e-09,1.000000238418579,4.899888515472412,-3.404195785522461,4.725386304471613e-09,4.899888515472412,-3.404195785522461,100.90966796875,1024.0,1.0,0.00390625,775.953125,2048.0,424.0,0.00390625,46.564094392997504,11.880717487001675,1.3148740899996483,43.88178749800136,103.74616469999455,0.0007321879425217231,0.22531413166845302,0.0066157802930712105,0.024435583564009298,,
6,,,,,430107,447997,17890,438818,438819,438818.75,0.08847145736217499,0.001,0.751953125,1.0,385.0,0.171875,2.091650066335189,88.0,0.4902843068684301,-0.1056990165924353,0.021550058270804584,0.02428082489683631,35.27745342254639,0.3674462334321631,1e-06,-0.11722791194915771,4.0,-3.0,0.05517578125,1.0,0.0,-0.17240369319915771,3.0,-3.0,0.0,0.0,0.0,-0.11656712740659714,3.999829053878784,-3.009570360183716,6.256711149177363e-09,1.0000001192092896,3.6678073406219482,-3.1814119815826416,6.256711149177363e-09,3.6678073406219482,-3.1814119815826416,95.26513671875,1024.0,1.0,0.0048828125,761.802734375,2048.0,393.0,0.005859375,43.3675563900033,11.71419347099436,1.3137733370022033,43.19431141200039,99.69540166599472,0.0007484715141514597,0.22228031547440738,0.0066737083767468685,0.02460828725527361,,
7,,,,,431472,456595,25123,442295,442315,442300.25,0.08563071489334106,0.001,0.6953125,1.0,356.0,0.33203125,1.4471066467468192,170.0,0.4523259768883387,-0.05693480124076208,0.0032096467698769023,0.005808580858865753,18.695073187351227,0.3888353969074737,1e-06,0.17858150601387024,4.0,-3.0,0.11865234375,1.0,0.0,0.05992916598916054,3.0,-3.0,0.0,0.0,0.0,0.17804625630378723,3.998915672302246,-3.0102720260620117,2.351655314924983e-09,1.0000001192092896,3.114924192428589,-3.1476635932922363,2.351655314924983e-09,3.114924192428589,-3.1476635932922363,101.38330078125,1024.0,1.0,0.00244140625,762.484375,2048.0,389.0,0.00390625,38.91409961099998,11.74332395500096,1.329759225998714,41.144497423003486,93.24069794599927,0.0007516156875327982,0.18741770147808867,0.006637642616639353,0.023255976807046507,,
8,,,,,414999,461645,46646,440860,440861,440860.5,0.08989962190389633,0.001,0.669921875,1.0,343.0,0.41796875,1.2660188538555643,214.0,0.3795545573035876,0.02356074725588163,0.003599365783156827,0.0005360446608392522,4.372591853141785,0.3779218913540272,1e-06,0.6248782873153687,4.0,-3.0,0.1904296875,1.0,0.0,0.43444859981536865,3.0,-3.0,0.0,0.0,0.0,0.6217331886291504,3.9994077682495117,-3.0094358921051025,-8.318226996095746e-09,1.0000001192092896,2.8546416759490967,-2.886289358139038,-8.318226996095746e-09,2.8546416759490967,-2.886289358139038,89.5693359375,1024.0,1.0,0.00146484375,771.486328125,2048.0,416.0,0.005859375,43.96360606000235,11.616992746996402,1.316486260999227,42.19096891999652,99.18409081899881,0.0007465435557275073,0.23966466086635457,0.006587680653515342,0.02392535105775893,,
9,,,,,442765,453845,11080,448375,448376,448375.5,0.060369957238435745,0.001,0.720703125,1.0,369.0,0.548828125,1.1459351027813385,281.0,0.4068098097078262,0.05118332627499776,0.006699473063852037,0.0018208218281224912,26.721084594726562,0.37725725319322406,1e-06,0.9825916290283203,4.0,-3.0,0.3662109375,1.0,0.0,0.6163806915283203,3.0,-3.0,0.0,0.0,0.0,0.9870989322662354,3.997779130935669,-3.013150691986084,-5.638299271915059e-10,1.0,2.6469595432281494,-2.6757476329803467,-5.638299271915059e-10,2.6469595432281494,-2.6757476329803467,105.7138671875,1024.0,1.0,0.00439453125,770.01953125,2048.0,407.0,0.0078125,39.5832131299976,11.685483694003779,1.4143821089965058,43.047259455997846,95.84078673400654,0.0007886147375338895,0.18283070424290584,0.006515456182376032,0.024001790606309803,,
