step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_per_token_ms/gen,timing_s/testing,timing_s/save_checkpoint
0,-2.51875,0.025,-2.54375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,431679,456166,24487,447835,447836,447835.5,2.6683163014240563e-05,0.001,0.5957760878147618,0.009198909550304375,0.0,0.0,2.4240394234657288,0.3637035314193901,1e-06,-2.4527082443237305,4.0,-3.0,0.0068359375,1.0,0.0,-2.4595441818237305,3.0,-3.0,0.0,0.0,0.0,-2.452387571334839,4.000604152679443,-3.001723527908325,0.001650194637477398,0.16301362216472626,1.7320510149002075,-1.0,0.001650194637477398,1.7320510149002075,-1.0,118.7958984375,1024.0,1.0,0.0029296875,755.8828125,2048.0,418.0,0.00390625,38.472510518011404,11.218820155001595,1.2011772819969337,44.500308464994305,95.49305196799105,0.0006705460386665046,0.006262801941227077,0.024841883049129817,0.15813176863388084,,
2,,,,,450259,457219,6960,453536,453537,453536.75,-0.0005031324690207839,0.001,0.6620547417551279,-0.0018696748011279851,0.0005734908527301741,-0.0020188882169804856,1.7551681995391846,0.37958557742955573,1e-06,-2.3570432662963867,4.0,-3.0,0.00732421875,1.0,0.0,-2.3643674850463867,3.0,-3.0,0.0,0.0,0.0,-2.356300115585327,4.0006818771362305,-3.003033399581909,-0.0120473001152277,0.13591788709163666,1.732051134109497,-1.732050895690918,-0.0120473001152277,1.732051134109497,-1.732050895690918,121.88623046875,1024.0,1.0,0.00634765625,763.927734375,2048.0,418.0,0.001953125,50.52138368198939,12.342158138999366,1.1155054889968596,43.233357328994316,107.31133430098998,0.0006148925577678433,0.006803284485215016,0.023831231608571035,0.202390739963823,,
3,,,,,428923,482848,53925,456077,456077,456077.0,0.012734541669487953,0.001,0.6093077957630157,0.014302131196018308,0.0021377559778557043,0.019551936625248345,19.352967143058777,0.3771813883168682,1e-06,-2.1985793113708496,4.0,-3.0,0.0068359375,1.0,0.0,-2.2054152488708496,3.0,-3.0,0.0,0.0,0.0,-2.197439670562744,4.000122547149658,-3.2128074169158936,-0.021340642124414444,0.25482046604156494,1.732051134109497,-1.7320507764816284,-0.021340642124414444,1.732051134109497,-1.7320507764816284,110.662109375,1024.0,1.0,0.0048828125,780.11328125,2048.0,389.0,0.009765625,41.04678410300403,12.034015461002127,1.146137522009667,43.78716171999986,98.11415816299268,0.0006282587819653627,0.00659648231603552,0.024002066383527264,0.18111325695389976,,
4,,,,,419682,453530,33848,435460,435461,435460.5,0.05960657820105553,0.001,0.5024110787901385,0.019794221301081365,0.004482615098822862,0.00042814111323595766,3.6577648520469666,0.37824716344820597,1e-06,-1.400039553642273,4.0,-3.0,0.01171875,1.0,0.0,-1.411758303642273,3.0,-3.0,0.0,0.0,0.0,-1.400315284729004,4.001358985900879,-3.006571054458618,0.0047111306339502335,0.5189428329467773,1.732050895690918,-1.732050895690918,0.0047111306339502335,1.732050895690918,-1.732050895690918,98.2783203125,1024.0,1.0,0.00244140625,752.23046875,1969.0,414.0,0.0,38.129196376001346,11.519953276001615,1.4234726400027284,41.623387488987646,92.79546532600943,0.0008172225953919634,0.006613661443461356,0.023896190061433613,0.18943925383308996,,
5,,,,,433738,477688,43950,452059,452060,452059.25,0.11139648407697678,0.001,0.42203924457232156,-0.002519667769471804,0.0033568221881675226,0.0004993632270876939,3.71988445520401,0.38125540118944345,1e-06,-0.256911039352417,4.0,-3.0,0.01416015625,1.0,0.0,-0.271071195602417,3.0,-3.0,0.0,0.0,0.0,-0.2555202841758728,4.000354290008545,-3.0083398818969727,0.01804409548640251,0.7147132158279419,1.732051134109497,-1.732050895690918,0.01804409548640251,1.732051134109497,-1.732050895690918,93.90869140625,1024.0,1.0,0.00341796875,789.01953125,2048.0,424.0,0.005859375,36.62761237898667,11.554079396999441,1.7802533240028424,42.971988978999434,93.02752066399262,0.0009845243317125147,0.006389693052956798,0.023764577861751218,0.19044644419075352,,
6,,,,,413320,444153,30833,429874,429874,429874.0,0.13662908971309662,0.001,0.4437445659061958,-0.051817516001455226,0.0028522204134035214,0.0004402250983573673,43.31435418128967,0.382628507226209,1e-06,0.3841632008552551,4.0,-3.0,0.0126953125,1.0,0.0,0.3714678883552551,3.0,-3.0,0.0,0.0,0.0,0.38585054874420166,8.427172660827637,-3.010613203048706,0.029834384098649025,0.7147051692008972,1.7320514917373657,-1.7320518493652344,0.029834384098649025,1.7320514917373657,-1.7320518493652344,89.03125,1024.0,1.0,0.001953125,750.56640625,2048.0,399.0,0.0078125,40.60418834599841,11.556822129990906,1.301326467000763,40.58557777799433,94.19889297500777,0.0007568069172599198,0.006721052058272252,0.023603182431360312,0.22268881814890318,,
7,,,,,430001,472380,42379,448500,448501,448500.5,0.10816928744316101,0.001,0.45840872849027314,0.0036341816031684477,0.0014160335985555625,9.906411827008318e-05,2.9847055077552795,0.3696146403715218,1e-06,0.788455069065094,4.0,-3.0,0.01171875,1.0,0.0,0.776736319065094,3.0,-3.0,0.0,0.0,0.0,0.7846049070358276,4.000689506530762,-3.0186474323272705,-0.007663441356271505,0.6836208701133728,1.7320513725280762,-1.7320581674575806,-0.007663441356271505,1.7320513725280762,-1.7320581674575806,94.7216796875,1024.0,1.0,0.00146484375,781.255859375,2048.0,393.0,0.005859375,40.9877213449945,11.823482822001097,1.2933165520080365,43.92378958000336,98.11753159300133,0.0007209114326561713,0.006590562787556032,0.024483690419522027,0.21128780527343935,,
8,,,,,418937,460936,41999,439183,439184,439183.25,0.11187345534563065,0.001,0.3608686104416847,0.048268570781995854,0.010633279371540993,0.013935672729833945,45.32079714536667,0.37207852759235455,1e-06,1.1312599182128906,4.0,-3.0,0.00390625,1.0,0.0,1.1273536682128906,3.0,-3.0,0.0,0.0,0.0,1.1369787454605103,8.415116310119629,-3.019747495651245,-0.035115472972393036,0.6283351182937622,1.7320526838302612,-1.7320514917373657,-0.035115472972393036,1.7320526838302612,-1.7320514917373657,93.51806640625,1024.0,1.0,0.0078125,764.26171875,2047.0,393.0,0.0,39.38298900399241,11.20247380901128,1.2601768510066904,42.68819451899617,94.63918538900907,0.0007173411389247486,0.006376879018616535,0.02429976241067719,0.2056284506147626,,
9,,,,,420929,451030,30101,439797,439798,439797.25,0.0970195084810257,0.001,0.43681342576940857,-0.10830564548571904,0.0009470532269915566,0.013532878995344314,55.38453882932663,0.36886579118661134,1e-06,1.1328696012496948,3.0,-3.0,0.0068359375,1.0,0.0,1.1260336637496948,3.0,-3.0,0.0,0.0,0.0,1.1437190771102905,7.299276351928711,-3.0172839164733887,0.004030214156955481,0.6104071140289307,1.732051134109497,-1.732050895690918,0.004030214156955481,1.732051134109497,-1.732050895690918,98.86767578125,1024.0,1.0,0.00634765625,760.111328125,2048.0,402.0,0.005859375,39.43226128999959,11.711061234993394,1.1983328180067474,43.127263672999106,95.56538407100015,0.0006811848061844107,0.006657079617365385,0.024515423682730568,0.1947454886631318,,
