step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/adv,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,-2.5625,0.025,-2.5875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,440889,470006,29117,451034,451035,451034.75,-0.0016867597587406635,0.001,0.5918591837088267,0.030997234885580836,0.0,0.0,53.055432230234146,0.35104448465245597,1e-06,-2.4428586959838867,4.0,-3.0,0.0068359375,1.0,0.0,-2.4496946334838867,3.0,-3.0,0.0,0.0,0.0,-2.4408161640167236,4.0003581047058105,-3.140669107437134,0.0006442878511734307,0.16296233236789703,1.732050895690918,-1.732050895690918,0.0006442878511734307,1.732050895690918,-1.732050895690918,119.62451171875,1024.0,1.0,0.00390625,761.302734375,2048.0,393.0,0.005859375,41.95259939599998,12.027217571000051,1.1221348750000288,46.466149081000026,101.67165904600006,0.17124139007555372,0.006666458388738369,0.0006219780598945142,0.025755304375660648,,
2,,,,,433322,468131,34809,451823,451824,451823.5,-0.0012801517732441425,0.001,0.5773157745599746,-0.0016660190497835476,0.00048252181829108547,-0.003532979398247941,1.532114028930664,0.38919492826414315,1e-06,-2.480395555496216,4.0,-3.0,0.0078125,1.0,0.0,-2.488208055496216,3.0,-3.0,0.0,0.0,0.0,-2.4788601398468018,4.000471591949463,-3.1501712799072266,-0.005874337628483772,0.13491418957710266,1.732051134109497,-1.732050895690918,-0.005874337628483772,1.732051134109497,-1.732050895690918,120.4892578125,1024.0,1.0,0.00439453125,761.978515625,2048.0,418.0,0.00390625,45.41922402,12.523888479999982,1.1473697809999521,41.96060015900002,101.16902124499995,0.18406085223818902,0.006929635399663798,0.0006348550822389452,0.023217362620027524,,
3,,,,,427787,450289,22502,442639,442640,442639.5,0.007158181630074978,0.001,0.4827054808537165,0.024273992446251214,0.002309693194304903,0.0016995379439322278,123.05460250377655,0.38490378461841146,1e-06,-2.274556875228882,4.0,-3.0,0.0087890625,1.0,0.0,-2.283345937728882,3.0,-3.0,0.0,0.0,0.0,-2.2749698162078857,4.000077724456787,-3.4540891647338867,-0.009728620760142803,0.2798055410385132,1.732051134109497,-1.732050895690918,-0.009728620760142803,1.732051134109497,-1.732050895690918,115.6865234375,1024.0,1.0,0.00341796875,748.84375,2048.0,389.0,0.001953125,38.13056670099991,11.78013519000001,1.3061738300000343,41.544453287000124,92.8534843939999,0.16093871800055676,0.006653346114614721,0.0007377187474231482,0.023464045395293533,,
4,,,,,430947,453192,22245,443125,443126,443125.5,0.0506778247654438,0.001,0.49845052486465824,-0.06131529050969308,0.0026721534255381312,0.0004964106511549964,106.66271787881851,0.37260029795947175,1e-06,-1.4797053337097168,4.0,-3.0,0.0048828125,1.0,0.0,-1.4845881462097168,3.0,-3.0,0.0,0.0,0.0,-1.4800560474395752,3.9981689453125,-3.2312448024749756,-0.0011941012926399708,0.565089225769043,1.7320513725280762,-1.732050895690918,-0.0011941012926399708,1.7320513725280762,-1.732050895690918,100.5322265625,1024.0,1.0,0.0029296875,764.947265625,2048.0,416.0,0.001953125,46.14277639200009,11.70910264400004,1.2070287609999468,42.99098578200005,102.14556010599995,0.22411373253679193,0.006605974291707451,0.0006809745551767766,0.024254407488397786,,
5,,,,,427796,457319,29523,443160,443161,443160.5,0.11281471699476242,0.001,0.5650975603249765,0.011187951876631668,0.0038795931614004076,0.0009421963799057619,55.048448979854584,0.36774353463444825,1e-06,-0.2954977750778198,4.0,-3.0,0.0087890625,1.0,0.0,-0.3042868375778198,3.0,-3.0,0.0,0.0,0.0,-0.29659971594810486,4.000604152679443,-3.009449005126953,0.05282001569867134,0.7811999917030334,1.732051134109497,-1.7320512533187866,0.05282001569867134,1.732051134109497,-1.7320512533187866,97.7841796875,1024.0,1.0,0.00537109375,767.763671875,2048.0,407.0,0.005859375,39.45477174000007,11.820298125999898,1.728517543999942,43.625534775000006,96.73690015299985,0.1970157680438629,0.006668181237948722,0.0009751080838657451,0.02461045985314576,,
6,,,,,437007,465699,28692,447589,447590,447589.75,0.11833368986845016,0.001,0.4727804022175925,-0.07894599085141506,0.0025349807796633934,-0.000160659270607409,139.42541980743408,0.385152562453558,1e-06,0.42987173795700073,3.0,-3.0,0.001953125,1.0,0.0,0.42791861295700073,3.0,-3.0,0.0,0.0,0.0,0.42819201946258545,2.999330520629883,-3.013293743133545,0.041912052780389786,0.7330740690231323,1.7320510149002075,-1.7320512533187866,0.041912052780389786,1.7320510149002075,-1.7320512533187866,96.73193359375,1024.0,1.0,0.00439453125,777.466796875,2048.0,413.0,0.0078125,48.20225949099995,11.92729595700007,1.2288121830001728,42.044822508999914,103.50256537799987,0.24331426699207975,0.006661957717418724,0.0006863495997172482,0.023484017735549083,,
7,,,,,435323,450932,15609,441234,441235,441234.25,0.14842543005943298,0.001,0.44661185626060734,-0.19699084905967598,0.0012398768280212197,-0.003914587372139889,42.79889672994614,0.3719179990252965,1e-06,0.6077411770820618,4.0,-3.0,0.00830078125,1.0,0.0,0.5994403958320618,3.0,-3.0,0.0,0.0,0.0,0.6032791137695312,3.9988484382629395,-3.170506477355957,0.06429922580718994,0.6841983795166016,1.7320510149002075,-1.7320513725280762,0.06429922580718994,1.7320510149002075,-1.7320513725280762,93.30322265625,1024.0,1.0,0.00537109375,768.482421875,2048.0,407.0,0.00390625,39.17937254699996,12.266204928999969,1.2056334889998652,42.88506883600007,95.65257589800012,0.20503635841117804,0.0069499392493896205,0.0006831028467304301,0.024298356732280004,,
8,,,,,425905,445625,19720,438272,438272,438272.0,0.1577357053756714,0.001,0.4924896559838591,0.0016074964519718598,0.001571067927027892,-0.0021623244089102535,712.6780982017517,0.38247166547224815,1e-06,0.8608874082565308,3.0,-3.0,0.00390625,1.0,0.0,0.8569811582565308,3.0,-3.0,0.0,0.0,0.0,0.8528227806091309,2.9991390705108643,-4.284516334533691,-0.002715066308155656,0.6979956030845642,1.7320510149002075,-1.7320514917373657,-0.002715066308155656,1.7320510149002075,-1.7320514917373657,98.107421875,1024.0,1.0,0.0068359375,757.892578125,2048.0,399.0,0.00390625,37.57396231500002,12.183774414000027,1.6661118370000167,41.45322869300003,92.99000983500014,0.1870058445730725,0.006949893224983587,0.0009503868813202855,0.023645834489198502,,
9,,,,,431090,450034,18944,439655,439655,439655.0,0.11956271529197693,0.001,0.3874352065653637,-0.007953678867940244,0.008619976366452616,0.011501593716996562,51.008265376091,0.3758262164523685,1e-06,1.049271821975708,4.0,-3.0,0.00390625,1.0,0.0,1.045365571975708,3.0,-3.0,0.0,0.0,0.0,1.0393240451812744,3.9966073036193848,-5.735952377319336,-0.00835926178842783,0.6707339882850647,1.732051134109497,-1.7320512533187866,-0.00835926178842783,1.732051134109497,-1.7320512533187866,96.646484375,1024.0,1.0,0.00390625,762.0546875,2048.0,407.0,0.00390625,42.25927174399999,11.811861335999993,1.2563377480000781,42.30223987999989,97.73923942900001,0.21350398997635547,0.006716551236765187,0.0007143884113680489,0.02405422426675455,,
