step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/ref,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,-2.51875,0.025,-2.54375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,444328,459850,15522,452100,452101,452100.25,2.1220272174105048e-05,0.001,0.6839602710679173,-0.0009108885715249926,0.0,0.0,1.9045298993587494,0.3469599050370429,1e-06,-2.462324619293213,4.0,-3.0,0.0068359375,1.0,0.0,-2.469160556793213,3.0,-3.0,0.0,0.0,0.0,-2.4620368480682373,3.9999961853027344,-3.0016226768493652,-0.003618559567257762,0.13782335817813873,1.732051134109497,-1.605910062789917,-0.003618559567257762,1.732051134109497,-1.605910062789917,117.90673828125,1024.0,1.0,0.00341796875,765.1015625,2048.0,420.0,0.00390625,40.95845706399996,11.518570623000414,1.11842591399909,47.125641917000394,100.82548650899844,0.0063694781317862655,0.0006184612339846582,0.16961919992711383,0.02605928768951156,,
2,,,,,442079,465187,23108,449130,449131,449130.5,-0.0006095208809711039,0.001,0.5508348455031713,-0.01648405387531966,0.0003709493020627027,0.00026219089058182967,23.793145835399628,0.3878990893461107,1e-06,-2.4093832969665527,4.0,-3.0,0.0048828125,1.0,0.0,-2.4142661094665527,3.0,-3.0,0.0,0.0,0.0,-2.408524751663208,4.00032901763916,-3.002441644668579,-0.004236497450619936,0.13321445882320404,1.732051134109497,-1.732050895690918,-0.004236497450619936,1.732051134109497,-1.732050895690918,118.5751953125,1024.0,1.0,0.00439453125,758.6328125,2048.0,389.0,0.001953125,44.84444893,11.63397547599925,1.118379448000269,41.88420020100057,99.58887117599988,0.006475832456267861,0.000622524771753571,0.1846651276550185,0.02331404803336701,,
3,,,,,453714,467910,14196,461132,461132,461132.0,0.011806000024080276,0.001,0.5717910047500364,-0.0034295598705930096,0.002380767874720116,0.00223651324256113,31.406683087348938,0.39125375774458365,1e-06,-2.1440227031707764,4.0,-3.0,0.0048828125,1.0,0.0,-2.1489055156707764,3.0,-3.0,0.0,0.0,0.0,-2.143611431121826,4.000239372253418,-3.0028350353240967,-0.004736838862299919,0.28431394696235657,1.732050895690918,-1.732050895690918,-0.004736838862299919,1.732050895690918,-1.732050895690918,112.416015625,1024.0,1.0,0.0048828125,788.232421875,2048.0,407.0,0.00390625,45.96743814399997,12.731851975999234,1.205297258000428,42.734010139998645,102.74509573099931,0.006902498620784956,0.0006534448151507746,0.19966050238893607,0.023167992104212377,,
4,,,,,444304,457661,13357,453310,453310,453310.0,0.0511457622051239,0.001,0.5953528510947381,0.01340828406354112,0.003357154728409143,0.0012584491759621268,43.310354351997375,0.3931676568436471,1e-06,-1.4006187915802002,4.0,-3.0,0.00732421875,1.0,0.0,-1.4079430103302002,3.0,-3.0,0.0,0.0,0.0,-1.4017162322998047,4.000478744506836,-3.0294981002807617,-0.005566815380007029,0.535838782787323,1.732051134109497,-1.732050895690918,-0.005566815380007029,1.732051134109497,-1.732050895690918,103.87109375,1024.0,1.0,0.00439453125,781.5,2048.0,399.0,0.009765625,43.46621918500023,11.383419969000897,1.216771057999722,41.76344709299883,97.958534065001,0.006277944435927344,0.0006710479903375846,0.20432768222801054,0.023032498231342145,,
5,,,,,439287,451496,12209,445495,445496,445495.25,0.09425292909145355,0.001,0.43544623736412297,-0.011354296806178266,0.003978280666013879,0.008736333098978878,4.101707816123962,0.3875257888690605,1e-06,-0.18085022270679474,4.0,-3.0,0.005859375,1.0,0.0,-0.18670959770679474,3.0,-3.0,0.0,0.0,0.0,-0.18149079382419586,4.0034074783325195,-3.008971691131592,0.013117922469973564,0.7196872234344482,1.7320520877838135,-1.7320512533187866,0.013117922469973564,1.7320520877838135,-1.7320512533187866,92.05517578125,1024.0,1.0,0.001953125,778.052734375,2048.0,393.0,0.005859375,39.99302247700143,11.719918128001154,1.1619197969994275,41.561346952999884,94.5317269219995,0.006576904090448301,0.0006520382635950818,0.21213193979176376,0.0233231145298406,,
6,,,,,423726,427660,3934,425969,425970,425969.75,0.13308677077293396,0.001,0.4363513471824782,-0.08083387244758862,0.0015637285957512046,0.013241648941012889,72.6320248246193,0.38283623764517394,1e-06,0.522145688533783,4.0,-3.0,0.00390625,1.0,0.0,0.518239438533783,3.0,-3.0,0.0,0.0,0.0,0.5205528140068054,4.659158706665039,-3.01401424407959,0.009348194114863873,0.7452475428581238,1.7320516109466553,-1.7320520877838135,0.009348194114863873,1.7320516109466553,-1.7320520877838135,90.75732421875,1024.0,1.0,0.0048828125,741.21484375,2048.0,418.0,0.001953125,34.472404280000774,11.257920691001345,1.158294457998636,40.15272017299867,87.1373535340008,0.006607230144277466,0.0006797985408580281,0.18546413523358013,0.023565476288515012,,
7,,,,,419876,469138,49262,434890,434891,434890.5,0.11021068692207336,0.001,0.3631570652641099,-0.019561663711572003,0.0013910439126354095,0.0002127537005309995,20.67509090900421,0.3788786468068711,1e-06,0.8255011439323425,3.0,-3.0,0.0048828125,1.0,0.0,0.8206183314323425,3.0,-3.0,0.0,0.0,0.0,0.8238888382911682,4.121352672576904,-3.0149383544921875,0.0019651385955512524,0.6420730352401733,1.732051134109497,-1.7320510149002075,0.0019651385955512524,1.732051134109497,-1.7320510149002075,89.3486328125,1024.0,1.0,0.00341796875,760.046875,2048.0,413.0,0.0078125,48.152543350001,10.94465868899897,1.2215292000000773,41.51535240800149,101.93576912599929,0.006291617481296424,0.0007022050378199094,0.2631487837867432,0.02386540543424235,,
8,,,,,420954,437947,16993,429146,429147,429146.25,0.10245103389024734,0.001,0.32325744070112705,0.06291754776611924,0.0017812665090397267,0.00013902969528446971,187.6994395852089,0.37329560958970165,1e-06,1.1923494338989258,4.0,-3.0,0.001953125,1.0,0.0,1.1903963088989258,3.0,-3.0,0.0,0.0,0.0,1.188697338104248,3.996931552886963,-3.0160305500030518,-0.015869498252868652,0.6465649604797363,1.732053279876709,-1.7320514917373657,-0.015869498252868652,1.732053279876709,-1.7320514917373657,83.77392578125,1024.0,1.0,0.0009765625,754.40234375,2048.0,389.0,0.001953125,34.72864742799902,10.830829624999751,1.201380254000469,41.53121597799873,88.41479625300053,0.006309521302469584,0.0006998664522878093,0.20241796261561834,0.024194092327498334,,
9,,,,,413014,462620,49606,436149,436149,436149.0,0.10575784742832184,0.001,0.37339987220435306,0.013097115985021508,0.0013098104893037215,0.0015848901492627819,2.6568288803100586,0.36837204397305523,1e-06,1.303078293800354,4.0,-3.0,0.00537109375,1.0,0.0,1.297707200050354,3.0,-3.0,0.0,0.0,0.0,1.2996129989624023,3.9997191429138184,-3.015807867050171,-0.021442903205752373,0.6502452492713928,1.7320520877838135,-1.7320514917373657,-0.021442903205752373,1.7320520877838135,-1.7320514917373657,87.255859375,1024.0,1.0,0.00146484375,764.59765625,2048.0,413.0,0.00390625,35.45015790400066,11.467963999000858,1.449416008001208,42.81397952799853,91.27042284900017,0.006573421009219818,0.00083080323926067,0.19837805206491696,0.024540913499743508,,
