step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,gd2po_hard/conflict_ratio,gd2po_hard/keep_ratio,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/update_actor,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_s/testing,timing_s/save_checkpoint
0,-2.503125,0.025,-2.528125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,445949,462097,16148,454090,454091,454090.5,-0.0011404961114749312,0.001,0.0009765625,0.9990234375,0.574616591776571,0.024616089499285145,0.0,0.0,77.45492196083069,0.34967480430632236,1e-06,-2.43725323677063,4.0,-3.0,0.00634765625,1.0,0.0,-2.44360089302063,3.0,-3.0,0.0,0.0,0.0,-2.435758590698242,4.000223636627197,-3.002464532852173,5.8546443248985724e-09,0.999592125415802,7.713254451751709,-3.447045087814331,5.8546443248985724e-09,7.713254451751709,-3.447045087814331,122.1689453125,1024.0,1.0,0.00341796875,764.7265625,2048.0,399.0,0.00390625,37.25633763799851,11.521508680998522,1.2783191050039022,46.94197109500237,97.09842735299753,0.025843951313120606,0.0007037799210751504,0.148905035283485,0.006343178662072055,,
2,,,,,440916,462105,21189,453113,453114,453113.5,0.0002549545024521649,0.001,0.00048828125,0.99951171875,0.5560881933197379,0.017032265343004838,0.0024451786466670455,2.233025247733167e-05,5.054568827152252,0.37387878892183224,1e-06,-2.455538034439087,4.0,-3.0,0.00634765625,1.0,0.0,-2.461885690689087,3.0,-3.0,0.0,0.0,0.0,-2.455361843109131,4.000141143798828,-3.0021283626556396,5.421762594437496e-09,0.999544620513916,7.651467800140381,-3.7926089763641357,5.421762594437496e-09,7.651467800140381,-3.7926089763641357,122.3037109375,1024.0,1.0,0.0048828125,762.68359375,2048.0,393.0,0.001953125,43.25767974599876,11.757216783997137,1.3801293650030857,43.855285247998836,100.35050883399526,0.02419663354104371,0.0007614700097233286,0.17270051559817132,0.00648690492779245,,
3,,,,,443234,472359,29125,464691,464692,464691.25,0.0059773582033813,0.001,0.00146484375,0.99853515625,0.5864589540287852,-0.06941226983326487,0.004551225276372861,0.0010632642951122762,4.801017642021179,0.382317699470977,1e-06,-2.200049638748169,4.0,-3.0,0.00830078125,1.0,0.0,-2.208350419998169,3.0,-3.0,0.0,0.0,0.0,-2.1994969844818115,3.9993815422058105,-3.003342390060425,-8.247401872552018e-09,0.9994130730628967,6.4440131187438965,-3.218628168106079,-8.247401872552018e-09,6.4440131187438965,-3.218628168106079,115.63330078125,1024.0,1.0,0.00244140625,791.966796875,2048.0,418.0,0.001953125,37.223360163996404,11.591301947999455,1.286339931000839,44.02086208500259,94.22657291700307,0.023682855059678116,0.0006920401078139727,0.1571819597579414,0.006236023353140098,,
4,,,,,423102,447855,24753,436641,436642,436641.75,0.03791066259145737,0.001,0.0009765625,0.9990234375,0.4990329824644944,-0.05099575786755003,0.005160446945128256,0.0002184986608034674,77.74186968803406,0.3802391599353022,1e-06,-1.5187263488769531,4.0,-3.0,0.00732421875,1.0,0.0,-1.5260505676269531,3.0,-3.0,0.0,0.0,0.0,-1.5187078714370728,4.000319480895996,-3.0059590339660645,4.055896507537682e-09,0.999567985534668,4.817221164703369,-2.376060962677002,4.055896507537682e-09,4.817221164703369,-2.376060962677002,102.87060546875,1024.0,1.0,0.00341796875,749.9453125,2048.0,422.0,0.0078125,36.47310954400018,11.460200026005623,1.4755564410006627,41.487913100005244,91.00408306399913,0.02375397743115795,0.0008448324289882167,0.1731217138110594,0.006561557630486333,,
5,,,,,442902,457682,14780,451276,451277,451276.5,0.06058677285909653,0.001,0.00537109375,0.99462890625,0.5611771663029989,-0.04356975490227342,0.00538136277658244,0.004725020982732531,34.267573058605194,0.38719481482905205,1e-06,-0.5420653223991394,4.0,-3.0,0.0087890625,1.0,0.0,-0.5508543848991394,3.0,-3.0,0.0,0.0,0.0,-0.5417175889015198,4.110637664794922,-3.0068960189819336,6.23403373367637e-09,0.995361864566803,3.9242794513702393,-2.5933566093444824,6.23403373367637e-09,3.9242794513702393,-2.5933566093444824,105.1728515625,1024.0,1.0,0.00244140625,776.2265625,2048.0,399.0,0.0078125,36.110591656004544,11.715714085999934,1.27387939899927,42.19832172500173,91.40819540400116,0.023377198748994094,0.0007057089162626849,0.16764901369585292,0.0064903191757159605,,
6,,,,,419635,432552,12917,426166,426166,426166.0,0.1189107745885849,0.001,0.00537109375,0.99462890625,0.39033678996151894,0.00514549421596116,0.002535785492188458,0.00018485172768123448,80.39786291122437,0.3738488853968214,1e-06,0.3313862383365631,4.0,-3.0,0.00927734375,1.0,0.0,0.3221088945865631,3.0,-3.0,0.0,0.0,0.0,0.33020344376564026,4.682880401611328,-3.0110723972320557,1.3473827387144865e-08,0.993435263633728,3.9633543491363525,-2.6558239459991455,1.3473827387144865e-08,3.9633543491363525,-2.6558239459991455,92.8984375,1024.0,1.0,0.0048828125,739.45703125,2048.0,389.0,0.005859375,47.32109787399531,11.092694589999155,1.6113005299994256,41.17213029899722,101.31260810499953,0.024152636706704204,0.0009452305732973921,0.24872328795935641,0.006507261601112686,,
7,,,,,435344,470500,35156,448324,448325,448324.5,0.1298401802778244,0.001,0.0,1.0,0.41941988666852315,-0.014448622334748506,0.02313989377968634,0.027423300201432237,76.87674152851105,0.3825917920672711,1e-06,0.6504547595977783,4.0,-3.0,0.0048828125,1.0,0.0,0.6455719470977783,3.0,-3.0,0.0,0.0,0.0,0.6564648747444153,6.54810905456543,-3.0117361545562744,2.3638484503152313e-09,0.9999999403953552,4.140064239501953,-2.1093320846557617,2.3638484503152313e-09,4.140064239501953,-2.1093320846557617,100.8603515625,1024.0,1.0,0.0048828125,774.7734375,2048.0,413.0,0.001953125,35.71066351400077,11.669650253003056,1.3443274010060122,42.39453152499482,91.2195273949983,0.023640539121213996,0.0007496397146520055,0.17288108903864588,0.006507368130117278,,
8,,,,,433162,447542,14380,442870,442870,442870.0,0.09892190247774124,0.001,0.0009765625,0.9990234375,0.41543134481742466,0.07461406329871509,0.0018921449623905636,0.015501534023267847,38.566735446453094,0.37935326527250834,1e-06,0.9521724581718445,3.0,-3.0,0.00341796875,1.0,0.0,0.9487544894218445,3.0,-3.0,0.0,0.0,0.0,0.9564611315727234,6.578015327453613,-3.014676094055176,-5.473023367841279e-09,0.9985652565956116,2.4864425659179688,-2.6547939777374268,-5.473023367841279e-09,2.4864425659179688,-2.6547939777374268,98.015625,1024.0,1.0,0.005859375,766.96484375,2048.0,407.0,0.00390625,35.32135279999784,11.629235566993884,1.4250802409951575,42.23478232699563,90.71072223599913,0.02384152365648815,0.0008044574259913504,0.1759592340188,0.006564700457805837,,
9,,,,,427805,471093,43288,443453,443453,443453.0,0.10888002812862396,0.001,0.0,1.0,0.33067767681746646,-0.01776260529355756,0.0016365581350641903,0.0001613380996935842,7.513875067234039,0.3869986138184328,1e-06,1.0321102142333984,4.0,-3.0,0.005859375,1.0,0.0,1.0262508392333984,3.0,-3.0,0.0,0.0,0.0,1.039737582206726,9.900333404541016,-3.017833709716797,1.8853528516160623e-08,0.9999999403953552,4.219789028167725,-2.101022720336914,1.8853528516160623e-08,4.219789028167725,-2.101022720336914,99.5859375,1024.0,1.0,0.0048828125,766.533203125,2048.0,413.0,0.001953125,35.208628227999725,11.15698531599628,1.347556695000094,41.466575931997795,89.28575229900162,0.02337709742182249,0.0007596953312978455,0.1726319341217528,0.006289835290321793,,
10,1.4625239323824644,0.025,1.4375239323824645,0.0,413855,459560,45705,438785,438785,438785.0,0.11669465899467468,0.001,0.0,1.0,0.4058781072497368,0.050714974353710814,0.0016134894996260604,-0.0002474216043386453,5.492358505725861,0.3735734669502518,1e-06,1.3009949922561646,3.0,-3.0,0.005859375,1.0,0.0,1.2951356172561646,3.0,-3.0,0.0,0.0,0.0,1.3001980781555176,6.727706432342529,-3.0129568576812744,-8.624907898990841e-09,1.0,2.296555995941162,-2.3086273670196533,-8.624907898990841e-09,2.296555995941162,-2.3086273670196533,89.83984375,1024.0,1.0,0.00390625,767.162109375,2048.0,416.0,0.001953125,34.76837711800181,11.179288380000798,1.3372848450017045,42.45793454300292,122.38237875900086,0.02419062555864656,0.0007619248863348248,0.18896678724075944,0.00636945678407466,18.916057938993617,13.61214328600181
11,,,,,419963,429495,9532,424487,424488,424487.25,0.10497380048036575,0.001,0.0009765625,0.9990234375,0.30250217552695957,0.015212892138931369,0.001540533676494046,-8.912730355145218e-05,10.799040138721466,0.38051638235102836,1e-06,1.3425757884979248,3.0,-3.0,0.00341796875,1.0,0.0,1.3391579389572144,3.0,-3.0,0.0,0.0,0.0,1.3388909101486206,4.800817489624023,-3.019526720046997,6.953948972210355e-09,0.99786376953125,2.2261319160461426,-2.2810170650482178,6.953948972210355e-09,2.2261319160461426,-2.2810170650482178,85.71337890625,1024.0,1.0,0.001953125,743.36328125,2048.0,399.0,0.0078125,34.499318002999644,10.809084351996717,1.3442260099982377,40.27883620400098,87.04085495199979,0.023722053020438765,0.0007916763165432164,0.19653139724052868,0.006365965262794534,,
12,,,,,416335,471220,54885,445141,445141,445141.0,0.11313483864068985,0.001,0.0,1.0,0.46481107945243516,0.006996557271728913,0.0014486669892600427,0.00035430770597789284,12.007003426551819,0.3696623247834888,1e-06,1.315848469734192,3.0,-3.0,0.0048828125,1.0,0.0,1.310965657234192,3.0,-3.0,0.0,0.0,0.0,1.3126845359802246,7.8999924659729,-3.0161123275756836,-1.2201174515169555e-09,1.0000001192092896,2.3552777767181396,-2.4624483585357666,-1.2201174515169555e-09,2.3552777767181396,-2.4624483585357666,97.703125,1024.0,1.0,0.00439453125,771.712890625,2048.0,393.0,0.001953125,36.32395410499885,11.101751059002709,1.3322176669971668,43.545140064001316,92.40194315100234,0.02445581291321251,0.000748199821515636,0.1815326348602613,0.006234963224575308,,
13,,,,,434502,472935,38433,449657,449658,449657.25,0.11160880327224731,0.001,0.00048828125,0.99951171875,0.3756652094423771,0.05465775349487861,0.014306680782465265,-0.015769219691477095,879.2236540317535,0.37184118338446165,1e-06,1.3134595155715942,3.0,-3.0,0.00732421875,1.0,0.0,1.3061352968215942,3.0,-3.0,0.0,0.0,0.0,1.3066145181655884,2.999018907546997,-3.9469547271728516,-7.409239888289676e-09,0.9997977614402771,3.430523157119751,-2.9475862979888916,-7.409239888289676e-09,3.430523157119751,-2.9475862979888916,96.53564453125,1024.0,1.0,0.00732421875,781.701171875,2048.0,399.0,0.001953125,36.77542384999833,11.229028183995979,1.4400502260032226,43.77706020000187,93.34799732099782,0.0243391273019627,0.000800637722400352,0.18601160238738693,0.006243104155440604,,
