step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,gd2po_hard/conflict_ratio,gd2po_hard/keep_ratio,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,-2.5625,0.025,-2.5875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,440889,470006,29117,451034,451035,451034.75,-0.0016867597587406635,0.001,0.00146484375,0.99853515625,0.5918591837088267,0.07053803101492424,0.0,0.0,115.19979441165924,0.3608584477288491,1e-06,-2.4428586959838867,4.0,-3.0,0.0068359375,1.0,0.0,-2.4496946334838867,3.0,-3.0,0.0,0.0,0.0,-2.4408161640167236,4.0003581047058105,-3.140669107437134,1.8435786230952544e-08,0.9991549253463745,7.477270126342773,-3.740783929824829,1.8435786230952544e-08,7.477270126342773,-3.740783929824829,119.62451171875,1024.0,1.0,0.00390625,761.302734375,2048.0,393.0,0.005859375,47.82369725300009,11.76626313099996,1.2772873220000065,45.209749598999906,106.16946632600002,0.0007079761160309746,0.1952059351282296,0.006521816296305306,0.02505890599283088,,
2,,,,,433322,468131,34809,451823,451824,451823.5,-0.0012801517732441425,0.001,0.00048828125,0.99951171875,0.5763026277224222,-0.007386847088734309,0.011614662443753332,-0.004923991197817183,4.778798341751099,0.39088052157788317,1e-06,-2.480395555496216,4.0,-3.0,0.0078125,1.0,0.0,-2.488208055496216,3.0,-3.0,0.0,0.0,0.0,-2.4788601398468018,4.000471591949463,-3.1501712799072266,-2.1642619640882543e-10,0.9995985627174377,8.289104461669922,-4.123164653778076,-2.1642619640882543e-10,8.289104461669922,-4.123164653778076,120.4892578125,1024.0,1.0,0.00439453125,761.978515625,2048.0,418.0,0.00390625,49.40671055300004,12.611012648000042,1.2269128110000338,41.77454850899994,105.11810844600006,0.0006788673071453973,0.20022009285465364,0.006977842369863476,0.023114417747748812,,
3,,,,,425041,453789,28748,441958,441959,441958.75,0.007578040007501841,0.001,0.00048828125,0.99951171875,0.5926165004571279,0.03970680102938786,0.018426521929601827,-0.03420432597049512,4.717391312122345,0.3845350171923401,1e-06,-2.3329877853393555,3.4000000953674316,-3.0,0.00439453125,1.0,0.0,-2.3373823165893555,3.0,-3.0,0.0,0.0,0.0,-2.3350327014923096,3.3986010551452637,-4.576443672180176,-2.136984988965196e-08,0.9994960427284241,7.024337291717529,-3.494772434234619,-2.136984988965196e-08,7.024337291717529,-3.494772434234619,114.35693359375,1024.0,1.0,0.00341796875,748.84375,2048.0,389.0,0.001953125,38.609267989000045,11.702793122000003,1.2414064930001132,41.51837433900005,93.16693529700001,0.0007022185288786076,0.16485385750396042,0.0066198446812061095,0.02348543520124901,,
4,,,,,429101,460135,31034,446522,446523,446522.25,0.03894802927970886,0.001,0.0068359375,0.9931640625,0.5570655503580647,0.026118176362116732,0.015397785404216378,-0.019990649581638036,450.09469532966614,0.3882466133793541,1e-06,-1.6463267803192139,4.0,-3.0,0.013671875,1.0,0.0,-1.6599986553192139,3.0,-3.0,0.0,0.0,0.0,-1.6555227041244507,3.999495506286621,-7.548645973205566,-2.6418895959778865e-09,0.9932703971862793,4.4015374183654785,-2.9017577171325684,-2.6418895959778865e-09,4.4015374183654785,-2.9017577171325684,107.16650390625,1024.0,1.0,0.00341796875,764.947265625,2048.0,416.0,0.001953125,40.298214472000154,11.699554462999913,1.2874246510000376,41.57501091400013,94.95610121100003,0.0007208065505134613,0.18361019365127168,0.006550375968386745,0.023277121640635,,
5,,,,,425702,457641,31939,444332,444333,444332.5,0.0826980397105217,0.001,0.02197265625,0.97802734375,0.5091501291721098,-0.017405384610737522,0.009361611348727056,0.0017775124360923655,19.39029222726822,0.37138639582006727,1e-06,-0.6955265402793884,4.0,-3.0,0.02490234375,1.0,0.0,-0.7204288840293884,3.0,-3.0,0.0,0.0,0.0,-0.6994134783744812,3.999817371368408,-7.370547294616699,-2.8291484710507575e-09,0.9808195233345032,3.617542266845703,-2.841796398162842,-2.8291484710507575e-09,3.617542266845703,-2.841796398162842,100.0732421875,1024.0,1.0,0.00146484375,767.763671875,2048.0,407.0,0.005859375,39.591480922999835,11.644009464000192,1.3565735740000946,43.24832869200009,95.94936856300001,0.0007632648827173876,0.19317629140278036,0.006551405458750031,0.02433331384267417,,
6,,,,,439226,463682,24456,446848,446849,446848.25,0.10672187805175781,0.001,0.025390625,0.974609375,0.48449227064847944,0.029695415721895792,0.008410318120149895,0.0040057481332041785,70.66618293523788,0.38158753052688554,1e-06,0.09774572402238846,4.0,-3.0,0.0263671875,1.0,0.0,0.07137853652238846,3.0,-3.0,0.0,0.0,0.0,0.09141518175601959,4.000174522399902,-7.361819267272949,1.3449309221869044e-08,0.9782772064208984,3.7039051055908203,-2.924964427947998,1.3449309221869044e-08,3.7039051055908203,-2.924964427947998,95.28369140625,1024.0,1.0,0.00341796875,777.466796875,2048.0,413.0,0.0078125,50.02705242999991,11.777716491000092,1.3205276959999992,42.348521866000056,105.56889061400011,0.0007388009777368487,0.25636361620571746,0.006589326740677675,0.02369289902444513,,
7,,,,,435655,450582,14927,441034,441035,441034.25,0.10794463008642197,0.001,0.03125,0.96875,0.4107185991541032,0.021015217687348806,0.0039046156565628706,0.001054872433292809,18.864843547344208,0.37736036469443235,1e-06,0.2766326665878296,4.0,-3.0,0.0283203125,1.0,0.0,0.24831238389015198,3.0,-3.0,0.0,0.0,0.0,0.2720641791820526,3.998499870300293,-3.0120794773101807,-6.735886959319259e-09,0.9672383069992065,3.640592575073242,-2.888715982437134,-6.735886959319259e-09,3.640592575073242,-2.888715982437134,92.91259765625,1024.0,1.0,0.00341796875,768.482421875,2048.0,407.0,0.00390625,41.34733302199993,12.108132021999836,1.3073507819999577,42.271884581999984,97.13860422100015,0.0007410710063900693,0.21729160481383153,0.006863487372012398,0.023961792412947512,,
8,,,,,420546,446415,25869,435225,435226,435225.25,0.14783456921577454,0.001,0.02001953125,0.97998046875,0.3397436612125101,0.11131327159317403,0.002061650514249401,0.0001851463447847295,87.1557228565216,0.38657657253703875,1e-06,0.8406234383583069,4.0,-3.0,0.0205078125,1.0,0.0,0.8201156258583069,3.0,-3.0,0.0,0.0,0.0,0.8342774510383606,3.999358892440796,-4.259844779968262,4.527422881039911e-09,0.978748083114624,3.770620584487915,-2.9635608196258545,4.527422881039911e-09,3.770620584487915,-2.9635608196258545,92.15673828125,1024.0,1.0,0.00830078125,757.892578125,2048.0,399.0,0.00390625,41.29609996299996,11.874656276999985,1.2893611539998346,40.70618072499997,95.26142355299999,0.0007406286480390526,0.21880235440321694,0.006820983086918777,0.02338224903369001,,
9,,,,,423831,441555,17724,433834,433835,433834.25,0.1555337756872177,0.001,0.01123046875,0.98876953125,0.458987828472565,-0.008116007621946007,0.012124443551172214,-0.028351814139349354,23.689064621925354,0.3841763131801477,1e-06,1.016361117362976,4.0,-3.0,0.01953125,1.0,0.0,0.9968298673629761,3.0,-3.0,0.0,0.0,0.0,1.0095914602279663,3.9999499320983887,-3.0161166191101074,8.387358363393105e-09,0.9766215682029724,3.534883737564087,-4.150332927703857,8.387358363393105e-09,3.534883737564087,-4.150332927703857,85.27783203125,1024.0,1.0,0.0029296875,762.0546875,2048.0,407.0,0.00390625,43.473407096000074,12.045536459000004,1.3465197079999598,40.835669788999894,97.77558835700006,0.0007759413347378405,0.24891872897067877,0.006941324053483563,0.023531838362807853,,
