step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,gd2po_hard/conflict_ratio,gd2po_hard/keep_ratio,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/ref,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,-2.51875,0.025,-2.54375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,444328,459850,15522,452100,452101,452100.25,2.1220272174105048e-05,0.001,0.0,1.0,0.6839602710679173,-0.03390693356777774,0.0,0.0,5.019152045249939,0.35086356557755644,1e-06,-2.462324619293213,4.0,-3.0,0.0068359375,1.0,0.0,-2.469160556793213,3.0,-3.0,0.0,0.0,0.0,-2.4620368480682373,3.9999961853027344,-3.0016226768493652,-6.066283919636817e-09,0.9999997615814209,8.405543327331543,-3.8786089420318604,-6.066283919636817e-09,8.405543327331543,-3.8786089420318604,117.90673828125,1024.0,1.0,0.00341796875,765.1015625,2048.0,420.0,0.00390625,50.474292889000935,11.570248448000712,1.8676918599994679,46.595930064999266,110.61607747800008,0.006398054661549464,0.0010327863455060397,0.20902665262369266,0.02576637043719798,,
2,,,,,442079,465187,23108,449130,449131,449130.5,-0.0006095208809711039,0.001,0.0,1.0,0.5509830971558889,-0.05852080669719726,0.0030988680548034607,0.0002994600120208209,120.39654409885406,0.383734921455259,1e-06,-2.4093832969665527,4.0,-3.0,0.0048828125,1.0,0.0,-2.4142661094665527,3.0,-3.0,0.0,0.0,0.0,-2.408524751663208,4.00032901763916,-3.002441644668579,3.5187166513850343e-09,0.9999998807907104,9.189756393432617,-4.576875686645508,3.5187166513850343e-09,9.189756393432617,-4.576875686645508,118.5751953125,1024.0,1.0,0.00439453125,758.6328125,2048.0,389.0,0.001953125,52.828776008000204,11.638060068000414,1.2476644170001236,42.319838897999944,108.14601265599958,0.00647810606716779,0.0006944888050355763,0.2175438186475165,0.023556538076349717,,
3,,,,,450075,470332,20257,458928,458928,458928.0,0.011991944164037704,0.001,0.0009765625,0.9990234375,0.5912019129722349,-0.004030029980405685,0.005518985506627829,0.0016799768552206637,83.01328593492508,0.3807366345435287,1e-06,-2.1508734226226807,4.0,-3.0,0.00830078125,1.0,0.0,-2.1591742038726807,3.0,-3.0,0.0,0.0,0.0,-2.150991916656494,4.00074577331543,-3.002551794052124,3.19769384304891e-08,0.999435305595398,6.69575309753418,-3.3151750564575195,3.19769384304891e-08,6.69575309753418,-3.3151750564575195,108.111328125,1024.0,1.0,0.0029296875,788.232421875,2048.0,407.0,0.00390625,43.91199787499863,12.00422363600046,1.2819972739998775,43.63624909600003,100.93228295100016,0.006539273936216825,0.0006983651433339639,0.19832709101132112,0.023770748949726334,,
4,,,,,444352,461739,17387,454424,454424,454424.0,0.07250525057315826,0.001,0.00390625,0.99609375,0.5247515334237006,0.05327793766229015,0.004871098245794494,-0.006710653688294828,214.82953917980194,0.37462745558828126,1e-06,-1.3219116926193237,4.0,-3.0,0.0078125,1.0,0.0,-1.3297241926193237,3.0,-3.0,0.0,0.0,0.0,-1.3255585432052612,4.000824928283691,-5.092154502868652,2.5854733465280333e-08,0.9976516962051392,4.555428504943848,-2.743199110031128,2.5854733465280333e-08,4.555428504943848,-2.743199110031128,106.046875,1024.0,1.0,0.00439453125,781.5,2048.0,399.0,0.009765625,44.777027652999095,11.59192809399974,1.2765986719987268,43.90576737699848,101.66687531199932,0.006377264456762705,0.0007023169286826437,0.2061709318043645,0.024154626173462715,,
5,,,,,440894,455002,14108,449127,449128,449127.25,0.08174802362918854,0.001,0.0068359375,0.9931640625,0.5708916283422901,0.11323043343520933,0.004593483611731039,0.0008362171626480807,80.29559564590454,0.38992868022145516,1e-06,-0.5393895506858826,4.0,-3.0,0.01220703125,1.0,0.0,-0.5515965819358826,3.0,-3.0,0.0,0.0,0.0,-0.5437011122703552,3.9989750385284424,-5.394516944885254,1.322558151883868e-08,0.9937750697135925,3.9195799827575684,-2.7868781089782715,1.322558151883868e-08,3.9195799827575684,-2.7868781089782715,99.14892578125,1024.0,1.0,0.00341796875,778.052734375,2048.0,393.0,0.005859375,36.95984044299985,11.606710579999344,1.3280417759997363,41.65669128300033,91.65636689200073,0.006460702718438563,0.000739234691281667,0.18201707128047714,0.02318757728628152,,
6,,,,,426537,430372,3835,427660,427661,427660.5,0.11622526496648788,0.001,0.005859375,0.994140625,0.37064430425907,0.05159475680055289,0.002286665286098061,0.0003023401418902032,22.405774354934692,0.37547126120585267,1e-06,0.28426748514175415,4.0,-3.0,0.005859375,1.0,0.0,0.27840811014175415,3.0,-3.0,0.0,0.0,0.0,0.28032830357551575,3.997673273086548,-3.0242462158203125,1.0139046047186184e-08,0.9897109866142273,3.9672467708587646,-2.5984203815460205,1.0139046047186184e-08,3.9672467708587646,-2.5984203815460205,94.0595703125,1024.0,1.0,0.00244140625,741.21484375,2048.0,418.0,0.001953125,46.56821465699977,11.234875095999087,1.3039244880001206,41.13239629899908,100.34152786100094,0.006567636651034574,0.0007622427649970717,0.24174452410789254,0.02404500550027363,,
7,,,,,424811,472963,48152,438928,438929,438928.75,0.11378288269042969,0.001,0.00048828125,0.99951171875,0.48393751978874205,0.04831683752806081,0.002405822672881186,0.00019828458656168853,4.362609267234802,0.37469696983171474,1e-06,0.6261270046234131,3.142857074737549,-3.0,0.00537109375,1.0,0.0,0.6207559108734131,3.0,-3.0,0.0,0.0,0.0,0.6201775074005127,3.1400060653686523,-5.045413970947266,4.137685749583397e-09,0.9992819428443909,3.9138834476470947,-2.024261713027954,4.137685749583397e-09,3.9138834476470947,-2.024261713027954,97.23583984375,1024.0,1.0,0.00390625,760.046875,2048.0,413.0,0.0078125,42.78137010700084,11.152050210999732,1.3128173390014126,42.37843806899946,97.73047531700104,0.0063518567711728455,0.000747739433223167,0.21483170100784296,0.02413742439348041,,
8,,,,,419470,438857,19387,430551,430552,430551.5,0.11197219043970108,0.001,0.0009765625,0.9990234375,0.3729890286922455,-0.05112489695394678,0.0028437237654413495,0.00011213227168939608,30.8423171043396,0.3748118626810442,1e-06,1.0322856903076172,4.0,-3.0,0.001953125,1.0,0.0,1.0303325653076172,3.0,-3.0,0.0,0.0,0.0,1.0262824296951294,3.9960508346557617,-3.295065402984619,5.683616688401116e-09,0.9996953010559082,2.75561261177063,-2.7125611305236816,5.683616688401116e-09,2.75561261177063,-2.7125611305236816,86.5185546875,1024.0,1.0,0.001953125,754.40234375,2048.0,389.0,0.001953125,35.07096950399864,11.22609975299929,1.2841289059997507,41.466669999999795,89.14466267199896,0.006518441901258786,0.0007456302590977796,0.19792860490997596,0.02407764808623347,,
9,,,,,414206,466591,52385,438699,438700,438699.75,0.10652052611112595,0.001,0.0,1.0,0.33238858605424565,0.021096443788458905,0.0019087485251172134,-1.0176315693873524e-05,10.414791882038116,0.36519276394071465,1e-06,1.2374926805496216,3.0,-3.0,0.00390625,1.0,0.0,1.2335864305496216,3.0,-3.0,0.0,0.0,0.0,1.2323505878448486,2.9997951984405518,-3.017439603805542,1.29241266577651e-08,0.9999999403953552,2.1843760013580322,-2.1820504665374756,1.29241266577651e-08,2.1843760013580322,-2.1820504665374756,92.23779296875,1024.0,1.0,0.00341796875,764.59765625,2048.0,413.0,0.00390625,39.54335235799954,11.614242558000115,1.389615981001043,43.44658709199939,96.09502656400036,0.006618560050467384,0.0007918946734076343,0.20933152124635152,0.024758725695649127,,
