step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,gdpo/pi_correctness,gdpo/w_correctness,gdpo/active_groups_correctness,gdpo/pi_format,gdpo/w_format,gdpo/active_groups_format,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/update_actor,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_s/testing,timing_s/save_checkpoint
0,-2.503125,0.025,-2.528125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,445949,462097,16148,454090,454091,454090.5,-0.0011404961114749312,0.001,0.171875,1.0,88.0,0.025390625,1.0,13.0,0.574616591776571,0.02121327523115812,0.0,0.0,77.45783710479736,0.35031507793169053,1e-06,-2.43725323677063,4.0,-3.0,0.00634765625,1.0,0.0,-2.44360089302063,3.0,-3.0,0.0,0.0,0.0,-2.435758590698242,4.000223636627197,-3.002464532852173,-1.7563932530606507e-08,0.9999998211860657,7.712917327880859,-3.44747257232666,-1.7563932530606507e-08,7.712917327880859,-3.44747257232666,122.1689453125,1024.0,1.0,0.00341796875,764.7265625,2048.0,399.0,0.00390625,43.3335252600009,11.76413822899849,1.3238906520018645,46.854558597002324,103.40126724899892,0.0007288693839674385,0.02579582627086579,0.17319416015859546,0.0064767586136455675,,
2,,,,,440916,462105,21189,453113,453114,453113.5,0.0002549545024521649,0.001,0.181640625,1.0,93.0,0.021484375,1.0,11.0,0.5557376472279429,0.01512882046517916,0.002443082672471064,-0.00011781433750002179,5.097379148006439,0.3745162134836381,1e-06,-2.455538034439087,4.0,-3.0,0.00634765625,1.0,0.0,-2.461885690689087,3.0,-3.0,0.0,0.0,0.0,-2.455361843109131,4.000141143798828,-3.0021283626556396,-6.091867899016279e-09,1.0,7.651195526123047,-3.7931225299835205,-6.091867899016279e-09,7.651195526123047,-3.7931225299835205,122.3037109375,1024.0,1.0,0.0048828125,762.68359375,2048.0,393.0,0.001953125,55.64574226100012,11.559695141000702,1.3065578700006881,43.795099899998604,112.4189873159994,0.0007208778098647955,0.024163426989042815,0.22215820256070443,0.006377924703744593,,
3,,,,,438508,475757,37249,463986,463987,463986.5,0.005904587917029858,0.001,0.283203125,1.0,145.0,0.021484375,1.0,11.0,0.6203493978828192,0.004203655757009983,0.011669166189676616,0.003778350942866382,32.20766168832779,0.3754927364297179,1e-06,-2.175549268722534,4.0,-3.0,0.0068359375,1.0,0.0,-2.182385206222534,3.0,-3.0,0.0,0.0,0.0,-2.1750264167785645,3.9997401237487793,-3.003906011581421,8.085923042244758e-09,1.0000001192092896,6.390974998474121,-3.1578121185302734,8.085923042244758e-09,6.390974998474121,-3.1578121185302734,114.2568359375,1024.0,1.0,0.0029296875,791.966796875,2048.0,418.0,0.001953125,37.677149522001855,11.669665691002592,1.3915571510005975,44.76432619299885,95.61048929900062,0.000749783210826499,0.024119411983429935,0.16101483569091127,0.006287718333939992,,
4,,,,,419309,444268,24959,434689,434690,434689.5,0.051728226244449615,0.001,0.57421875,1.0,294.0,0.029296875,1.0,15.0,0.5631667581097833,-0.059052243925117216,0.012656042978552908,0.011966207047501893,74.14739453792572,0.38225047622499414,1e-06,-1.3686002492904663,4.0,-3.0,0.0078125,1.0,0.0,-1.3764127492904663,3.0,-3.0,0.0,0.0,0.0,-1.3662680387496948,3.999905824661255,-3.006354808807373,1.2034337970590059e-09,1.0,4.539832592010498,-3.0297141075134277,1.2034337970590059e-09,4.539832592010498,-3.0297141075134277,99.0576171875,1024.0,1.0,0.0048828125,749.9453125,2048.0,422.0,0.0078125,45.27066717900016,11.027652900000248,1.331500586002221,41.10202351100088,98.85504343600041,0.0007657768280590059,0.023638725751945287,0.22315111736087226,0.006342258612181941,,
5,,,,,443132,456508,13376,450012,450013,450012.75,0.05763447284698486,0.001,0.669921875,1.0,343.0,0.03515625,1.0,18.0,0.5329774945012985,0.03199916746046755,0.012949985534613651,0.007797254537939396,36.93045389652252,0.38700093943396247,1e-06,-0.6905664205551147,4.0,-3.0,0.01171875,1.0,0.0,-0.7022851705551147,3.0,-3.0,0.0,0.0,0.0,-0.6850788593292236,3.9993486404418945,-3.0083649158477783,5.803503233536844e-10,1.0000001192092896,4.179201602935791,-3.2469828128814697,5.803503233536844e-10,4.179201602935791,-3.2469828128814697,102.70458984375,1024.0,1.0,0.00390625,776.2265625,2048.0,399.0,0.0078125,35.682470032999845,11.737406422002095,1.3800172329974885,42.09353997699873,91.01113081099902,0.0007666545186761311,0.023384637422494546,0.16964267222436089,0.0065205965953198525,,
6,,,,,420901,432401,11500,426495,426495,426495.0,0.09731315076351166,0.001,0.6875,1.0,352.0,0.041015625,1.0,21.0,0.4569323557828154,-0.12196614403676774,0.003393149541807361,0.004207769455498627,84.63631629943848,0.37604945247015975,1e-06,0.17361633479595184,4.0,-3.0,0.01171875,1.0,0.0,0.16189758479595184,3.0,-3.0,0.0,0.0,0.0,0.1758861243724823,6.92663049697876,-3.0099780559539795,5.097626321060034e-09,0.9999999403953552,3.8324153423309326,-2.5432090759277344,5.097626321060034e-09,3.8324153423309326,-2.5432090759277344,93.541015625,1024.0,1.0,0.0029296875,739.45703125,2048.0,389.0,0.005859375,40.191591963000974,11.199799080000957,1.55319296900052,40.9433237129997,93.99941461400158,0.0009104403152443288,0.02399988494179281,0.20979888482137773,0.006565023669680159,,
7,,,,,428517,464998,36481,443738,443739,443738.25,0.12566423416137695,0.001,0.66796875,1.0,342.0,0.0390625,1.0,20.0,0.3977250223358472,0.03422155156731606,0.0027302302167906117,0.00011885285965339184,22.134723126888275,0.38596950392766466,1e-06,0.4142184853553772,4.0,-3.0,0.01171875,1.0,0.0,0.4024997353553772,3.0,-3.0,0.0,0.0,0.0,0.41187506914138794,5.118381500244141,-3.009101152420044,-1.4916915702656297e-08,0.9999999403953552,3.9381656646728516,-2.671849489212036,-1.4916915702656297e-08,3.9381656646728516,-2.671849489212036,91.90283203125,1024.0,1.0,0.0029296875,774.7734375,2048.0,413.0,0.001953125,38.6463398900014,11.57851357400068,1.3155115539993858,41.583952687997225,93.22960879899983,0.0007411528947523601,0.023428199331473692,0.2053286360424478,0.0065232789679505205,,
8,,,,,432929,445858,12929,441150,441150,441150.0,0.11711893230676651,0.001,0.6328125,1.0,324.0,0.041015625,1.0,21.0,0.40764772742986677,-0.08879625448025763,0.010556636108473565,-0.004870704677644729,148.75733655691147,0.38313026426367774,1e-06,0.794998049736023,4.0,-3.0,0.01171875,1.0,0.0,0.7832792401313782,3.0,-3.0,0.0,0.0,0.0,0.7934580445289612,4.000463962554932,-3.0136470794677734,1.5112700424424474e-08,1.0000001192092896,3.898556709289551,-2.565077304840088,1.5112700424424474e-08,3.898556709289551,-2.565077304840088,94.65625,1024.0,1.0,0.00390625,766.96484375,2048.0,407.0,0.00390625,36.419131148002634,11.24832244099889,1.4958578190016851,41.66103948300224,90.93892711599983,0.000847703626318534,0.023609338934037313,0.18786692776082572,0.006374431849143654,,
9,,,,,423108,463856,40748,438160,438161,438160.25,0.12545350193977356,0.001,0.560546875,1.0,287.0,0.029296875,1.0,15.0,0.44993417581607553,0.03255851130033362,0.0016014080289911863,5.048604989183488e-05,366.623123049736,0.38155321946688336,1e-06,0.9462357759475708,4.0,-3.0,0.00927734375,1.0,0.0,0.9369584321975708,3.0,-3.0,0.0,0.0,0.0,0.945186972618103,4.001651763916016,-3.0159268379211426,-1.335700217097724e-09,0.9999999403953552,3.1628854274749756,-3.346140146255493,-1.335700217097724e-09,3.1628854274749756,-3.346140146255493,89.24853515625,1024.0,1.0,0.00390625,766.533203125,2048.0,413.0,0.001953125,35.135186259001784,11.56108111100184,1.392759707003279,41.53120647299875,89.71026669600178,0.0007946634290783331,0.023696356796970255,0.1922255937925812,0.006596377187913463,,
