step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,grpo/pi_correctness,grpo/w_correctness,grpo/active_groups_correctness,grpo/pi_format,grpo/w_format,grpo/active_groups_format,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/gen,timing_per_token_ms/adv,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,-2.503125,0.025,-2.528125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,445949,462097,16148,454090,454091,454090.5,-0.0011404961114749312,0.001,0.171875,1.0,88.0,0.025390625,1.0,13.0,0.574616591776571,0.050343138826710564,0.0,0.0,125.88598895072937,0.35033442190473646,1e-06,-2.43725323677063,4.0,-3.0,0.00634765625,1.0,0.0,-2.44360089302063,3.0,-3.0,0.0,0.0,0.0,-2.435758590698242,4.000223636627197,-3.002464532852173,-0.011569606140255928,0.8016663193702698,1.4999996423721313,-1.499995231628418,-0.011569606140255928,1.4999996423721313,-1.499995231628418,122.1689453125,1024.0,1.0,0.00341796875,764.7265625,2048.0,399.0,0.00390625,37.34050329100137,11.506124753999757,1.3576801900017017,53.84918071500215,104.15843132399823,0.14924142609172336,0.0007474722494754359,0.006334709024962952,0.0296467227980998,,
2,,,,,440916,462105,21189,453113,453114,453113.5,0.0002549545024521649,0.001,0.181640625,1.0,93.0,0.021484375,1.0,11.0,0.5558295007795095,-0.03216007701121271,0.002334118858925649,-0.0002516054429051451,76.10461091995239,0.3737817266911744,1e-06,-2.455538034439087,4.0,-3.0,0.00634765625,1.0,0.0,-2.461885690689087,3.0,-3.0,0.0,0.0,0.0,-2.455361843109131,4.000141143798828,-3.0021283626556396,0.006965029053390026,0.7869996428489685,1.4999996423721313,-1.499998927116394,0.006965029053390026,1.4999996423721313,-1.499998927116394,122.3037109375,1024.0,1.0,0.0048828125,762.68359375,2048.0,393.0,0.001953125,45.64504866999778,11.978333798000676,1.3320394390029833,43.868641231001675,102.92691582399857,0.18223176754045375,0.0007349369633673369,0.006608903617968057,0.024204002546272443,,
3,,,,,442726,477514,34788,466633,466634,466633.5,0.002618167083710432,0.001,0.193359375,1.0,99.0,0.021484375,1.0,11.0,0.662264964543283,-0.0779456736127031,0.002114885928676813,-2.8999121468586964e-05,99.85395610332489,0.3822276254760584,1e-06,-2.338559627532959,4.0,-3.0,0.0068359375,1.0,0.0,-2.345395565032959,3.0,-3.0,0.0,0.0,0.0,-2.338644027709961,4.000237941741943,-3.1158993244171143,0.0056608798913657665,0.8288365602493286,1.4999996423721313,-1.4999995231628418,0.0056608798913657665,1.4999996423721313,-1.4999995231628418,119.4267578125,1024.0,1.0,0.00390625,791.966796875,2048.0,418.0,0.001953125,41.75944482799969,11.593039244002284,1.4202343260003545,44.23147302000143,99.09442978600055,0.17073522126368512,0.0007608938953163213,0.006210998162370621,0.023697116162899486,,
4,,,,,428828,452666,23838,442104,442105,442104.25,0.006434668321162462,0.001,0.291015625,1.0,149.0,0.037109375,1.0,19.0,0.5774404972791671,-0.06835811659693718,0.002540300142330428,-1.4673640862383763e-05,59.02717512845993,0.38777748070896395,1e-06,-2.211944818496704,4.0,-3.0,0.0107421875,1.0,0.0,-2.222687005996704,3.0,-3.0,0.0,0.0,0.0,-2.2124171257019043,4.0000081062316895,-3.81636381149292,0.033805422484874725,0.780876100063324,1.4999996423721313,-1.4999995231628418,0.033805422484874725,1.4999996423721313,-1.4999995231628418,113.53955078125,1024.0,1.0,0.00244140625,749.9453125,2048.0,422.0,0.0078125,41.93256215499787,11.665637202000653,1.297534879999148,41.20039947800251,96.21023809600229,0.18033261294289257,0.000733726762409063,0.006596655201799493,0.023297898333935103,,
5,,,,,453389,467834,14445,460053,460054,460053.5,0.004192267544567585,0.001,0.2734375,1.0,140.0,0.02734375,1.0,14.0,0.5819160380671101,0.06344839456611343,0.0035692953256770007,-0.0006935685406431496,95.20318067073822,0.39094821777238103,1e-06,-2.2269091606140137,4.0,-3.0,0.0068359375,1.0,0.0,-2.2337450981140137,3.0,-3.0,0.0,0.0,0.0,-2.2270708084106445,4.000225067138672,-4.116297245025635,-0.03022843226790428,0.7830709218978882,1.4999996423721313,-1.4999971389770508,-0.03022843226790428,1.4999996423721313,-1.4999971389770508,122.3154296875,1024.0,1.0,0.00537109375,776.2265625,2048.0,399.0,0.0078125,38.01832705200286,11.583353835998423,1.5572425940008543,42.63334414399651,93.89033672200094,0.15176855694566455,0.0008462290766187271,0.006294568912093063,0.023167601237680243,,
6,,,,,433491,440154,6663,436504,436505,436504.75,0.007452100981026888,0.001,0.349609375,1.0,179.0,0.0390625,1.0,20.0,0.5632920751969019,0.08499493934214115,0.007782895641867071,0.0030975541980751585,49.27497708797455,0.3768550695769846,1e-06,-2.0137217044830322,4.0,-3.0,0.01123046875,1.0,0.0,-2.0249521732330322,3.0,-3.0,0.0,0.0,0.0,-2.0151925086975098,3.999751329421997,-4.29522705078125,-0.057817574590444565,0.7767301201820374,1.4999996423721313,-1.4999995231628418,-0.057817574590444565,1.4999996423721313,-1.4999995231628418,113.09130859375,1024.0,1.0,0.00341796875,739.45703125,2048.0,389.0,0.005859375,41.24369790399942,11.151854751002247,1.3497323980009241,41.84718583300128,95.7040943250031,0.17807313946228556,0.0007730341983683592,0.00638701798262347,0.023967199574003076,,
7,,,,,437386,477854,40468,454862,454862,454862.0,0.008515123277902603,0.001,0.45703125,1.0,234.0,0.04296875,1.0,22.0,0.5899338470771909,-0.04382149703451432,0.0026417567059979774,-0.00010896512424096727,32.51479214429855,0.3787617137390482,1e-06,-1.7214913368225098,4.0,-3.0,0.01318359375,1.0,0.0,-1.7346749305725098,3.0,-3.0,0.0,0.0,0.0,-1.7208107709884644,3.9994208812713623,-3.0037522315979004,-0.02873353660106659,0.7649625539779663,1.4999996423721313,-1.4999996423721313,-0.02873353660106659,1.4999996423721313,-1.4999996423721313,113.62890625,1024.0,1.0,0.00390625,774.7734375,2048.0,413.0,0.001953125,40.876326966001216,11.54383479399985,1.5707005260010192,43.45549070500056,97.57594412000253,0.1756519945941817,0.0008632840982545361,0.006344690694100545,0.023883887148739923,,
8,,,,,439434,456489,17055,450558,450558,450558.0,0.02011353150010109,0.001,0.57421875,1.0,294.0,0.048828125,1.0,25.0,0.5667387698927233,0.09233135231319935,0.0065963181907371165,0.008404128946509562,102.39848387241364,0.3745158104495119,1e-06,-1.4347429275512695,4.0,-3.0,0.013671875,1.0,0.0,-1.4484148025512695,3.0,-3.0,0.0,0.0,0.0,-1.429862380027771,3.999587297439575,-3.0043184757232666,-0.040886737406253815,0.754834771156311,1.4999996423721313,-1.4999996423721313,-0.040886737406253815,1.4999996423721313,-1.4999996423721313,113.03125,1024.0,1.0,0.0048828125,766.96484375,2048.0,407.0,0.00390625,39.139038834997336,11.457477952997579,1.4789757270009432,43.536029966999195,95.73885546100064,0.1690758865902221,0.0008206355935312119,0.00635738237529773,0.02415672897107542,,
9,,,,,425197,469333,44136,445107,445108,445107.25,0.03841472417116165,0.001,0.630859375,1.0,323.0,0.04296875,1.0,22.0,0.5367072260585325,0.08483505147862537,0.0039718443174557435,0.00027139390470532317,41.4779497385025,0.3719419196267276,1e-06,-0.8930813670158386,4.0,-3.0,0.01123046875,1.0,0.0,-0.9043118357658386,3.0,-3.0,0.0,0.0,0.0,-0.8913743495941162,8.24149227142334,-3.0088417530059814,-0.03042786940932274,0.7691885828971863,1.4999996423721313,-1.4999996423721313,-0.03042786940932274,1.4999996423721313,-1.4999996423721313,102.81689453125,1024.0,1.0,0.00390625,766.533203125,2048.0,413.0,0.001953125,38.469066907000524,11.191885524996906,1.514150412996969,43.28834194099909,94.58046993099924,0.1826910272024872,0.0008504413335196006,0.006286061126277378,0.024313433414642812,,
10,1.1274941731244326,0.0625,1.064994172565639,0.0,414149,458363,44214,439764,439764,439764.0,0.06280045956373215,0.001,0.705078125,1.0,361.0,0.087890625,1.0,45.0,0.518139760196209,-0.007065469399094582,0.010908918012864888,-0.006533939110947055,166.53258752822876,0.3648640767013596,1e-06,-0.19510814547538757,4.0,-3.0,0.02490234375,1.0,0.0,-0.22001048922538757,3.0,-3.0,0.0,0.0,0.0,-0.18814748525619507,3.9995241165161133,-3.007535219192505,-0.02356620877981186,0.7526188492774963,1.4999996423721313,-1.4999996423721313,-0.02356620877981186,1.4999996423721313,-1.4999996423721313,91.751953125,1024.0,1.0,0.00341796875,767.162109375,2048.0,416.0,0.001953125,34.31849161400169,11.219020941000053,1.525617400999181,43.570459002999996,124.16442821799865,0.18263454251017353,0.0008672932533126751,0.006377864571110899,0.024769227928502557,19.851517408998916,13.565977797999949
