step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,grpo/pi_correctness,grpo/w_correctness,grpo/active_groups_correctness,grpo/pi_format,grpo/w_format,grpo/active_groups_format,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_per_token_ms/ref,timing_per_token_ms/adv,timing_s/testing,timing_s/save_checkpoint
0,-2.51875,0.025,-2.54375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,437818,453498,15680,444382,444383,444382.25,-0.0003512880939524621,0.001,0.15625,1.0,80.0,0.017578125,1.0,9.0,0.5626480807860692,-0.045979233272373674,0.0,0.0,103.80935245752335,0.3660284539413728,1e-06,-2.435487985610962,4.0,-3.0,0.0048828125,1.0,0.0,-2.440370798110962,3.0,-3.0,0.0,0.0,0.0,-2.435271739959717,4.00027322769165,-3.1151628494262695,0.02702641487121582,0.8028469681739807,1.4999996423721313,-1.4999995231628418,0.02702641487121582,1.4999996423721313,-1.4999995231628418,123.24072265625,1024.0,1.0,0.0048828125,744.693359375,2048.0,414.0,0.00390625,40.145247510001354,11.303221482998197,1.3518307720005396,43.866944024000986,96.7716445110018,0.1590559614813225,0.02467860947641416,0.006358951940023593,0.0007605112332910122,,
2,,,,,435945,466843,30898,446888,446888,446888.0,-0.0005795492324978113,0.001,0.162109375,1.0,83.0,0.01953125,1.0,10.0,0.6087293316578043,0.014750670770118976,0.00621897390850916,-0.0004236092643325186,70.74920225143433,0.3857202449998199,1e-06,-2.404801368713379,4.0,-3.0,0.00537109375,1.0,0.0,-2.410172462463379,3.0,-3.0,0.0,0.0,0.0,-2.404223680496216,4.00037956237793,-3.080012798309326,-0.004055137280374765,0.8287113904953003,1.4999996423721313,-1.4999994039535522,-0.004055137280374765,1.4999996423721313,-1.4999994039535522,115.240234375,1024.0,1.0,0.00390625,757.587890625,2048.0,418.0,0.001953125,45.736162319997675,12.016493925999384,1.335520461001579,42.3592014120004,101.54773287200078,0.19378744436722573,0.023696765974920115,0.006722318526118057,0.0007471225793720009,,
3,,,,,444485,483877,39392,465501,465502,465501.75,0.0030998948495835066,0.001,0.224609375,1.0,115.0,0.033203125,1.0,17.0,0.720854050690128,-0.0395168520570282,0.009890178653163715,-0.0103013948161876,148.11882710456848,0.3888503088377266,1e-06,-2.3496410846710205,4.0,-3.0,0.00830078125,1.0,0.0,-2.3579418659210205,3.0,-3.0,0.0,0.0,0.0,-2.3480641841888428,4.000229835510254,-3.200305461883545,0.03174719959497452,0.8145543336868286,1.4999996423721313,-1.4997141361236572,0.03174719959497452,1.4999996423721313,-1.4997141361236572,120.35302734375,1024.0,1.0,0.0048828125,788.830078125,2048.0,402.0,0.0078125,39.07021707400054,12.011532278000232,1.3409930929992697,43.37742896399868,95.90538656499848,0.15851079820515224,0.02329606116625699,0.006450852374883785,0.0007201869235718607,,
4,,,,,438923,463884,24961,448605,448605,448605.0,0.01201905868947506,0.001,0.345703125,1.0,177.0,0.0390625,1.0,20.0,0.6659884862601757,0.004715802700957283,0.009068124585610349,0.005589574741197367,96.96155440807343,0.3881370891608742,1e-06,-2.137155055999756,4.0,-3.0,0.01171875,1.0,0.0,-2.148873805999756,3.0,-3.0,0.0,0.0,0.0,-2.1376333236694336,4.000160217285156,-3.4325780868530273,0.01564512960612774,0.7700906991958618,1.4999996423721313,-1.4999995231628418,0.01564512960612774,1.4999996423721313,-1.4999995231628418,111.046875,1024.0,1.0,0.00439453125,765.134765625,2048.0,418.0,0.00390625,42.642915469998115,11.748188629000651,1.492690508999658,41.81648376300291,97.81225359600285,0.18750402538869299,0.023303621093725496,0.006547067369401061,0.0008318512438557629,,
5,,,,,440168,479302,39134,455966,455966,455966.0,0.018118180334568024,0.001,0.33984375,1.0,174.0,0.037109375,1.0,19.0,0.6239935121228618,-0.02489022096438754,0.006575636135699648,-0.005863771389422547,222.97266006469727,0.3767710644884867,1e-06,-2.028217315673828,4.0,-3.0,0.01123046875,1.0,0.0,-2.039447784423828,3.0,-3.0,0.0,0.0,0.0,-2.0269148349761963,3.999819278717041,-3.145289182662964,0.02660752460360527,0.7793120741844177,1.4999996423721313,-1.4999995231628418,0.02660752460360527,1.4999996423721313,-1.4999995231628418,114.60546875,1024.0,1.0,0.00341796875,775.953125,2048.0,424.0,0.00390625,37.58065603900104,11.554122043999087,1.3642074980016332,43.85275030300181,94.43787156599865,0.16011390997904257,0.024043870761746387,0.006334969078834325,0.0007479765475943564,,
6,,,,,436045,457368,21323,445983,445984,445983.75,0.022567886859178543,0.001,0.44140625,1.0,226.0,0.03125,1.0,16.0,0.545824771297389,-0.009214010571354422,0.004384957187696649,-0.001756349235463482,198.12687587738037,0.38918851945528754,1e-06,-1.8355343341827393,4.0,-3.0,0.00830078125,1.0,0.0,-1.8438351154327393,3.0,-3.0,0.0,0.0,0.0,-1.8353098630905151,4.000417232513428,-3.3794655799865723,-0.011471100151538849,0.7755277156829834,1.4999996423721313,-1.4999996423721313,-0.011471100151538849,1.4999996423721313,-1.4999996423721313,109.25927734375,1024.0,1.0,0.00439453125,761.802734375,2048.0,393.0,0.005859375,36.56269045299996,11.390911865000817,1.4039855080009147,41.47724174399991,90.93647391899867,0.16339917883206767,0.02325042209721762,0.006385272930348257,0.0007870160672899599,,
7,,,,,440314,458610,18296,446933,446934,446933.25,0.02216413989663124,0.001,0.533203125,1.0,273.0,0.025390625,1.0,13.0,0.5468742837508519,0.0549667217147847,0.0025721522979438305,9.29823141026039e-05,241.6118767261505,0.394730552061849,1e-06,-1.5862287282943726,4.0,-3.0,0.0068359375,1.0,0.0,-1.5930646657943726,3.0,-3.0,0.0,0.0,0.0,-1.586732029914856,3.9994308948516846,-3.911041736602783,-0.018949391320347786,0.7779383659362793,1.4999996423721313,-1.4999996423721313,-0.018949391320347786,1.4999996423721313,-1.4999996423721313,110.43212890625,1024.0,1.0,0.0048828125,762.484375,2048.0,389.0,0.00390625,37.66424060300051,11.733271964003507,1.87840766500085,40.94591798200054,92.35893015900001,0.16653434706077647,0.022903821757499884,0.006563212719127244,0.0010507204739191199,,
8,,,,,421017,466738,45721,445282,445283,445282.5,0.05039907991886139,0.001,0.591796875,1.0,303.0,0.0390625,1.0,20.0,0.5132635220885277,0.05565114672062919,0.002611045481171459,0.0001944656268581942,58.5885334610939,0.38324501746167783,1e-06,-1.1491272449493408,4.0,-3.0,0.0107421875,1.0,0.0,-1.1598694324493408,3.0,-3.0,0.0,0.0,0.0,-1.1502721309661865,3.9992616176605225,-3.351173162460327,-0.02091139741241932,0.7888361215591431,1.4999996423721313,-1.4999996423721313,-0.02091139741241932,1.4999996423721313,-1.4999996423721313,98.2060546875,1024.0,1.0,0.00146484375,771.486328125,2048.0,416.0,0.005859375,35.03876623399992,11.548990933999448,1.322204760999739,42.02201634599987,90.03142268599913,0.17421301191292982,0.023592896838523787,0.006484080855411704,0.0007423404024410003,,
9,,,,,435267,454386,19119,446582,446583,446582.25,0.05840572714805603,0.001,0.6171875,1.0,316.0,0.037109375,1.0,19.0,0.505281655057784,0.06475383884483768,0.0021757887143100943,0.0002654228079453817,101.56489032506943,0.3740610522569266,1e-06,-1.0671449899673462,4.0,-3.0,0.009765625,1.0,0.0,-1.0769106149673462,3.0,-3.0,0.0,0.0,0.0,-1.0688170194625854,3.9997951984405518,-3.693026542663574,-0.02284889668226242,0.7829881310462952,1.4999996423721313,-1.4999996423721313,-0.02284889668226242,1.4999996423721313,-1.4999996423721313,102.21142578125,1024.0,1.0,0.0048828125,770.01953125,2048.0,407.0,0.0078125,46.36906196699783,11.600131570998201,1.4361602360004326,43.20415912200042,102.72909074500058,0.22151284326107626,0.02418600331853786,0.006493838240882951,0.0008039729725041874,,
