run_id,model_size,method,seed,world_size,cuda_visible_devices,started_at_utc,elapsed_seconds,metrics_rows,dynamics_rows,saved_checkpoint_steps
haotian_1p5b_dara_s0_save10,1.5b,dara,0,4,"0,1,2,3",2026-09-18T06:36:18.561183+00:00,9364.509338378906,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_dara_s1_save10,1.5b,dara,1,4,"4,5,6,7",2026-09-18T09:25:03.934522+00:00,9466.658808231354,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_dara_s2_save10,1.5b,dara,2,4,"0,1,2,3",2026-09-18T14:36:46.467241+00:00,9553.39365530014,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_dvao_s3_save10,1.5b,dvao,3,4,"0,1,2,3",2026-09-18T19:19:54.238891+00:00,9314.065319299698,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_dvao_s4_save10,1.5b,dvao,4,4,"0,1,2,3",2026-09-17T22:31:30.002370+00:00,9887.090674877167,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_dvao_s5_save10,1.5b,dvao,5,4,"4,5,6,7",2026-09-18T01:15:06.868115+00:00,9547.851882219315,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_gd2po_hard_s0_save10,1.5b,gd2po_hard,0,4,"4,5,6,7",2026-09-18T14:39:32.030428+00:00,9408.180866241455,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_gd2po_hard_s4_save10,1.5b,gd2po_hard,4,4,"4,5,6,7",2026-09-17T22:31:30.131105+00:00,9815.480473995209,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_gd2po_hard_s5_save10,1.5b,gd2po_hard,5,4,"0,1,2,3",2026-09-18T01:16:17.827608+00:00,9652.607316493988,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_gdpo_s0_save10,1.5b,gdpo,0,4,"0,1,2,3",2026-09-18T03:57:15.173383+00:00,9538.513674736023,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_gdpo_s1_save10,1.5b,gdpo,1,4,"0,1,2,3",2026-09-18T09:12:27.128947+00:00,9494.074010848999,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_gdpo_s5_save10,1.5b,gdpo,5,4,"4,5,6,7",2026-09-18T12:02:54.550358+00:00,9393.49811053276,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_grpo_s0_save10,1.5b,grpo,0,4,"4,5,6,7",2026-09-18T03:54:19.032888+00:00,9790.42859864235,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_grpo_s2_save10,1.5b,grpo,2,4,"4,5,6,7",2026-09-18T06:37:33.689062+00:00,10046.249954938889,101,101,10/20/30/40/50/60/70/80/90/100
haotian_1p5b_grpo_s5_save10,1.5b,grpo,5,4,"0,1,2,3",2026-09-18T11:50:45.700979+00:00,9956.731775283813,101,101,10/20/30/40/50/60/70/80/90/100
