step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_s/testing,timing_s/save_checkpoint
0,1.0617072492837907,0.0875,0.9742072492837905,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,460200,486039,25839,471238,471239,471238.75,-2.915258301072754e-05,0.001,0.6283904379233718,-0.10623481718357652,0.0,0.0,29.868369340896606,0.3900761517309871,1e-06,-0.5239455103874207,4.0,-3.0,0.0458984375,1.0,0.0,-0.5698439478874207,3.0,-3.0,0.0,0.0,0.0,-0.5238460898399353,4.00131893157959,-3.031709909439087,0.09156665951013565,0.7667182683944702,1.7320513725280762,-1.732050895690918,0.09156665951013565,1.7320513725280762,-1.732050895690918,175.69482421875,1024.0,26.0,0.01611328125,744.693359375,2048.0,414.0,0.00390625,64.98342069299542,20.941015007003443,1.2338205210107844,83.82602594100172,171.09721566500957,0.011109556995792177,0.04447110193134675,0.0006545623216526572,0.1805982960872302,,
2,,,,,463979,500498,36519,477741,477742,477741.5,-6.257522909436375e-05,0.001,0.5701452832330357,-0.08614769879954332,0.0029274364792262063,0.00223619468857633,70.36804676055908,0.4115658033892669,1e-06,-0.5871127843856812,4.0,-3.0,0.060546875,1.0,0.0,-0.6476596593856812,3.0,-3.0,0.0,0.0,0.0,-0.587121307849884,4.0009894371032715,-3.017935037612915,0.06849246472120285,0.7783218622207642,1.732051134109497,-1.7320510149002075,0.06849246472120285,1.732051134109497,-1.7320510149002075,175.5009765625,1024.0,17.0,0.0166015625,757.587890625,2048.0,418.0,0.001953125,69.92423110999516,30.156392495002365,1.2249637490021996,80.6415314039914,182.04589484300232,0.015780705933544796,0.04219935436004167,0.0006410180761992623,0.19454416516889475,,
3,,,,,483321,518456,35135,500093,500093,500093.0,-0.00032660155557096004,0.001,0.5088076188283808,-0.017695171292871237,0.002855480487650151,-0.0006993044736351722,63.00977611541748,0.41496896305407704,1e-06,-0.1729746162891388,4.0,-3.0,0.06884765625,1.0,0.0,-0.2418222874403,3.0,-3.0,0.0,0.0,0.0,-0.1725424975156784,4.000741958618164,-3.003190279006958,0.058317869901657104,0.7685708403587341,1.732051134109497,-1.7320514917373657,0.058317869901657104,1.732051134109497,-1.7320514917373657,187.9140625,1024.0,21.0,0.01708984375,788.830078125,2048.0,402.0,0.0078125,77.4947531609796,22.743500981014222,1.281818960007513,83.97509489100776,185.61714368200046,0.011369635738259795,0.041979739214010076,0.0006407902930092567,0.201364572924842,,
4,,,,,478779,502809,24030,487081,487082,487081.25,0.0017886476125568151,0.001,0.48860381227551086,-0.043362192121673034,0.007460874625284112,0.0024833060489816653,32.83154058456421,0.4086814392697129,1e-06,0.53471440076828,4.0,-3.0,0.07568359375,1.0,0.0,0.45903080701828003,3.0,-3.0,0.0,0.0,0.0,0.5342530608177185,4.00270414352417,-3.086911678314209,0.019683733582496643,0.7720744609832764,1.7320512533187866,-1.732051134109497,0.019683733582496643,1.7320512533187866,-1.732051134109497,186.19580078125,1024.0,24.0,0.01513671875,765.134765625,2048.0,418.0,0.00390625,71.80403016501805,21.796007561992155,1.3573867500235792,82.99149143300019,178.04791441300767,0.011187049163764852,0.04259632835024967,0.0006966942117067631,0.18829942166742641,,
5,,,,,484466,522132,37666,502121,502122,502121.25,-0.0006273249164223671,0.001,0.5003048154440793,-0.028613064522770317,0.00481432028446403,0.00676515417735297,31.213887214660645,0.39438658562256196,1e-06,0.7225933074951172,4.0,-3.0,0.07373046875,1.0,0.0,0.6488628387451172,3.0,-3.0,0.0,0.0,0.0,0.7258614301681519,4.00127649307251,-3.0159242153167725,-0.005874837748706341,0.6673312783241272,1.7320514917373657,-1.732051134109497,-0.005874837748706341,1.7320514917373657,-1.732051134109497,204.75244140625,1024.0,26.0,0.01708984375,775.953125,2048.0,424.0,0.00390625,68.05846403900068,22.06975361800869,1.3613457700121216,88.7267390479974,180.32568458499736,0.010988259119689064,0.04417595304321287,0.0006777973298342391,0.16230171257449494,,
6,,,,,473656,500442,26786,487309,487310,487309.5,0.0011963502038270235,0.001,0.4205920733511448,0.031938992455252446,0.0032747616296546767,-0.00033915982623966556,35.40289497375488,0.40631806725408526,1e-06,1.2045977115631104,4.0,-3.0,0.1015625,1.0,0.0,1.1030350923538208,3.0,-3.0,0.0,0.0,0.0,1.2077022790908813,4.00124979019165,-3.0080060958862305,-0.003949709702283144,0.719067394733429,1.7320512533187866,-1.7320514917373657,-0.003949709702283144,1.7320512533187866,-1.7320514917373657,189.9736328125,1024.0,26.0,0.009765625,761.802734375,2048.0,393.0,0.005859375,74.6141768359812,21.324616832018364,1.4356499039859045,83.46009622799465,180.92663547300617,0.010939975945481446,0.042816780828197815,0.000736518528771707,0.19177768511250326,,
7,,,,,473186,501545,28359,488722,488723,488722.75,0.0021727411076426506,0.001,0.48029919248074293,-0.055851846365840174,0.004286792842322029,0.005548638014715834,14.837050199508667,0.4190127966094197,1e-06,1.2151092290878296,4.0,-3.0,0.15625,1.0,0.0,1.05885910987854,3.0,-3.0,0.0,0.0,0.0,1.2187273502349854,4.000086784362793,-3.006892681121826,-0.010638506151735783,0.6622986793518066,1.7320517301559448,-1.7320514917373657,-0.010638506151735783,1.7320517301559448,-1.7320514917373657,192.05224609375,1024.0,20.0,0.00927734375,762.484375,2048.0,389.0,0.00390625,64.87678266101284,21.901528077025432,1.3685880099947099,81.2046048019838,169.44660974101862,0.011203452303491823,0.04153919824787357,0.0007000840507193034,0.16494530617587286,,
8,,,,,459161,508702,49541,484016,484016,484016.0,0.008596095256507397,0.001,0.3934991382993758,0.01293299815733917,0.0022097929067967925,0.004927171052599988,21.748678386211395,0.40356383041731014,1e-06,1.601496934890747,4.0,-3.0,0.33984375,1.0,0.0,1.261653184890747,3.0,-3.0,0.0,0.0,0.0,1.6063735485076904,4.890408515930176,-3.0086138248443604,-0.04955935850739479,0.6330913305282593,1.732051134109497,-1.7320512533187866,-0.04955935850739479,1.732051134109497,-1.7320512533187866,173.857421875,1024.0,18.0,0.0107421875,771.486328125,2048.0,416.0,0.005859375,67.99839247699128,21.856014170014532,1.2981087369844317,83.47563243401237,174.74230007801089,0.011288890331112264,0.043116153409191206,0.0006704885463416663,0.19097453372182016,,
9,,,,,471830,491730,19900,483365,483366,483365.75,0.021344823762774467,0.001,0.361086486838758,0.034534569924289826,0.006612840479647275,0.004703808641668417,16.058393478393555,0.3990958548910203,1e-06,1.9040720462799072,4.0,-3.0,0.5390625,1.0,0.0,1.3650095462799072,3.0,-3.0,0.0,0.0,0.0,1.9111138582229614,5.92434024810791,-3.0144619941711426,-0.0397874154150486,0.6135437488555908,1.7320512533187866,-1.7320510149002075,-0.0397874154150486,1.7320512533187866,-1.7320510149002075,174.05419921875,1024.0,24.0,0.00927734375,770.01953125,2048.0,407.0,0.0078125,62.11655785300536,21.2633034310129,1.3593326809932478,84.28420229098992,169.11889768901165,0.010997522802873859,0.043592353353019905,0.000703055957622798,0.1742580796688727,,
